correction_id,target,wiki_path,column_name,status,edited_line_no,old_desc,new_desc,notes
Dim_AccountType.AccountTypeID,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,AccountTypeID,applied,134,"Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private, 7=Employee, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate, 16=Administrated, 17=Funded Employee, 18=Trust. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID. (Tier 1 - upstream wiki, Dictionary.AccountType)","Primary key identifying the account classification. Production source (Dictionary.AccountType) defines 17 categories (1=Private through 17=Funded Employee Account); 0 is a DWH placeholder. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID.",judge-only
Dim_ActionType.CategoryID,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ActionType.md,CategoryID,applied,113,"Integer identifier for the Category grouping. 29 distinct values (0-28). Used by SP_Validation_Cycle_Gap_DL_To_Synapse for financial reconciliation filtering (e.g., CategoryID=17 triggers NetProfit logic, CategoryID=4 triggers negative Amount). Not a FK to another dimension — self-contained within this table. (Tier 3 — no upstream wiki, grounded in DDL + live data)","Integer code grouping multiple action types into business categories (values 0–28). Used in SP_Validation_Cycle_Gap_DL_To_Synapse MINO filter: CategoryID IN (2,4,6,7,8,12,17,20,21,19) — note that 23 (Reverse cashout) is commented out in the current SP code.",judge-only
Dim_Affiliate.FTDeFirstDate,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.md,FTDeFirstDate,applied,170,Date of the affiliate's first referred FTDe (FTD equivalent — includes qualifying non-deposit events). (Tier 2 — Ext_Dim_Affiliate_FTDe),"Date of the affiliate's first referred FTDe (Valid first-time deposit). FTDe uses the same deposit source as FTD (CreditTypeID=1, IsFirstDeposit=1) but adds a Valid=1 filter. Sourced from Ext_Dim_Affiliate_FTDe.",judge-only
Dim_BillingDepot.FundingTypeID,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,FundingTypeID,applied,106,"Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers). References Dictionary.FundingType. 38 distinct values across 163 depots. (Tier 1 - upstream wiki, Billing.Depot)","Payment method type (e.g., 1=CreditCard, 6=Wire, 7=PayPal). References Dictionary.FundingType. 38 distinct values across 163 depots.",judge-only
Dim_BillingProtocolMIDSettingsID.MerchantAccountID,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingProtocolMIDSettingsID.md,MerchantAccountID,applied,156,"Optional link to a specific merchant account configuration in Billing.MerchantAccountValues. When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable. (Tier 1 - upstream wiki, Billing.ProtocolMIDSettings)","Optional link to a merchant account defined in Billing.MerchantAccountRouting (the master routing table; Billing.MerchantAccountValues stores parameter values for those accounts). When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable.",judge-only
Dim_BillingProtocolMIDSettingsID.Value,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingProtocolMIDSettingsID.md,Value,applied,151,"The protocol identifier string (MID, merchant ID, API key, etc.) passed to the payment processor for routing. SENSITIVE -- contains payment gateway credentials. Examples: merchant ID numbers, API endpoint identifiers. (Tier 1 - upstream wiki, Billing.ProtocolMIDSettings)","The protocol identifier string (MID, merchant ID, API key, etc.). This is the actual routing value passed to the payment processor. Examples: ""18989693"", ""18986763"" (Tier 1 - Billing.ProtocolMIDSettings.md)",L2-semantic
Dim_BonusType.IsActive,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BonusType.md,IsActive,applied,126,"Whether this bonus type is still in active use. False for IDs 0 (N/A placeholder), 17 (Refill-Negative Balance), and 23 (Championship Winner Demo). True for all other 63 types. (Tier 1 - upstream wiki, BackOffice.BonusType)","Whether this bonus type is still in active use. 0=deprecated (should not be assigned to new bonuses). Active=0 types: 17=Refill-Negative Balance, 23=Championship Winner Demo. All other 68 types are IsActive=1 (Tier 1 - BackOffice.BonusType)",L2-semantic
Dim_Campaign.Code,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Campaign.md,Code,applied,94,"Unique public-facing campaign code (e.g., ""20coupon"", ""freecopyref""). The identifier customers enter at registration. UNIQUE in production. Currently only 'N/A' (ID=0 placeholder). (Tier 1 - upstream wiki, BackOffice.Campaign)","Unique public-facing campaign code (e.g., ""20coupon"", ""freecopyref""). The identifier customers enter at registration. UNIQUE index. Auto-generated 6-char random string if not supplied. (Tier 1 - BackOffice.Campaign)",L2-semantic
Dim_CardType.CardTypeID,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CardType.md,CardTypeID,applied,99,"Card network identifier. Active brands: 1=Visa, 2=Master Card, 3=Diners, 8=Maestro. Inactive: 0=None, 4=Amex, 5=Fire Pay, 6=JCB, 7=American Express, 9=Laser, 10=Switch, 11=UK Local, 12=Discover, 13=Local Card, 14=China Union Pay, 15=Solo, 16=Cirrus, 17=GE Capital. (Tier 1 — Dictionary.CardType)","Card network identifier. Active brands (IsActive=1): 1=Visa, 2=MasterCard, 3=Diners, 8=Maestro. Inactive (IsActive=0): 0=None (fallback), 4=Amex, 5=FirePay, 6=JCB, 7=American Express, 9=Laser, 10=Switch, 11=UK Local, 12=Discover, 13=Local Card, 14=China UnionPay, 15=Solo, 16=Cirrus, 17=GE Capital. DWH snapshot covers IDs 0–17; production has 32 types.",judge-only
Dim_CashoutStatus.Name,wikis,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,Name,applied,124,"Human-readable status label. Values: ""N/A"", ""Pending"", ""InProcess"", ""Processed"", ""Canceled"". UNIQUE at production level (not enforced in DWH DDL). Used in reports and monitoring. (Tier 1 - upstream wiki, Dictionary.CashoutStatus)","Human-readable status label (e.g. Pending, InProcess, Processed, Canceled, Rejected, etc.). All 17 production values are loaded from staging; the DWH is not limited to 5 values. UNIQUE constraint exists at production level but is not enforced in the DWH DDL.",judge-only
