uc_fqn,column,deployed_comment,signals
main.etoro_kpi_prep.v_revenue_optionsplatform,iscreditreportvalidcb,DWH-computed: similar to IsValidCustomer but with additional AccountTypeID≠2 exclusion and specific CID exceptions for CountryID=250. (Tier 2 — SP_Dim_Customer),"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CreditInvalidClose'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_adminfee,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed in Fact_SnapshotCustomer. Passthrough via SCD JOIN. (Tier 2 — DWH_dbo.Fact_Sna,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_commission,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed. See §2.3. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer). So,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_fullcommission,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed. See §2.3. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer). So,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_rollover,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed in Fact_SnapshotCustomer. Passthrough via SCD JOIN. (Tier 2 — DWH_dbo.Fact_Sna,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_dividend,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed in Fact_SnapshotCustomer. Passthrough via SCD JOIN. (Tier 2 — DWH_dbo.Fact_Sna,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_stakingfee,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed. See §2.3. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer). So,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,iscreditreportvalidcb,1 if customer is eligible for CreditBureau credit report validation. ETL-computed. See §2.3. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer). So,"SIBLING_PHRASES: ['AccountType', 'ActionTypeID', 'AmountInUnitsDecimal', 'CREATE', 'CloseDateID', 'CountryID'] || HEADING_ANCHOR: [""BI_DB_CMR_Phase2_CycleGap.review-needed: 2. IsCreditReportValidCB Filter on 'As per Cycle Gap' Only"", 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_optionsplatform,realcid,Customer ID - platform-internal primary key. Assigned at registration. Unique within etoro DB. Used as the universal customer identifier across all tables. (Tie,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_adminfee,realcid,Real-account Customer ID. References Dim_Customer.RealCID. Each customer has one real CID. Passthrough from Fact_CustomerAction.RealCID. (Tier 1 — Customer.Cust,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_commission,realcid,Real-account Customer ID. HASH distribution key. References Dim_Customer.RealCID. Each customer has one real CID. (Tier 1 — Customer.CustomerStatic) (via Fact_C,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_fullcommission,realcid,Real-account Customer ID. HASH distribution key. References Dim_Customer.RealCID. Each customer has one real CID. (Tier 1 — Customer.CustomerStatic) (via Fact_C,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_rollover,realcid,Real-account Customer ID. References Dim_Customer.RealCID. Each customer has one real CID. Passthrough from Fact_CustomerAction.RealCID. (Tier 1 — Customer.Cust,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_dividend,realcid,Real-account Customer ID. References Dim_Customer.RealCID. Each customer has one real CID. Passthrough from Fact_CustomerAction.RealCID. (Tier 1 — Customer.Cust,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,realcid,Real-account Customer ID. HASH distribution key. References Dim_Customer.RealCID. Each customer has one real CID. (Tier 1 — Customer.CustomerStatic) (via Fact_C,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_options_aum,realcid,Real (funded) customer ID. Hash distribution key. The primary customer identifier in the DWH ecosystem. FK to Dim_Customer (if exists). 46.4M distinct values. (,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_population_active_traders,realcid,Real-account Customer ID. HASH distribution key. References Dim_Customer.RealCID. Each customer has one real CID. (Tier 1 — Customer.CustomerStatic) (via Fact_C,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_population_funded,realcid,CID AS RealCID / direct from options TVF; inner join to Function_Population_First_Time_Funded on RealCID with FirstFundedDateID <= DateID. Source: BI_DB_Client_,"SIBLING_PHRASES: ['AIGrowth', 'AccountManagerID', 'AccountType', 'AccountTypeID', 'ActionDateID', 'ActionID'] || HEADING_ANCHOR: ['BI_DB_CID_NPS_Panel.review-needed: 2.1 NULL RealCID rows (~630 rows)', 'BI_DB_Copyfunds_Watched_Not_Invested.review-needed: 3. #final fan-out bug — duplicate (RealCID, FundName) rows (HIGH — data qu']"
main.etoro_kpi_prep.v_revenue_commission,designatedregulationid,Secondary/designated regulatory jurisdiction (separate from primary RegulationID). DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.DesignatedRegulationID (BO). F,"SIBLING_PHRASES: ['BIGINT', 'COMPLETE', 'CustomerStatic', 'DWHRegulationID', 'DesignatedRegulation', 'FromDateID'] || HEADING_ANCHOR: ['BI_DB_AffiliateFTDsAndURLS: Regulation Breakdown (DesignatedRegulationID)', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 2 — DesignatedRegulationID vs RegulationID (SOFT)']"
main.etoro_kpi_prep.v_revenue_fullcommission,designatedregulationid,Secondary/designated regulatory jurisdiction (separate from primary RegulationID). DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.DesignatedRegulationID (BO). F,"SIBLING_PHRASES: ['BIGINT', 'COMPLETE', 'CustomerStatic', 'DWHRegulationID', 'DesignatedRegulation', 'FromDateID'] || HEADING_ANCHOR: ['BI_DB_AffiliateFTDsAndURLS: Regulation Breakdown (DesignatedRegulationID)', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 2 — DesignatedRegulationID vs RegulationID (SOFT)']"
