normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
main de_output de_output_etoro_kpi_fact_customeraction_w_metrics,5,domain-cross; domain-customer-and-identity; domain-payments; domain-revenue-and-fees; domain-trading,1,main.de_output.de_output_etoro_kpi_fact_customeraction_w_metrics,14,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,5,cross-cutting; domain-cross; domain-customer-and-identity; domain-moneyfarm; domain-options,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,8,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,5,domain-cross; domain-customer-and-identity; domain-payments; domain-revenue-and-fees; domain-trading,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,8,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,4,cross-cutting; domain-aum-and-aua; domain-payments; domain-trading,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,6,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,4,domain-payments; domain-revenue-and-fees; domain-staking; domain-trading,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,6,required_tables
main etoro_kpi_prep v_moneyfarm_aum,4,cross-cutting; domain-aum-and-aua; domain-moneyfarm; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_moneyfarm_aum,9,required_tables
main finance bronze_sodreconciliation_apex_ext1047_revenuereports,4,domain-cross; domain-options; domain-payments; domain-revenue-and-fees,1,main.finance.bronze_sodreconciliation_apex_ext1047_revenuereports,8,required_tables
main finance bronze_sodreconciliation_apex_ext869_cashactivity,4,domain-cross; domain-options; domain-payments; domain-revenue-and-fees,1,main.finance.bronze_sodreconciliation_apex_ext869_cashactivity,8,required_tables
main finance bronze_sodreconciliation_apex_ext872_tradeactivity,4,domain-cross; domain-options; domain-payments; domain-revenue-and-fees,1,main.finance.bronze_sodreconciliation_apex_ext872_tradeactivity,8,required_tables
main finance bronze_sodreconciliation_apex_sodfiles,4,domain-cross; domain-payments; domain-revenue-and-fees; domain-trading,1,main.finance.bronze_sodreconciliation_apex_sodfiles,4,required_tables
main general bronze_sodreconciliation_apex_ext981_buypowersummary,4,domain-cross; domain-options; domain-payments; domain-revenue-and-fees,1,main.general.bronze_sodreconciliation_apex_ext981_buypowersummary,8,required_tables
main general bronze_usabroker_apex_options,4,domain-cross; domain-options; domain-payments; domain-revenue-and-fees,1,main.general.bronze_usabroker_apex_options,8,required_tables
main bi_db bronze_sub_accounts_accounts,3,domain-moneyfarm; domain-revenue-and-fees; domain-spaceship,1,main.bi_db.bronze_sub_accounts_accounts,6,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,3,domain-cross; domain-payments; domain-revenue-and-fees,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,5,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_reversals,3,domain-cross; domain-payments; domain-revenue-and-fees,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_reversals,5,required_tables
main bi_db gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,3,domain-cross; domain-exw-wallet; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,3,required_tables
main bi_db gold_sql_dp_prod_we_exw_dbo_exw_dimuser,3,domain-customer-and-identity; domain-exw-wallet; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_dimuser,5,required_tables
main bi_db gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,3,domain-aum-and-aua; domain-exw-wallet; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,5,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,3,domain-moneyfarm; domain-spaceship; domain-trading,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,5,required_tables
main etoro_kpi v_spaceship_aum,3,cross-cutting; domain-aum-and-aua; domain-revenue-and-fees,1,main.etoro_kpi.v_spaceship_aum,3,required_tables
main etoro_kpi_prep v_mimo_options_platform,3,domain-options; domain-payments; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_mimo_options_platform,6,required_tables
main etoro_kpi_prep v_options_aum,3,domain-options; domain-payments; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_options_aum,6,required_tables
main finance bronze_sodreconciliation_apex_ext870_stockactivity,3,domain-cross; domain-payments; domain-revenue-and-fees,1,main.finance.bronze_sodreconciliation_apex_ext870_stockactivity,3,required_tables
main finance bronze_sodreconciliation_apex_ext922_dividendreport,3,domain-cross; domain-payments; domain-revenue-and-fees,1,main.finance.bronze_sodreconciliation_apex_ext922_dividendreport,3,required_tables
main wallet bronze_walletdb_wallet_conversions,3,domain-cross; domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_conversions,3,required_tables
main wallet bronze_walletdb_wallet_customerwalletsview,3,domain-cross; domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_customerwalletsview,3,required_tables
main wallet bronze_walletdb_wallet_receivedtransactions,3,domain-cross; domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_receivedtransactions,3,required_tables
main wallet bronze_walletdb_wallet_senttransactions,3,domain-cross; domain-exw-wallet; domain-payments,1,main.wallet.bronze_walletdb_wallet_senttransactions,3,required_tables
audit trail,2,domain-cross; domain-customer-and-identity,1,audit trail,2,triggers
is_ftd,2,domain-moneyfarm; domain-spaceship,1,is_ftd,2,triggers
is_funded,2,domain-moneyfarm; domain-spaceship,1,is_funded,2,triggers
is_internal_transfer,2,domain-options; domain-spaceship,1,is_internal_transfer,2,triggers
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview,2,domain-compliance-and-aml; domain-customer-and-identity,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview,3,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,2,domain-customer-and-identity; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,3,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,2,domain-customer-and-identity; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,3,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,2,domain-cross; domain-payments,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,4,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,2,domain-payments; domain-trading,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,4,required_tables
main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,2,domain-payments; domain-trading,1,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,4,required_tables
