hub_id,file,source_field,trigger_raw,trigger_normalized
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,data latency,data latency
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,data freshness,data freshness
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,data lag,data lag
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,latency,latency
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,freshness,freshness
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,roll forward,roll forward
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,rollforward,rollforward
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,roll-forward,roll-forward
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,latest available,latest available
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,latest clean snapshot,latest clean snapshot
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,effective date,effective date
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,as-of date,as-of date
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,as of date,as of date
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,stale data,stale data
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,same-day FX,same-day fx
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,FX null,fx null
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,weekend lag,weekend lag
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,weekend plateau,weekend plateau
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,Apex lag,apex lag
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,Spaceship gap,spaceship gap
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,MoneyFarm same-day,moneyfarm same-day
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,data not yet available,data not yet available
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,triggers,not flowing yet,not flowing yet
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,required_tables,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,required_tables,main.etoro_kpi.v_spaceship_aum,main etoro_kpi v_spaceship_aum
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,required_tables,main.etoro_kpi_prep.v_moneyfarm_aum,main etoro_kpi_prep v_moneyfarm_aum
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,sample_questions,What is our AUM as of today?,what is our aum as of today
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,sample_questions,AUM on June 9 2026,aum on june 9 2026
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,sample_questions,Spaceship balance yesterday,spaceship balance yesterday
