table_schema,table_name,empty_cols
bi_db,untrustedwe_blob_tableauevents_events,111
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,104
bi_db,gold_sql_dp_prod_we_bi_db_migration_v_riskclassification,91
bi_output,bi_output_customer_customer_support_case,82
bi_output,bi_output_finance_tables_customer_customer_deceased,81
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_test,80
bi_db,gold_sql_dp_prod_we_bi_db_dbo_from_synapse_emoneyclientbalance_to_generic_20260216,66
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_snapshotcustomer,55
bi_output,bi_output_finance_external_table_bi_db_sharelending_custodyreconciliation_external,52
bi_db,gold_sql_dp_prod_we_bi_db_python_bi_db_jira_data,51
bi_db,gold_sql_dp_prod_we_exw_dbo_exw_reimbursementfollowup,51
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_bck,47
bi_output,bi_output_vg_cf_crm_contact,45
etoro_kpi_prep,v_fact_customeraction_w_metrics,43
bi_output,bi_output_customer_customer_support_agent_user,39
bi_output,bi_output_finance_tables_bi_db_sharelending_custodyreconciliation,38
bi_output,bi_output_v_recurring_investment,38
bi_output,bi_output_finance_tables_bi_db_sharelending_collateraldetailesmain,37
bi_output,bi_output_finance_tables_bi_db_sharelending_collateraldetaileseu,37
bi_output,bi_output_finance_tables_bi_db_sharelending_collateraldetailesuk,36
bi_output,bi_output_finance_tables_bi_db_share_lending_allocation,36
bi_output,bi_output_finance_external_table_bi_db_sharelending_reconciliation_external,32
bi_output,bi_output_customer_customer_facing_club_inventory_asset,32
bi_output,bi_output_customer_customer_facing_club_loyalty_offer,32
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl_userapi,31
bi_output,bi_output_customer_customer_facing_survey_taker,28
bi_output,bi_output_marketing_promotion_bi_db_promo_card,28
bi_output,bi_output_urban_notifications_daily_panel,27
bi_output,bi_output_dealing_tables_bi_db_latency_compensation,27
bi_output,bi_output_finance_tables_bi_db_sharelending_custodyreconciliation_uk,26
bi_output,bi_output_customer_customer_support_task,26
bi_output,bi_output_customer_customer_support_live_chat_transcript,26
bi_db,bi_output_compliance_illegal_trades_alerts_test,25
bi_output,bi_output_finance_tables_bi_db_sharelending_reconciliation,25
bi_output,bi_output_vg_case,25
bi_output,bi_output_customer_customer_facing_club_club_offer_eligibilty,24
bi_output,vg_positions_open_closed_iban_tp,24
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_getspreadedpricecandle60minsplitted,23
bi_output,bi_output_customer_customer_facing_club_loyalty_offer_request,23
bi_output,bi_output_customer_customer_support_customer_engagement,23
bi_output,bi_output_finance_tables_bi_db_sharelending_custodyreconciliation_eu,22
etoro_kpi_prep,v_ddr_revenues,22
bi_output,bi_output_customer_investment_capital_guarantee_capital_guarantee_q42024_global,22
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_sfmc_report_archive,21
bi_output,bi_output_deltaapp_subscription_view,21
bi_output,bi_output_finance_tables_tax_ptp_monitoring,20
bi_output,bi_output_customer_compliance_mas_population,20
etoro_kpi_stg,ddr_customersnapshot_dor,19
bi_output,bi_output_vg_crm_user,19
bi_output,bi_output_finance_tables_bi_db_sharelending_loansandcollateraluk,18
bi_db,gold_bi_db_bi_db_positionpnl,18
bi_output,bi_output_finance_tables_bi_db_sharelending_loansandcollateralmain,17
bi_output,bi_output_finance_tables_bi_db_sharelending_loansandcollateraleu,17
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,16
bi_output,bi_output_finance_tables_ptp_tax,16
bi_output,bi_output_finance_tables_ptp_tax_backup,16
bi_output,bi_output_customer_customer_facing_club_club_equity,16
bi_output,bi_output_wf_view,16
bi_output,bi_output_customer_customer_facing_survey,15
bi_output,bi_output_marketing_sfmc_sfmc_report,15
bi_output,bi_output_customer_social_social_feed,15
bi_output,bi_output_customer_customer_support_case_event,15
bi_output,bi_ouput_mvg_etoro_emoney,14
etoro_kpi_stg,v_marketing_campaigns_google,14
bi_db,gold_fivetran_google_sheets_real_future_fees,14
bi_output,bi_output_urban_notifications_daily_panel_agg,13
bi_output,bi_output_customer_external_table_isa,13
bi_output,v_external_france_wealth_contracts_transactions,13
bi_db,gold_prarsed_data,13
bi_output,bi_ouput_vg_etoro_emoney,12
bi_output,bi_output_dealing_markit_ca_stockdiv_spinoff_report,12
bi_output,vg_positionsvolumeandattributes_lc4_source_test1,12
bi_db,gold_rnd_experience_fivetran_google_sheets_ltv_by_leadscore_combinations,12
dwh,gold_sql_dp_prod_we_dwh_dbo_util_resultssourcetotarget_actions,12
bi_output,bi_output_finance_tables_all_trades_pivoted_net_vol,11
bi_output,bi_output_finance_tables_bi_db_hedge_nettingbalance,11
bi_output,bi_output_customer_customer_facing_am_survey,11
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerstatus,10
etoro_kpi_prep,event_log_5117375b_0b8d_434e_a2d1_fd7665b17686,10
bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_nop_report,10
bi_output,bi_output_marketing_acquisition_anomaly,10
bi_output,bi_output_customer_customer_facing_triggers_filtered,10
bi_output,bi_output_vg_mimo,10
bi_output,bi_output_vg_revenue,10
bi_output,bi_output_vg_customer_snapshot_v2,10
bi_output,bi_output_vg_copy_mimo,10
bi_output,bi_output_vg_customer_first_dates,10
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,9
dwh,gold_inc_test_dwh_dbo_fact_billingredeem,9
dwh,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_monthlypanel_fulldata,9
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,9
bi_output,bi_output_customer_customer_facing_agent_engagement,9
bi_output,bi_output_vg_customer_snapshot_test,9
bi_output,bi_output_marketing_marketingcloud_user_behavior_instrument,9
bi_output,bi_output_vg_aum,9
bi_output,bi_output_marketing_marketingcloud_user_behavior_pi,9
bi_output,bi_output_marketing_marketingcloud_user_behavior_pi_v,9
bi_output,bi_output_marketing_marketingcloud_user_behavior_instrument_v,9
