uc_fqn,empty_cols,wiki_path,wiki_cols_in_section4
main.bi_db.untrustedwe_blob_tableauevents_events,111,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,104,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_migration_v_riskclassification,91,,0
main.bi_output.bi_output_customer_customer_support_case,82,,0
main.bi_output.bi_output_finance_tables_customer_customer_deceased,81,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_test,80,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_from_synapse_emoneyclientbalance_to_generic_20260216,66,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_snapshotcustomer,55,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_SnapshotCustomer.md,0
main.bi_output.bi_output_finance_external_table_bi_db_sharelending_custodyreconciliation_external,52,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_python_bi_db_jira_data,51,,0
main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_reimbursementfollowup,51,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_ReimbursementFollowUp.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_bck,47,,0
main.bi_output.bi_output_vg_cf_crm_contact,45,,0
main.etoro_kpi_prep.v_fact_customeraction_w_metrics,43,,0
main.bi_output.bi_output_customer_customer_support_agent_user,39,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_custodyreconciliation,38,,0
main.bi_output.bi_output_v_recurring_investment,38,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_collateraldetailesmain,37,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_collateraldetaileseu,37,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_collateraldetailesuk,36,,0
main.bi_output.bi_output_finance_tables_bi_db_share_lending_allocation,36,,0
main.bi_output.bi_output_finance_external_table_bi_db_sharelending_reconciliation_external,32,,0
main.bi_output.bi_output_customer_customer_facing_club_inventory_asset,32,,0
main.bi_output.bi_output_customer_customer_facing_club_loyalty_offer,32,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl_userapi,31,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerUnrealized_PnL_UserAPI.md,0
main.bi_output.bi_output_customer_customer_facing_survey_taker,28,,0
main.bi_output.bi_output_marketing_promotion_bi_db_promo_card,28,,0
