class,phrase,table_fqn,query_count,unique_users,owning_skill_id,hub_skill_id,genie_space_id,genie_space_name,registered_table_count,actual_used_table_count,unused_registered_count,unregistered_used_count,used_not_documented_count,top_used_tables,unused_registered_sample,unregistered_used_sample,used_not_documented_sample,suggested_action
A,dateid,,2256,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'dateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,dateid,,2256,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'dateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,dateid,,2256,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'dateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,dateid,,2256,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'dateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,dateid,,2256,,pricing-and-currency-history,domain-trading,,,,,,,,,,,,PROMOTE phrase 'dateid' from sub-skill triggers to hub 'domain-trading' triggers
A,fromdateid,,1833,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'fromdateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,fromdateid,,1833,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'fromdateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,fromdateid,,1833,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'fromdateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,fromdateid,,1833,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'fromdateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,todateid,,1803,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'todateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,todateid,,1803,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'todateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,todateid,,1803,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'todateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,todateid,,1803,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'todateid' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,gcid,,1495,,emoney-accounts-and-cards,domain-payments,,,,,,,,,,,,PROMOTE phrase 'gcid' from sub-skill triggers to hub 'domain-payments' triggers
A,gcid,,1495,,emoney-accounts-and-cards,domain-payments,,,,,,,,,,,,PROMOTE phrase 'gcid' from sub-skill triggers to hub 'domain-payments' triggers
A,gcid,,1495,,emoney-accounts-and-cards,domain-payments,,,,,,,,,,,,PROMOTE phrase 'gcid' from sub-skill triggers to hub 'domain-payments' triggers
A,country,,1403,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-payments' triggers
A,country,,1403,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-payments' triggers
A,country,,1403,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-payments' triggers
A,country,,1403,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-payments' triggers
A,country,,1403,,oltp-customer-static-and-breaches,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,country,,1403,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-payments' triggers
A,country,,1403,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'country' from sub-skill triggers to hub 'domain-payments' triggers
A,region,,1308,,oltp-customer-static-and-breaches,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'region' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-payments' triggers
A,name,,1196,,fees-deposit-withdraw-fx,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'name' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,regulation,,1081,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'regulation' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,regulation,,1081,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'regulation' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,regulation,,1081,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'regulation' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,regulation,,1081,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'regulation' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
