schema,table,column,ordinal,current_len,current_rich,is_trivial,bucket,action,reason,wiki_path,wiki_len,wiki_rich,best_sibling_path,best_sibling_len,best_sibling_rich,current_comment,wiki_cell,best_sibling_cell
dealing,bestexecution_results,etr_ymd,0,272,0,False,MEDIUM_HAS_RICHER,converge_sibling,long-but-no-literals; sibling has r=1,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/WalletAssets.md,252,1,Year-month-day partition value (YYYYMMDD as INT) injected by the gold/spaceship pipeline. Equals YEAR(etr_ts)*10000 + MONTH(etr_ts)*100 + DAY(etr_ts). Used as Delta partition key for day-level pruning in UC. (Pipeline-injected metadata; not present in Synapse source DDL.),,"ETL partition key — year-month-day component derived from Occurred (e.g., ""2019-06-11""). Used by Generic Pipeline for data lake partitioning. Populated for historical data; empty/NULL for rows from ~2025 onwards. (Tier 3 — WalletDB.Wallet.WalletAssets)"
dealing,bestexecution_results,ExecutionID,1,35,0,False,WEAK_TRIVIAL_HAS_RICHER,converge_sibling,short; sibling Dealing_Daily_Latency_AllPositions.md 123ch r=2,,0,0,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Daily_Latency_AllPositions.md,123,2,Unique identifier for the execution,,EMS execution identifier. Links to CopyFromLake.eToroLogs_Real_Hedge_EMSOrders.ExecutionID. (Tier 2 — DWH_dbo.Dim_Position)
dealing,bestexecution_results,HedgeExecutionModeID,2,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
dealing,bestexecution_results,ExecutionType,3,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling Fact_Withdraw_Fees.md has 132ch r=0,,0,0,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Withdraw_Fees.md,132,0,,,"How execution was performed after preparation (internal routing to provider/billing). (Tier 4 — Confluence, Cashout (CO) Processing)"
dealing,bestexecution_results,ScriptType,4,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
dealing,bestexecution_results,IsOpen,5,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_CapitalGuarantee_Panel.md has 232ch r=3,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CapitalGuarantee_Panel.md,232,3,,,1 if the investor has at least one currently open copy position with this SP (MIN(CloseDateID)=0); 0 if all positions are closed. Open/closed sentinel: CloseDateID=0 = open mirror in Dim_Mirror. (Tier 2 — SP_Capital_Guarantee_Panel)
dealing,bestexecution_results,RejectionReason,6,62,0,False,WEAK_TRIVIAL_HAS_RICHER,converge_sibling,short; sibling BI_DB_RejectedDocuments.md 195ch r=1,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_RejectedDocuments.md,195,1,Rejection reason provided by the LP if the order was rejected.,,"Standardized rejection reason from Dictionary.DocumentRejectReason. Prefix 'POA -' = Proof of Address, 'POI -' = Proof of Identity. Top value: 'POA - Proof of address cannot be accepted' (27.7%)."
dealing,bestexecution_results,OrderStatus,7,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
dealing,bestexecution_results,TOBPrice,8,42,0,False,WEAK_TRIVIAL_NO_SIGNAL,orphan,short; no richer source,,0,0,,0,0,The client execution rate given by the TOB,,
dealing,bestexecution_results,LPExecutionSendingTime,9,59,0,False,WEAK_TRIVIAL_NO_SIGNAL,orphan,short; no richer source,,0,0,,0,0,The timestamp at which the LP sent the execution back to us,,
