schema,table,column,ordinal,current_len,current_rich,is_trivial,bucket,action,reason,wiki_path,wiki_len,wiki_rich,best_sibling_path,best_sibling_len,best_sibling_rich,current_comment,wiki_cell,best_sibling_cell
dwh,dim_position,PositionID,0,91,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,374,5,Unique identifier for an open or closed trading position. FK to Dim_Position/Fact_Position.,,"Position identifier. Allocated by Internal.GetPositionID_Bigint. Unique per position. HASH distribution key. DWH note: for ActionTypeID=36 + CompensationReasonID IN (117,118), extracted from Description field via reverse string parsing with TRY_CAST fallback. COALESCE prefers Dim_Position. (Tier 1 — Trade.PositionTbl) (via BI_DB_Fact_Customer_Action_Position_Distribution)"
dwh,dim_position,CID,1,129,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_US_Citizens_Under_Non_US_Regulation.md,142,5,Customer ID — the account that owns this position. References the customer entity. Nonclustered index supports CID-based queries.,,"Customer ID — platform-internal primary key. COALESCE(POB.RealCID, TIN.RealCID). From Dim_Customer.RealCID. (Tier 1 — Customer.CustomerStatic)"
dwh,dim_position,CurrencyID,2,108,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_AllPlatforms.md,359,5,Account currency for amounts/commissions. References Dim_Currency. In practice always 1 (USD) in this table.,,"Deposit: fbd.CurrencyID — “Currency of the deposit amount…” (Billing upstream). Withdraw: fbw.ProcessCurrencyID — “Currency used for the actual payment processing…” (Billing.WithdrawToFunding upstream). Same column merges both semantics via SP branch. MoneyFarm literal 3. Options 1 (USD). (Tier 1 — upstream wiki, Billing.Deposit / Billing.WithdrawToFunding)"
dwh,dim_position,ProviderID,3,67,0,False,WEAK_TRIVIAL_HAS_RICHER,converge_sibling,short; sibling Function_Instrument_Snapshot_Enriched.md 164ch r=3,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.md,164,3,"Legacy field, always 1. Originally identified the trading provider.",,"FK to Trade.Provider. Identifies the execution provider (e.g., 1=Tribe). From Trade.ProviderToInstrument. (Tier 1 — Trade.ProviderToInstrument) (via Dim_Instrument)"
dwh,dim_position,InstrumentID,4,169,0,False,MEDIUM_HAS_RICHER,converge_sibling,long-but-no-literals; sibling has r=5,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.md,334,5,"Financial instrument being traded (stock, forex, crypto, ETF, commodity, index). References Dim_Instrument. Drives settlement rules, fees, hedge routing, PnL conversion.",,"Composite instrument identifier. CASE WHEN eToroInstrumentID >= 100000 THEN eToroInstrumentID ELSE CryptoId END. For eToro-mapped instruments, equals eToroInstrumentID; for crypto-native instruments, equals CryptoID. Not a direct FK to EXW_Currency.Instruments. (Tier 2 — EXW_Wallet.CryptoTypes / EXW_Wallet.CryptoMarketRatesMappings)"
dwh,dim_position,HedgeID,5,133,1,False,MEDIUM_OK,leave_alone,medium; no clear win uc r=1,,0,0,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Position.md,98,2,Reference to a specific hedge record in Trade.Hedge. Links position to the corresponding hedge order. NULL if no direct hedge record.,,FK to Trade.Hedge. Broker executed hedge. NULL until hedge is opened. (Tier 1 — Trade.PositionTbl)
dwh,dim_position,HedgeServerID,6,100,1,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=4 > uc r=1,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_VarCommission.md,211,4,Hedge server routing/executing hedges for this position. References Trade.HedgeServer.HedgeServerID.,,"Hedge server that executed the trade. From Dim_PositionHedgeServerChangeLog_Snapshot (fallback: Dim_Position.HedgeServerID). (Tier 2 -SP_VarCommission, ISNULL(Snapshot.HedgeServerID, Dim_Position.HedgeServerID))"
dwh,dim_position,Leverage,7,143,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=2 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionHoldingTime.md,365,2,"Leverage multiplier (e.g., 1=no leverage/real ownership, 5=5x). Leverage=1 + IsSettled=1 → REAL settlement. Gross notional = Amount × Leverage.",,"Leverage multiplier. For regular positions: from Dim_Position.Leverage (1, 5, 10, 20, 30, 50, 100, 200, 400). For copy positions: hardcoded 0 (copy relationships have no instrument leverage). Determines margin and settlement type. Distribution: 1x=44.8%, 20x=23.5%, 10x=10.4%, 5x=10.3%, 30x=4.5%, 2x=3.3%, others <2%. (Tier 1 — Dim_Position wiki, Trade.PositionTbl)"
dwh,dim_position,Amount,8,109,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=10 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Total.md,332,10,Customer invested amount in USD. Updated proportionally on partial close. Gross notional = Amount × Leverage.,,"DDR branch: SUM(ga.Amount) grouped after WHERE ga.DateID BETWEEN @sdateInt AND @edateInt AND ga.Metric <> 'StakingLagOneMonth' (staking lag rows excluded from this union part). Staking branch: SUM(frsf.TotalUSDDistributed) from Function_Revenue_StakingFee(@sdateInt,@edateInt) with @OnlyValidCustomers filter on frsf.IsValidCustomer"
dwh,dim_position,AmountInUnitsDecimal,9,145,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=4 > uc r=0,,0,0,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Daily_Latency_AllPositions.md,168,4,"Position size in units of the underlying instrument (shares, crypto units, forex lots). Updated on partial close. Used in PnL and hedge exposure.",,"Trade size in instrument units, split-adjusted. Dim_Position.AmountInUnitsDecimal * COALESCE(SplitRatio.AmountRatio, 1). (Tier 2 — DWH_dbo.Dim_Position, split-adjusted)"
dwh,dim_position,LotCountDecimal,10,103,0,False,MEDIUM_OK,leave_alone,medium; no clear win uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_Real_Futures_Custody_And_Transfers.md,184,1,Position size in standard lots. Updated on partial close. Used in overnight fee and hedge calculations.,,"Current lot count with decimal precision. LAG-filled. NULLed for ChangeTypeID=1 (open events). (Tier 2 — SP_Finance_Real_Futures_Custody_And_Transfers, computed from LastKnownLotCount)"
dwh,dim_position,UnitMargin,11,115,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=2 > uc r=0,,0,0,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Position.md,78,2,"Margin requirement per unit at open, in account currency. Used for margin calcs, risk checks, regulatory reporting.",,Margin per unit. From Trade.ProviderToInstrument. (Tier 1 — Trade.PositionTbl)
dwh,dim_position,InitForexRate,12,103,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=2 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_Real_Futures_Custody_And_Transfers.md,151,2,Instrument exchange rate at open. Core PnL input: (CloseRate - InitForexRate) × Units × ConversionRate.,,"SQF-adjusted open rate. Computed: raw InitForexRate + ISNULL(adj.Adj, 0). (Tier 2 — SP_Finance_Real_Futures_Custody_And_Transfers, Prep_Data + SQF adj)"
dwh,dim_position,NetProfit,13,77,1,False,WEAK_TRIVIAL_NO_SIGNAL,orphan,short; no richer source,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.md,141,3,"Closed PnL in USD. Zero while open. Set at close: ROUND(@NetProfit / 100, 2).",,SUM(frfc.NetProfit) over the group. Base measure: Realized PnL. 0 when open; set on close. In position currency. (Tier 2 — Trade.PositionTbl)
