referring_schema,referring_name,referring_type,referenced_table_bare,sample_match
EXW_dbo,SP_EXW_DimUser_Enriched,SQL_STORED_PROCEDURE,BI_DB_KYC_Questions_Answers_Row_Data,_Desc'      FROM [BI_DB_dbo].[BI_DB_KYC_Questions_Answers_Row_Data] sub WITH(NOLOCK)      WHERE 
BI_DB_dbo,SP_DDR_Customer_Periodic_Status,SQL_STORED_PROCEDURE,BI_DB_DDR_Customer_Periodic_Status,S INT)  DELETE FROM BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status  WHERE DateID = @dateID  ; WI
BI_DB_dbo,SP_DDR_Customer_Periodic_Status,SQL_STORED_PROCEDURE,BI_DB_DDR_Customer_Daily_Status,ID DESC) AS rn FROM BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status bddcds WHERE bddcds.DateID be
BI_DB_dbo,SP_EndOfDayReport_Redeems,SQL_STORED_PROCEDURE,BI_DB_EndOfDayReport_Redeems, TRUNCATE TABLE  [BI_DB_dbo].[BI_DB_EndOfDayReport_Redeems]  INSERT INTO  [BI_DB_dbo].[B
BI_DB_dbo,SP_OPS_VerificationLevel2Stuck,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,stomer dc left join BI_DB_dbo.BI_DB_CIDFirstDates fd on fd.CID=dc.RealCID JOIN 
BI_DB_dbo,SP_OPS_VerificationLevel2Stuck,SQL_STORED_PROCEDURE,BI_DB_RiskAlertManagementTool,distinct a.CID FROM BI_DB_dbo.BI_DB_RiskAlertManagementTool a  JOIN #population1 p ON a.C
BI_DB_dbo,SP_OPS_VerificationLevel2Stuck,SQL_STORED_PROCEDURE,BI_DB_OPS_VerificationLevel2Stuck,   Truncate table  BI_DB_dbo.[BI_DB_OPS_VerificationLevel2Stuck]  INSERT INTO   BI_DB_dbo.[BI
BI_DB_dbo,SP_InterestDaily,SQL_STORED_PROCEDURE,BI_DB_InterestDaily,ists DELETE FROM [BI_DB_dbo].[BI_DB_InterestDaily]  WHERE [DayOfInterest]=@date
BI_DB_dbo,Function_Revenue_SDRT,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_Fact_Customer_Action_Position_Distribution,a.AffiliateID  FROM BI_DB_dbo.BI_DB_Fact_Customer_Action_Position_Distribution fca WHERE fca.DateID BETWEEN 
BI_DB_dbo,SP_H_EndOfDayReport_Redeems,SQL_STORED_PROCEDURE,BI_DB_EndOfDayReport_Redeems, TRUNCATE TABLE  [BI_DB_dbo].[BI_DB_EndOfDayReport_Redeems]  INSERT INTO  [BI_DB_dbo].[B
