"ProcedureName","TableName","TableSchema","BareTable","FrequencySP","Priority","ProcessType","ProcessName"
"BI_DB_dbo.SP_1099_part_A","BI_DB_dbo.BI_DB_Tax_1099_PartA","BI_DB_dbo","BI_DB_Tax_1099_PartA","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AcquisitionFunnel_AGG","BI_DB_dbo.BI_DB_AcquisitionFunnel_AGG","BI_DB_dbo","BI_DB_AcquisitionFunnel_AGG","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Affiliate_Guidlines_Report","BI_DB_dbo.BI_DB_Affiliate_Guidlines_Report","BI_DB_dbo","BI_DB_Affiliate_Guidlines_Report","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AffiliateCOAbuse","BI_DB_dbo.BI_DB_AffiliateCOAbuse","BI_DB_dbo","BI_DB_AffiliateCOAbuse","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AffiliatePaymentsReport","BI_DB_dbo.BI_DB_AffiliatePayment","BI_DB_dbo","BI_DB_AffiliatePayment","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AffiliatesPaidAndCashout","BI_DB_dbo.BI_DB_Daily_AffiliatesPaidAndCashout","BI_DB_dbo","BI_DB_Daily_AffiliatesPaidAndCashout","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AllDeposits","BI_DB_dbo.BI_DB_AllDeposits","BI_DB_dbo","BI_DB_AllDeposits","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AM_Portfolio_Summary","BI_DB_dbo.BI_DB_AM_Portfolio_Summary","BI_DB_dbo","BI_DB_AM_Portfolio_Summary","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_ASIC_Dashboard","BI_DB_dbo.BI_DB_AML_ASIC_Dashboard","BI_DB_dbo","BI_DB_AML_ASIC_Dashboard","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_BI_Alerts_MultipleAccountseMoney","BI_DB_dbo.BI_DB_AML_BI_Alerts_MultipleAccountseMoney","BI_DB_dbo","BI_DB_AML_BI_Alerts_MultipleAccountseMoney","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_BI_Alerts_New","BI_DB_dbo.BI_DB_AML_BI_Alerts_New","BI_DB_dbo","BI_DB_AML_BI_Alerts_New","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_BI_Alerts_New_Master_SubAccount","BI_DB_dbo.BI_DB_AML_BI_Alerts_New_Master_SubAccount","BI_DB_dbo","BI_DB_AML_BI_Alerts_New_Master_SubAccount","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_BI_Alerts_New_Singapore","BI_DB_dbo.BI_DB_AML_BI_Alerts_New_Singapore","BI_DB_dbo","BI_DB_AML_BI_Alerts_New_Singapore","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Documents_Request","BI_DB_dbo.BI_DB_AML_Documents_Request","BI_DB_dbo","BI_DB_AML_Documents_Request","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Gatsby_Alerts","BI_DB_dbo.BI_DB_AML_Gatsby_Alerts","BI_DB_dbo","BI_DB_AML_Gatsby_Alerts","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_German_Video_Ident","BI_DB_dbo.AML_German_Video_Ident","BI_DB_dbo","AML_German_Video_Ident","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_High_Risk_Wallet","BI_DB_dbo.BI_DB_AML_High_Risk_Wallet","BI_DB_dbo","BI_DB_AML_High_Risk_Wallet","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_IOB_Report","BI_DB_dbo.BI_DB_AML_IOB_Report","BI_DB_dbo","BI_DB_AML_IOB_Report","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_KYC_Process","BI_DB_dbo.BI_DB_AML_KYC_Process","BI_DB_dbo","BI_DB_AML_KYC_Process","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_KYC_SOF","BI_DB_dbo.BI_DB_AML_KYC_SOF","BI_DB_dbo","BI_DB_AML_KYC_SOF","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Periodic_Review","BI_DB_dbo.BI_DB_AML_Periodic_Review_AR","BI_DB_dbo","BI_DB_AML_Periodic_Review_AR","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Periodic_Review","BI_DB_dbo.BI_DB_AML_Periodic_Review_MR","BI_DB_dbo","BI_DB_AML_Periodic_Review_MR","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_Periodic_Review","BI_DB_dbo.BI_DB_AML_Periodic_Review_HR","BI_DB_dbo","BI_DB_AML_Periodic_Review_HR","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_DeviceID_Copiers","BI_DB_dbo","BI_DB_AML_PI_Abuse_DeviceID_Copiers","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_FID_PI_Side","BI_DB_dbo","BI_DB_AML_PI_Abuse_FID_PI_Side","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_FID_Copy_Side","BI_DB_dbo","BI_DB_AML_PI_Abuse_FID_Copy_Side","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_SameIP","BI_DB_dbo","BI_DB_AML_PI_Abuse_SameIP","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_DeviceID_PI_Side","BI_DB_dbo","BI_DB_AML_PI_Abuse_DeviceID_PI_Side","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_FID_Same_Copy","BI_DB_dbo","BI_DB_AML_PI_Abuse_FID_Same_Copy","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse","BI_DB_dbo","BI_DB_AML_PI_Abuse","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_DeviceID_Copy_Side","BI_DB_dbo","BI_DB_AML_PI_Abuse_DeviceID_Copy_Side","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_AML_PI_Abuse","BI_DB_dbo.BI_DB_AML_PI_Abuse_FID_Same_as_pi","BI_DB_dbo","BI_DB_AML_PI_Abuse_FID_Same_as_pi","Daily","0","1","SB_Daily"
