ProcedureName,TableName,FrequencySP,ProcessName,Priority,blacklist_reason,source_phase,source_verdict,max_update,modify_date,days_stale
BI_DB_dbo.SP_AB_Test,BI_DB_dbo.BI_DB_AB_Test,Daily,Daily,0,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_Daily_PI_Performance,BI_DB_dbo.BI_DB_Daily_PI_Performance,Daily,COPY DATA,1,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_DailyCommoditiesReport,BI_DB_dbo.BI_DB_DailyCommoditiesReport_Clients,Daily,COPY DATA,1,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_DailyZeroPnL_Stocks,BI_DB_dbo.BI_DB_DailyZeroPnL_Stocks,Daily,COPY DATA,0,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_MergedDailySchedules,BI_DB_dbo.BI_DB_MergedDailySchedules,Daily,COPY DATA,1,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_MonthlyGain,BI_DB_dbo.BI_DB_MonthlyGain,Monthly,Daily,0,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_MonthlyRiskScore,BI_DB_dbo.BI_DB_MonthlyRiskScore,Monthly,Daily,0,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_PI_Dashboard,BI_DB_dbo.BI_DB_PI_Dashboard,Daily,COPY DATA,1,A0_DISABLED,A0,A0_DISABLED,,,
BI_DB_dbo.SP_VolatilityEvents,BI_DB_dbo.BI_DB_VolatilityEvents,Daily,Daily,0,A0_DISABLED,A0,A0_DISABLED,,,
Dealing_dbo.SP_Boundary_Cost,Dealing_dbo.Dealing_Boundary_Cost,Daily,COPY DATA,0,A0_DISABLED,A0,A0_DISABLED,,,
DWH_pagetracking.Fact_MarketPageViews,DWH_pagetracking.Fact_MarketPageViews,Daily,COPY DATA,0,A0_DISABLED,A0,A0_DISABLED,,,
DWH_pagetracking.Fact_UserPageViews,DWH_pagetracking.Fact_UserPageViews,,COPY DATA,0,A0_DISABLED,A0,A0_DISABLED,,,
BI_DataBricks-etoro_customer_customer_deceased,BI_OUTPUT/Finance/Tables/customer_customer_deceased,Daily,Daily,0,A4_DAILY_30D,A0,A4_DAILY_30D,,,
DataBricks-export_table_to_file-SFMC_etoroDailyData,Gold/MC/SFMC_test/etoroDailyData,Daily,Daily,0,A4_DAILY_30D,A0,A4_DAILY_30D,,,
Dealing_dbo.SP_GSRecon,Dealing_dbo.Dealing_GSReconTrades,Daily,SB_Daily,0,A4_DAILY_30D,A0,A4_DAILY_30D,,,
[Dealing_dbo].[SP_CopyPortfolio_Allocation],[Dealing_dbo].Dealing_CopyPortfolio_Allocation,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DataBricks-Dealing_Latency_Report,analysis/BI_OUTPUT/Dealing/latency_compensation,Daily,Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DataBricks-PTP_Automation,analysis/BI_OUTPUT/Finance/Tables/Tax_PTP_Monitoring,Daily,Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.[SP_EY_Audit_RollOverFee],BI_DB_dbo.BI_DB_EY_Audit_RollOverFees,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.Client_Balance_Breakdown,BI_DB_dbo.Client_Balance_Breakdown_Instrument_Level,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AffiliateFraudLoss,BI_DB_dbo.BI_DB_Affiliate_Fraud_Loss,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AML_Affiliate_Abuse,BI_DB_dbo.BI_DB_AML_Affiliate_Abuse_Users,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AML_Multiple_Accounts,BI_DB_dbo.BI_DB_AML_Multiple_Accounts_Withdrawfulldata,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AML_Terror_Monitor_Dashboard,BI_DB_dbo.BI_DB_AML_Terror_Monitor_Dashboard,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_ASIC_ClientBalanceFinance,BI_DB_dbo.BI_DB_ASIC_ClientBalanceFinance,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AssignmentToolBacklog,BI_DB_dbo.BI_DB_AssignmentToolBacklog,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AssignmentToolSLAs,BI_DB_dbo.BI_DB_AssignmentToolSLAs,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AssignmentToolTasks,BI_DB_dbo.BI_DB_AssignmentToolTasks,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_AssignmentToolVolumes,BI_DB_dbo.BI_DB_AssignmentToolVolumes,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_BI_DB_ASIC_Monitoring_CFD,BI_DB_dbo.BI_DB_ASIC_Monitoring_CFD,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_BI_DB_ASIC_Monitoring_CFD_W_Sun,BI_DB_dbo.BI_DB_ASIC_Monitoring_CFD_W_Sun,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_BI_DB_Compliance_BI_Clients_Dashboard,BI_DB_dbo.BI_DB_Compliance_Clients_Dashboard_EOM_Pos,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_CB_Gap_Categorization,BI_DB_dbo.BI_DB_CB_CycleGap_Categorization,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_CID_Daily_NWA,BI_DB_dbo.BI_DB_CID_Daily_NWA,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Client_Balance_New,BI_DB_dbo.BI_DB_Client_New_CompensationBreakdown,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Copyfunds_Watched_Not_Invested,BI_DB_dbo.BI_DB_Copyfunds_Watched_Not_Invested,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Crypto_NOP,BI_DB_dbo.BI_DB_Crypto_NOP_CID,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_CycleGap,BI_DB_dbo.BI_DB_CycleGap,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_D_Email_for_KYT,BI_DB_dbo.Email_for_KYT,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Daily_CB_Gaps_All,BI_DB_dbo.BI_DB_Daily_CB_Gaps_All,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Daily_CreditLine,BI_DB_dbo.BI_DB_Daily_CreditLine,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Daily_Dividends,BI_DB_dbo.BI_DB_Daily_Dividends,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Daily_PI_Performance_COPYDATA_RuningSideBySide,BI_DB_dbo.BI_DB_Daily_PI_Performance_COPYDATA_RuningSideBySide,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_DailyDividendsByPosition,BI_DB_dbo.BI_DB_DailyDividendsByPosition,Daily,SB_Daily,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_DailyZero_TreeSize_NEW,BI_DB_dbo.BI_DB_DailyZero_TreeSize_NEW,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_DepositWithdrawFee,BI_DB_dbo.BI_DB_DepositWithdrawFee,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_DWH_GainDaily_COPYDATA_RuningSideBySide,BI_DB_dbo.DWH_GainDaily_COPYDATA_RuningSideBySide,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_ECB_ExchangeRateAPI_Update_Columns,BI_DB_dbo.BI_DB_ECB_RateExtractFromAPI,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_EndOfDayReport_Cashouts,BI_DB_dbo.BI_DB_EndOfDayReport_Cashouts,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_EndOfDayReport_Redeems,BI_DB_dbo.BI_DB_EndOfDayReport_Redeems,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_EY_Audit_Auditor_Unrealized_Calculations,BI_DB_dbo.BI_DB_EY_Audit_Automation_UnrealizedCommissions_Results,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_EY_Audit_Opened_Positions,BI_DB_dbo.EY_Audit_Automation_Position_Open_Configs,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_EY_Audit_Position_LastOpPriceRate,BI_DB_dbo.EY_Audit_Position_LastOpRate,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Finance_Non_US_Settlement_Report,BI_DB_dbo.BI_DB_GAML_Real_Positions_Report_Opened_2022,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Finance_Panel_Reports,BI_DB_dbo.BI_DB_Finance_Panel_Reports,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_FirstTimeFunded,BI_DB_dbo.BI_DB_FirstTimeFunded,Daily,SB_Daily,90,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_FirstTimeRev30,BI_DB_dbo.BI_DB_FirstTimeRev30,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Guru_Ratio_Populate,BI_DB_dbo.BI_DB_GuruRatios,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_GuruRatio,BI_DB_dbo.BI_DB_GuruRatios,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Instrument_Details_During_Call,BI_DB_dbo.BI_DB_Instrument_Details_During_Call,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_KYC_Report,BI_DB_dbo.BI_DB_KYCUserRawDataLeveled,Daily,SB_Daily,1,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_MarketingCloudUserBehavior,BI_DB_dbo.BI_DB_MarketingCloudUserBehaviorPI,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_NOP_TradingActivity_Risk_Daily,BI_DB_dbo.BI_DB_TradingActivity_Risk_Daily,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Outliers_New,BI_DB_dbo.BI_DB_Outliers_New,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_PI_Dashboard_COPYDATA_RuningSideBySide,BI_DB_dbo.BI_DB_PI_WeeklyTrades,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_PositionPnL,BI_DB_dbo.BI_DB_PositionPnL,Daily,SB_Daily,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_PositionPnL_UnrealizedPnL_Close_Adjustment,BI_DB_dbo.BI_DB_PositionPnL_UnrealizedPnL_Close_Adjustment,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Professional_List,SalesForce_dbo.Professional_List,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Real_Crypto_Loans,BI_DB_dbo.BI_DB_Real_Crypto_Loan,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_RealCrypto_Lev2,BI_DB_dbo.BI_DB_RealCrypto_Lev2,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Risk_RiskStatusChange,BI_DB_dbo.BI_DB_Risk_RiskStatusChanges,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_RiskClassification,BI_DB_dbo.BI_DB_RiskClassification,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_RollOverFee_Dividends,BI_DB_dbo.BI_DB_RollOverFee_Dividends,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_SCD_Staking_Position,BI_DB_dbo.SCD_Staking_Position_Log,Daily,COPY DATA,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_SF_Cases,BI_DB_dbo.BI_DB_SF_Cases_Panel,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_SF_Cases_Panel,BI_DB_dbo.BI_DB_SF_Cases_Panel,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Social_Activity_COPYDATA_RuningSideBySide,BI_DB_dbo.BI_DB_Social_Activity_COPYDATA_RuningSideBySide,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Social_Activity_Updates_COPYDATA_RuningSideBySide,BI_DB_dbo.BI_DB_Social_Activity_Updates_COPYDATA_RuningSideBySide,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_SpreadedPriceCandle60MinSplitted,BI_DB_dbo.BI_DB_SpreadedPriceCandle60MinSplitted,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Staking_Daily_Email_for_labs,BI_DB_dbo.BI_DB_Staking_Daily_Email_for_labs,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_TicketsForOPSNEW,BI_DB_dbo.BI_DB_TicketsForOPS_NEW,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_Users_Bio,BI_DB_dbo.BI_DB_Publications,Daily,SB_Daily,20,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BI_DB_dbo.SP_VarCommission,BI_DB_dbo.BI_DB_VarCommission,Daily,FinanceReportSPS,99,A4_DAILY_365D,A0,A4_DAILY_365D,,,
BigQueryGADataUploadData_Ltv,RawData.pLTV_30d,Daily,Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DataBricks-Sedric_IsMajor,internal-sources/Gold/Sedric/IsMajor,Daily,Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.Bronze_Fivetran_google_sheets_marex_mapping_table,CopyFromLake.Bronze_Fivetran_google_sheets_marex_mapping_table,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.DB_Logs_History_OrderForClose,CopyFromLake.DB_Logs_History_OrderForClose,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.DB_Logs_History_OrderForOpen,CopyFromLake.DB_Logs_History_OrderForOpen,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_DWH_HistoryOrderForClose,CopyFromLake.etoro_DWH_HistoryOrderForClose,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_Hedge_HBCExecutionLog,CopyFromLake.etoro_Hedge_HBCExecutionLog,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_History_OrdersMarketFail,CopyFromLake.etoro_History_OrdersMarketFail,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.etoro_Trade_OrdersEntryTbl,CopyFromLake.etoro_Trade_OrdersEntryTbl,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.eToroLogs_Real_Hedge_EMSOrders,CopyFromLake.eToroLogs_Real_Hedge_EMSOrders,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.eToroLogs_Real_Hedge_RequestExecutionLog,CopyFromLake.eToroLogs_Real_Hedge_RequestExecutionLog,Daily,SB_Daily,0,A4_DAILY_365D,A0,A4_DAILY_365D,,,
