"ProcedureName","TableName","IsActive","FrequencySP","ProcessType","ProcessName","Priority","last_success","last_failure","last_seen","successes_90d","failures_90d","phase_a_verdict","proc_kind"
"BI_DB_dbo.SP_AB_Test","BI_DB_dbo.BI_DB_AB_Test","0","Daily","1","Daily","0","2023-01-25 05:32:26","2022-10-13 09:44:19","2023-01-25 05:32:26","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_Daily_PI_Performance","BI_DB_dbo.BI_DB_Daily_PI_Performance","0","Daily","1","COPY DATA","1","2024-03-16 20:32:26","2024-03-03 21:02:02","2024-03-16 20:32:26","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_DailyCommoditiesReport","BI_DB_dbo.BI_DB_DailyCommoditiesReport_Clients","0","Daily","1","COPY DATA","1","2024-04-10 07:30:44","2024-06-02 08:32:53","2024-06-02 08:32:53","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_DailyZeroPnL_Stocks","BI_DB_dbo.BI_DB_DailyZeroPnL_Stocks","0","Daily","1","COPY DATA","0","2024-02-10 08:44:38","2024-04-05 20:21:46","2024-04-05 20:21:46","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_MergedDailySchedules","BI_DB_dbo.BI_DB_MergedDailySchedules","0","Daily","1","COPY DATA","1","2024-06-02 05:33:59","2024-03-10 06:30:07","2024-06-02 05:33:59","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_MonthlyGain","BI_DB_dbo.BI_DB_MonthlyGain","0","Monthly","1","Daily","0","2023-01-25 06:19:14","2022-09-13 07:23:21","2023-01-25 06:19:14","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_MonthlyRiskScore","BI_DB_dbo.BI_DB_MonthlyRiskScore","0","Monthly","1","Daily","0","2023-01-25 06:01:01","2022-09-13 07:09:54","2023-01-25 06:01:01","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_PI_Dashboard","BI_DB_dbo.BI_DB_PI_Dashboard","0","Daily","1","COPY DATA","1","2024-03-16 20:24:13","2024-02-22 20:32:49","2024-03-16 20:24:13","0","0","A0_DISABLED","synapse_sp"
"BI_DB_dbo.SP_VolatilityEvents","BI_DB_dbo.BI_DB_VolatilityEvents","0","Daily","1","Daily","0","2023-01-25 06:32:10","2022-11-01 09:12:38","2023-01-25 06:32:10","0","0","A0_DISABLED","synapse_sp"
"Dealing_dbo.SP_Boundary_Cost","Dealing_dbo.Dealing_Boundary_Cost","0","Daily","1","COPY DATA","0","2023-03-16 08:37:06","","2023-03-16 08:37:06","0","0","A0_DISABLED","synapse_sp"
"DWH_pagetracking.Fact_MarketPageViews","DWH_pagetracking.Fact_MarketPageViews","0","Daily","1","COPY DATA","0","2024-06-01 10:44:32","2024-06-02 08:30:32","2024-06-02 08:30:32","0","0","A0_DISABLED","synapse_sp"
"DWH_pagetracking.Fact_UserPageViews","DWH_pagetracking.Fact_UserPageViews","0","","1","COPY DATA","0","2024-06-01 10:41:30","2024-06-02 08:30:31","2024-06-02 08:30:31","0","0","A0_DISABLED","synapse_sp"
"BI_DataBricks-etoro_customer_customer_deceased","BI_OUTPUT/Finance/Tables/customer_customer_deceased","1","Daily","12","Daily","0","2026-03-22 04:08:39","2026-04-20 04:19:35","2026-04-20 04:19:35","20","102","A4_DAILY_30D","databricks_job"
"DataBricks-export_table_to_file-SFMC_etoroDailyData","Gold/MC/SFMC_test/etoroDailyData","1","Daily","10","Daily","0","2026-04-13 10:07:46","","2026-04-13 10:07:46","3","0","A4_DAILY_30D","other"
"Dealing_dbo.SP_GSRecon","Dealing_dbo.Dealing_GSReconTrades","1","Daily","1","SB_Daily","0","2026-04-13 06:24:16","2024-10-31 06:32:04","2026-04-13 06:24:16","50","0","A4_DAILY_30D","synapse_sp"
"[Dealing_dbo].[SP_CopyPortfolio_Allocation]","[Dealing_dbo].Dealing_CopyPortfolio_Allocation","1","Daily","1","SB_Daily","0","2023-03-11 04:20:13","","2023-03-11 04:20:13","0","0","A4_DAILY_365D","other"
