ProcedureName,TableName,FrequencySP,ProcessName,Priority,object_type,max_update,modify_date,freshness_method,days_stale,verdict,decision
BI_DB_dbo.SP_1099_part_A,BI_DB_dbo.BI_DB_Tax_1099_PartA,Daily,SB_Daily,0,USER_TABLE,9/29/2024,9/18/2024 14:02,UpdateDate,609.5,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_AcquisitionFunnel_AGG,BI_DB_dbo.BI_DB_AcquisitionFunnel_AGG,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:26,2/9/2022 8:15,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Affiliate_Guidlines_Report,BI_DB_dbo.BI_DB_Affiliate_Guidlines_Report,Daily,SB_Daily,0,USER_TABLE,5/31/2026 0:00,6/29/2023 14:48,UpdateDate,0.5,KEEP,KEEP
BI_DB_dbo.SP_AffiliateCOAbuse,BI_DB_dbo.BI_DB_AffiliateCOAbuse,Daily,SB_Daily,0,USER_TABLE,2/2/2026 5:04,4/29/2021 15:45,UpdateDate,118.3,A3_DAILY_90D,blacklist
BI_DB_dbo.SP_AffiliatePaymentsReport,BI_DB_dbo.BI_DB_AffiliatePayment,Daily,SB_Daily,0,USER_TABLE,5/2/2026 4:58,3/24/2022 13:24,UpdateDate,29.3,KEEP,KEEP
BI_DB_dbo.SP_AffiliatesPaidAndCashout,BI_DB_dbo.BI_DB_Daily_AffiliatesPaidAndCashout,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:37,11/17/2024 8:38,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_AllDeposits,BI_DB_dbo.BI_DB_AllDeposits,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:39,3/19/2024 15:42,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_AM_Portfolio_Summary,BI_DB_dbo.BI_DB_AM_Portfolio_Summary,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:52,4/29/2021 15:45,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_AML_ASIC_Dashboard,BI_DB_dbo.BI_DB_AML_ASIC_Dashboard,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:39,12/3/2023 14:24,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_AML_BI_Alerts_MultipleAccountseMoney,BI_DB_dbo.BI_DB_AML_BI_Alerts_MultipleAccountseMoney,Daily,SB_Daily,0,USER_TABLE,4/23/2026 7:34,5/20/2025 12:55,UpdateDate,38.2,A3_DAILY_30D,Keep
BI_DB_dbo.SP_AML_BI_Alerts_New,BI_DB_dbo.BI_DB_AML_BI_Alerts_New,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:50,11/17/2024 8:38,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_AML_BI_Alerts_New_Master_SubAccount,BI_DB_dbo.BI_DB_AML_BI_Alerts_New_Master_SubAccount,Daily,SB_Daily,0,USER_TABLE,5/16/2026 5:27,4/28/2025 13:44,UpdateDate,15.3,KEEP,KEEP
BI_DB_dbo.SP_AML_BI_Alerts_New_Singapore,BI_DB_dbo.BI_DB_AML_BI_Alerts_New_Singapore,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:16,5/20/2025 10:06,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_AML_Documents_Request,BI_DB_dbo.BI_DB_AML_Documents_Request,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:11,1/19/2025 15:45,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_AML_Gatsby_Alerts,BI_DB_dbo.BI_DB_AML_Gatsby_Alerts,Daily,SB_Daily,0,USER_TABLE,5/30/2026 13:44,1/2/2024 8:37,UpdateDate,0.9,KEEP,KEEP
BI_DB_dbo.SP_AML_German_Video_Ident,BI_DB_dbo.AML_German_Video_Ident,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:45,7/17/2023 9:24,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_AML_High_Risk_Wallet,BI_DB_dbo.BI_DB_AML_High_Risk_Wallet,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:33,8/18/2024 7:05,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_AML_IOB_Report,BI_DB_dbo.BI_DB_AML_IOB_Report,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:27,7/8/2025 8:25,UpdateDate,0.3,KEEP,KEEP
