sp,produces,schedule,prio,active,sp_type,dep_sp,dep_table,dep_type,last_status,last_start,last_end,last_dur
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,60,True,SQL,,,,Not running,,,
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,60,True,,BI_DB_dbo.SP_DDR_Fact_AUM,BI_DB_dbo.BI_DB_DDR_Fact_AUM,SQL,Completed,2026-06-02 07:31:15.120000,2026-06-02 07:37:13.557000,00:05:58.436666
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,60,True,,BI_DB_dbo.SP_DDR_Fact_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,SQL,Completed,2026-06-02 07:41:49.940000,2026-06-02 07:43:30.600000,00:01:40.660000
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,0,True,,BI_DB_dbo.SP_DDR_Fact_Non_Revenue_Generating_Actions,BI_DB_dbo.BI_DB_DDR_Fact_Non_Revenue_Generating_Actions,SQL,Completed,2026-06-02 05:12:59.433000,2026-06-02 05:19:37.200000,00:06:37.766666
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,60,True,,BI_DB_dbo.SP_DDR_Fact_PnL,BI_DB_dbo.BI_DB_DDR_Fact_PnL,SQL,Completed,2026-06-02 05:12:58.700000,2026-06-02 05:30:16.040000,00:17:17.340000
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,60,True,,BI_DB_dbo.SP_DDR_Fact_Revenue_Generating_Actions,BI_DB_dbo.BI_DB_DDR_Fact_Revenue_Generating_Actions,SQL,Completed,2026-06-02 07:51:21.897000,2026-06-02 07:55:22.940000,00:04:01.043333
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,60,True,,eMoney_dbo.SP_eMoney_DimFact_Transaction,eMoney_dbo.eMoney_Fact_Transaction_Status,SQL,Completed,2026-06-02 06:16:59.097000,2026-06-02 06:42:27.203000,00:25:28.106666
BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SB_Daily,70,True,,eMoney_dbo.SP_eMoney_ClientBalance,eMoney_dbo.eMoneyClientBalance,SQL,Completed,2026-06-02 07:14:52.057000,2026-06-02 07:29:18.563000,00:14:26.506666
BI_DB_dbo.SP_DDR_Customer_Periodic_Status,BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status,SB_Daily,60,True,SQL,,,,Not running,,,
BI_DB_dbo.SP_DDR_Customer_Periodic_Status,BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status,SB_Daily,60,True,,BI_DB_dbo.SP_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,SQL,Not running,,,
