side,RevenueMetricID,ActionTypeID,ActionType,rows,sum_amount
syn,1,1,ManualPositionOpen,113326,956431.62
syn,1,2,CopyPositionOpen,107724,73478.21
syn,1,3,CopyPlusPositionOpen,53,8.38
syn,1,4,ManualPositionClose,94507,-27816.05
syn,1,5,CopyPositionClose,115366,4367.28
syn,1,6,CopyPlusPositionClose,806,110.60
syn,2,1,ManualPositionOpen,113326,352582.71
syn,2,2,CopyPositionOpen,107724,1372.17
syn,2,3,CopyPlusPositionOpen,53,0.22
syn,2,4,ManualPositionClose,94507,-40475.90
syn,2,5,CopyPositionClose,115366,-1716.41
syn,2,6,CopyPlusPositionClose,806,-141.17
syn,3,-1,TicketFee,47773,166434.00
syn,4,-1,TicketFeeByPercent,68950,743473.64
syn,5,-1,Rollover,248100,339788.77
syn,6,-1,SpotPriceAdjustment,84,226.99
syn,7,-1,AdminFee,853,5444.57
syn,8,-1,CashoutFeeExclRedeem,18575,11620.00
syn,9,-1,Redeem,59,2106.47
syn,10,-1,Deposit,22226,209429.90
syn,10,-1,Withdraw,18626,166407.59
syn,11,-1,C2F,64,129.44
syn,16,-1,Dividends,84076,232757.78
syn,17,-1,SDRT,7280,7583.39
dbx,1,1,ManualPositionOpen,113323,956431.62
dbx,1,2,CopyPositionOpen,107724,73478.21
dbx,1,3,CopyPlusPositionOpen,53,8.38
dbx,1,4,ManualPositionClose,94507,-27816.05
dbx,1,5,CopyPositionClose,113827,4367.28
dbx,1,6,CopyPlusPositionClose,805,110.60
dbx,2,1,ManualPositionOpen,113323,352582.71
dbx,2,2,CopyPositionOpen,107724,1372.17
dbx,2,3,CopyPlusPositionOpen,53,0.22
dbx,2,4,ManualPositionClose,94507,-40475.90
dbx,2,5,CopyPositionClose,113827,-1716.41
dbx,2,6,CopyPlusPositionClose,805,-141.17
dbx,3,,TicketFee,116744,909907.64
dbx,5,,Rollover,248111,339788.77
dbx,6,,SpotPriceAdjustment,84,226.99
dbx,7,,AdminFee,853,5444.57
dbx,8,,CashoutFeeExclRedeem,18575,11620.00
dbx,9,,Redeem,59,2106.47
dbx,10,,Deposit,18739,209429.90
dbx,10,,Withdraw,16000,166407.59
dbx,10,,Reversal,1,0.00
dbx,15,,InterestFee,3319,
dbx,16,,Dividends,84065,232757.78
dbx,17,,SDRT,7280,7583.39
