side,InstrumentTypeID,rows,sum_volume_open,sum_volume_close,sum_invested_open,sum_invested_close,sum_net_invested,sum_count_tx
syn,1,3437,84068972,74215198,2642998.06,2646476.67,-3478.61,10186
syn,2,26632,625842670,589365880,44404179.78,43497653.96,906525.82,95413
syn,4,16267,515791664,510056203,26316607.25,26740446.38,-423839.13,66223
syn,5,208881,363297681,355001513,236207477.77,222772820.52,13434657.25,2409963
syn,6,45972,34844039,37461218,24368641.40,24067092.48,301548.92,211203
syn,10,13948,8655180,10436805,7201878.39,9473126.51,-2271248.12,57061
dbx,1,3594,84069283,74215198,2642998.06,2656512.25,-13514.19,10186
dbx,2,27317,625842900,589365880,44422226.70,44181374.34,240852.36,95413
dbx,4,18879,515803775,510056203,26320357.13,26586377.51,-266020.38,66223
dbx,5,261881,363298965,355001513,236207477.77,240869950.24,-4662472.47,2409963
dbx,6,51644,34844130,37461218,24368641.40,25318611.17,-949969.77,211203
dbx,10,13790,8655179,10436805,7201878.39,8641119.05,-1439240.66,57061
