object,schema,name,kind,hops_from_seed,mapped_uc,currently_documented,wiki_path,slop_t4_hits
bi_db_dbo.bi_db_aml_sar_report_fca,BI_DB_dbo,BI_DB_AML_SAR_Report_FCA,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.md,0
bi_db_dbo.bi_db_aml_singapore_risk_classification,BI_DB_dbo,BI_DB_AML_Singapore_Risk_Classification,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_singapore_risk_classification,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Singapore_Risk_Classification.md,0
bi_db_dbo.bi_db_aml_subentity_categorization,BI_DB_dbo,BI_DB_AML_SubEntity_Categorization,seed_dwh_internal,0,compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.md,0
bi_db_dbo.bi_db_amlperiodicreview,BI_DB_dbo,BI_DB_AMLPeriodicReview,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AMLPeriodicReview.md,0
bi_db_dbo.bi_db_appflyer_reports,BI_DB_dbo,BI_DB_AppFlyer_Reports,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AppFlyer_Reports.md,0
bi_db_dbo.bi_db_approperiatenesstest_ftp_cid_level,BI_DB_dbo,BI_DB_ApproperiatenessTest_FTP_CID_Level,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_approperiatenesstest_ftp_cid_level,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ApproperiatenessTest_FTP_CID_Level.md,0
bi_db_dbo.bi_db_asic_clientbalancefinance,BI_DB_dbo,BI_DB_ASIC_ClientBalanceFinance,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ASIC_ClientBalanceFinance.md,0
bi_db_dbo.bi_db_cb_cyclegap_categorization,BI_DB_dbo,BI_DB_CB_CycleGap_Categorization,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CB_CycleGap_Categorization.md,0
bi_db_dbo.bi_db_cid_daily_nwa,BI_DB_dbo,BI_DB_CID_Daily_NWA,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_Daily_NWA.md,0
bi_db_dbo.bi_db_cid_dailycluster,BI_DB_dbo,BI_DB_CID_DailyCluster,seed_dwh_internal,0,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailycluster,true,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyCluster.md,0
