"Schema","Object","Action","Reason","Files"
"BI_DB_dbo","BI_DB_Adwords_Dictionary_AdGroup","applied","BETTER","3"
"BI_DB_dbo","BI_DB_CID_Daily_AcquisitionFunnel_VBT","applied","BETTER","3"
"BI_DB_dbo","BI_DB_CIDFirstDates","applied","BETTER","3"
"Dealing_dbo","Dealing_Apex_PnL","applied","BETTER","3"
"Dealing_dbo","Dealing_Apex_PnL_Daily","applied","BETTER","3"
"Dealing_dbo","Dealing_Apex_PnL_EE_Daily","applied","BETTER","3"
"Dealing_dbo","Dealing_Boundary_Cost","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_Conditions","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_ConditionToCP","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_CP","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_CPToRule","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_ListCIDMapping","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_NameLists","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_Rules","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPWeeklyAudit_Conditions","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPWeeklyAudit_CP","applied","BETTER","3"
"Dealing_dbo","Dealing_CEPWeeklyAudit_ListCIDMapping","applied","BETTER","3"
"Dealing_dbo","Dealing_HedgeCost","applied","BETTER","3"
"Dealing_dbo","Dealing_IGReconEODHolding","applied","BETTER","3"
"DWH_dbo","Dim_ActionType","applied","BETTER","3"
"DWH_dbo","Dim_CardType","applied","BETTER","3"
"DWH_dbo","Dim_CashoutReason","applied","BETTER","3"
"DWH_dbo","Dim_Channel","applied","BETTER","3"
"DWH_dbo","Dim_HistorySplitRatio","applied","BETTER","3"
"DWH_dbo","Dim_Instrument","applied","BETTER","3"
"DWH_dbo","Dim_MoveMoneyReason","applied","BETTER","3"
