Schema,Object,Bucket,PickReason,CurrentQuality,InfHits,T4InfHits,Dormant,HasUpstreamLog,MTime,CurrentPath
BI_DB_dbo,BI_DB_CIDFunnelFlow,good,"good: Q>=8.5, no slop, not dormant",9.68,0,0,False,False,4/21/2026 10:41:06 PM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\BI_DB_dbo\Tables\BI_DB_CIDFunnelFlow.md
BI_DB_dbo,BI_DB_AB_Test,median,"median: Q in [7.5,8.0), low slop",7.50,0,0,False,False,4/23/2026 9:27:38 PM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\BI_DB_dbo\Tables\BI_DB_AB_Test.md
BI_DB_dbo,BI_DB_AdvancedDeposit_Ext,slop,slop: T4InfHits>=5,7.00,0,47,True,False,4/27/2026 8:23:44 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\BI_DB_dbo\Tables\BI_DB_AdvancedDeposit_Ext.md
BI_DB_dbo,BI_DB_AffData,dormant,dormant: Production Source: Unknown (dormant),7.00,0,10,True,False,4/27/2026 8:57:53 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\BI_DB_dbo\Tables\BI_DB_AffData.md
BI_DB_dbo,BI_DB_Failed_Verification_MA,random,"random: Q in [8.0,8.5), no slop",8.00,0,0,False,False,4/26/2026 11:20:04 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\BI_DB_dbo\Tables\BI_DB_Failed_Verification_MA.md
DWH_dbo,V_Liabilities,good,"good: Q>=8.5, no slop, not dormant",9.20,0,0,False,False,3/29/2026 12:05:15 PM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\DWH_dbo\Views\V_Liabilities.md
DWH_dbo,Dim_ExecutionOperationType,median,"median: Q in [7.5,8.0), low slop",7.50,0,0,False,False,3/23/2026 11:31:14 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\DWH_dbo\Tables\Dim_ExecutionOperationType.md
DWH_dbo,Fact_Deposit_Fees,slop,slop: T4InfHits>=5,7.40,0,14,False,False,3/23/2026 11:31:15 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\DWH_dbo\Tables\Fact_Deposit_Fees.md
DWH_dbo,Dim_ContactType,dormant,dormant (no dormant in schema): low-Q proxy,4.50,0,1,False,False,3/23/2026 11:31:14 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\DWH_dbo\Tables\Dim_ContactType.md
DWH_dbo,Dim_AccountType,random,"random: Q in [8.0,8.5), no slop",8.00,0,0,False,False,3/23/2026 11:31:13 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\DWH_dbo\Tables\Dim_AccountType.md
Dealing_dbo,Dealing_Islamic_Daily_Administrative_Fee,good,"good: Q>=8.5, no slop, not dormant",9.00,0,0,False,False,3/23/2026 11:31:17 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\Dealing_dbo\Tables\Dealing_Islamic_Daily_Administrative_Fee.md
Dealing_dbo,Dealing_Apex_PnL,median,"median: Q in [7.5,8.0), low slop",7.50,0,1,False,False,4/23/2026 4:38:26 PM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\Dealing_dbo\Tables\Dealing_Apex_PnL.md
Dealing_dbo,Dealing_SaxoRecon_FXnCommed_Trades,slop,slop: T4InfHits>=5,,0,20,False,False,3/23/2026 11:31:18 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\Dealing_dbo\Tables\Dealing_SaxoRecon_FXnCommed_Trades.md
Dealing_dbo,Dealing_MarketMakerAllTradeEtoroX,dormant,dormant (no dormant in schema): low-Q proxy,5.00,0,0,False,False,3/23/2026 11:31:18 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\Dealing_dbo\Tables\Dealing_MarketMakerAllTradeEtoroX.md
Dealing_dbo,Dealing_CME_Reporting,random,"random: Q in [8.0,8.5), no slop",8.00,0,0,False,False,3/23/2026 11:31:16 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\Dealing_dbo\Tables\Dealing_CME_Reporting.md
eMoney_dbo,eMoney_Dictionary_TransactionType,good,"good: Q>=8.5, no slop, not dormant",9.30,0,0,False,False,4/21/2026 6:29:09 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\eMoney_dbo\Tables\eMoney_Dictionary_TransactionType.md
eMoney_dbo,eMoney_Client_Balance_Check_Exceptions_Gap,median,median (final fallback): any remaining row,8.50,0,0,False,False,4/21/2026 10:39:19 AM,C:\Users\guyman\Documents\github\Databricks_Knowledge\knowledge\synapse\Wiki\eMoney_dbo\Tables\eMoney_Client_Balance_Check_Exceptions_Gap.md
