app_class,distinct_app_names,distinct_logins,requests,total_seconds,avg_ms,max_ms,failed_count,pct_of_total_compute
ADF / Synapse Pipelines,189,2,3941,47138,11961,341988,703,97.0
Python/pyodbc,1,3,1354,491,363,232353,24,1.0
Tableau,1,6,1087,359,331,84827,0,0.7
Databricks/Spark,1,1,1075,268,249,3200,0,0.6
Microsoft SQL Server (background),1,1,1713,191,111,2616,45,0.4
go-mssqldb,1,1,680,146,215,508,0,0.3
Internal,1,1,16,65,4067,54039,0,0.1
.Net SqlClient Data Provider,1,1,53,20,379,510,0,0.0
Framework Microsoft SqlClient Data Provider,1,1,2,0,291,582,0,0.0
Microsoft JDBC Driver,1,1,6,0,81,135,0,0.0
SSMS,2,4,73,0,0,2,0,0.0
