bucket_minute,started,avg_elapsed_ms,max_elapsed_ms,failed
2026-05-27 17:34:00,473,38,429,0
2026-05-27 17:35:00,1092,36,812,0
2026-05-27 17:36:00,362,61,792,0
2026-05-27 17:37:00,9,286,423,0
2026-05-27 17:38:00,5,207,302,0
2026-05-27 17:39:00,5,209,311,0
2026-05-27 17:40:00,385,2384,16452,90
2026-05-27 17:41:00,138,1164,10120,30
2026-05-27 17:42:00,9,291,415,0
2026-05-27 17:43:00,33,143,1646,0
2026-05-27 17:44:00,6,201,356,0
2026-05-27 17:45:00,198,113,2572,5
2026-05-27 17:46:00,5,218,316,0
2026-05-27 17:47:00,9,275,392,0
2026-05-27 17:48:00,6,197,334,0
2026-05-27 17:49:00,6,180,309,0
2026-05-27 17:50:00,5,208,305,0
2026-05-27 17:51:00,31,414,10132,0
2026-05-27 17:52:00,5,230,331,0
2026-05-27 17:53:00,5,211,310,0
2026-05-27 17:54:00,6,181,313,0
2026-05-27 17:55:00,61,219,9924,0
2026-05-27 17:56:00,7,169,327,0
2026-05-27 17:57:00,5,225,327,0
2026-05-27 17:58:00,6,171,302,0
2026-05-27 17:59:00,5,209,301,0
2026-05-27 18:00:00,192,113,2558,5
2026-05-27 18:01:00,31,410,10126,0
2026-05-27 18:02:00,277,311,8469,0
2026-05-27 18:03:00,7,150,308,0
2026-05-27 18:04:00,24,712,2826,0
2026-05-27 18:05:00,169,243,3881,0
2026-05-27 18:06:00,137,803,84827,0
2026-05-27 18:07:00,10,110,294,0
2026-05-27 18:08:00,82,412,3200,0
2026-05-27 18:09:00,445,249,2549,0
2026-05-27 18:10:00,67,261,843,0
2026-05-27 18:11:00,272,2030,11412,60
2026-05-27 18:12:00,224,1706,9786,60
2026-05-27 18:13:00,5,232,334,0
2026-05-27 18:14:00,5,213,309,0
2026-05-27 18:15:00,198,113,2586,5
2026-05-27 18:16:00,5,219,317,0
2026-05-27 18:17:00,81,85655,231453,23
2026-05-27 18:18:00,128,99904,341988,17
2026-05-27 18:19:00,46,35842,200594,0
2026-05-27 18:20:00,63,9294,45782,5
2026-05-27 18:21:00,323,9224,106389,15
2026-05-27 18:22:00,182,11446,145728,3
2026-05-27 18:23:00,31,2366,26149,0
2026-05-27 18:24:00,13,1018,3985,0
2026-05-27 18:25:00,7,255,714,0
2026-05-27 18:26:00,6,173,303,0
2026-05-27 18:27:00,5,229,328,0
2026-05-27 18:28:00,6,177,308,0
2026-05-27 18:29:00,5,210,305,0
2026-05-27 18:30:00,192,112,2491,5
2026-05-27 18:31:00,32,423,10599,0
2026-05-27 18:32:00,7,149,303,0
2026-05-27 18:33:00,5,205,300,0
2026-05-27 18:34:00,5,207,300,0
2026-05-27 18:35:00,5,236,337,0
