rank,proc_or_command_signature,exec_count,total_seconds,avg_ms,max_ms,failed_count,failure_pct,first_seen,last_seen
1,exec [DE_dbo].[SP_RunExecProcedureCommand] @SQL=@SQL,80,10036,125455,341988,18,22.5,2026-05-27 18:02:15,2026-05-27 19:20:30
2,SP_RunExecProcedureCommand inner body,40,5011,125280,341934,9,22.5,2026-05-27 18:02:15,2026-05-27 19:20:30
3,EXEC BI_DB_dbo.SP_H_Money_Out_STPAnalysis_OPS_Dashboard '20260526',10,1379,137931,231352,4,40.0,2026-05-27 18:17:59,2026-05-27 19:20:30
4,exec [DE_dbo].[SP_Load_ExternalSources_Parquet] (parquet loader),166,1242,7483,16452,160,96.4,2026-05-27 17:40:07,2026-05-27 19:10:11
5,EXEC BI_DB_dbo.SP_H_SEA_CashoutsEstimation,4,1147,286800,341889,0,0.0,2026-05-27 18:18:17,2026-05-27 19:18:34
6,EXEC BI_DB_dbo.SP_H_Cashout_Performance_Monitoring,4,924,231199,259322,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:33
7,EXEC BI_DB_dbo.SP_H_HourlyReport_Redeems,4,837,209277,276658,0,0.0,2026-05-27 18:18:17,2026-05-27 19:18:44
8,EXEC BI_DB_dbo.SP_H_Ops_HourlyReport_Withdraws,4,812,203247,275251,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:34
9,EXEC BI_DB_dbo.SP_H_Money_Out_STPAnalysis_OPS_Dashboard (wrapped),5,690,138194,231381,2,40.0,2026-05-27 18:17:59,2026-05-27 19:20:30
10,SP_H_Money_Out_STPAnalysis_OPS_Dashboard inline body,5,687,137591,231291,2,40.0,2026-05-27 18:17:59,2026-05-27 19:20:30
11,EXEC BI_DB_dbo.SP_H_AssignmentToolVolumes '20260526',4,664,166090,182653,4,100.0,2026-05-27 18:17:45,2026-05-27 19:15:49
12,SP_H_AssignmentToolVolumes inline body,5,652,130482,220512,2,40.0,2026-05-27 18:17:59,2026-05-27 19:20:30
13,Dynamic Lake Parquet copy script,6,643,107235,218544,0,0.0,2026-05-27 18:18:55,2026-05-27 19:07:52
14,EXEC BI_DB_dbo.SP_H_AssignmentToolBacklog,4,623,155871,192042,0,0.0,2026-05-27 18:17:51,2026-05-27 19:15:49
15,EXEC BI_DB_dbo.SP_H_AssignmentToolSLAs '20260526',4,595,148919,150434,2,50.0,2026-05-27 18:17:48,2026-05-27 19:15:49
16,SP_CopyLakeToSynapse parquet copy template,83,574,6925,16378,80,96.4,2026-05-27 17:40:07,2026-05-27 19:10:11
17,EXEC BI_DB_dbo.SP_H_SEA_CashoutsEstimation (wrapped),2,573,286839,341920,0,0.0,2026-05-27 18:18:17,2026-05-27 19:18:34
18,SP_H_SEA_CashoutsEstimation inline body,2,573,286752,341835,0,0.0,2026-05-27 18:18:17,2026-05-27 19:18:34
19,EXEC BI_DB_dbo.SP_H_AssignmentToolTasks,6,565,94188,153065,4,66.7,2026-05-27 18:17:51,2026-05-27 19:18:57
20,EXEC BI_DB_dbo.SP_H_Cashout_Performance_Monitoring (wrapped),2,462,231359,259600,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:33
21,SP_H_Cashout_Performance_Monitoring inline body,2,462,231127,259234,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:33
22,SP_H_Cashout_Performance_Monitoring CCI build,2,456,228156,256489,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:33
23,EXEC DE_dbo.SP_CopyLakeToSynapse 'EXW_Wallet.WalletPool',2,437,218619,218626,0,0.0,2026-05-27 18:18:54,2026-05-27 18:18:54
24,EXEC BI_DB_dbo.SP_H_BI_DB_STP_Redeems '20260526',4,429,107359,130001,2,50.0,2026-05-27 18:18:17,2026-05-27 19:18:34
25,EXEC BI_DB_dbo.SP_H_HourlyReport_Redeems (wrapped),2,418,209313,276689,0,0.0,2026-05-27 18:18:17,2026-05-27 19:18:44
26,SP_H_HourlyReport_Redeems inline body,2,418,209220,276590,0,0.0,2026-05-27 18:18:17,2026-05-27 19:18:44
27,EXEC BI_DB_dbo.SP_H_Ops_HourlyReport_Withdraws (wrapped),2,406,203285,275282,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:34
28,SP_H_Ops_HourlyReport_Withdraws inline body,2,406,203174,275144,0,0.0,2026-05-27 18:18:15,2026-05-27 19:18:34
29,EXEC DE_dbo.SP_CopyLakeToSynapse 'EXW_Wallet.WalletPoolStatuses',2,362,181062,181068,0,0.0,2026-05-27 18:19:29,2026-05-27 18:19:29
30,SP_H_AssignmentToolVolumes prep body,2,330,165322,182088,2,100.0,2026-05-27 18:17:45,2026-05-27 19:15:49
