group_id,name,statistics_start_time,total_request_count,total_queued_request_count,total_request_execution_timeouts,total_resource_grant_timeouts,effective_min_percentage_resource,effective_cap_percentage_resource,effective_request_min_resource_grant_percent,effective_request_max_resource_grant_percent,queue_rate_pct
18,ETL,2026-05-19 13:17:16.990,192548,17279,0,0,20,80,1.00,4.00,8.97
15,TableauUsers,2026-05-19 13:17:16.990,41168,2751,0,0,0,78,0.75,2.00,6.68
23,DataBricks,2026-05-19 13:17:16.990,33389,2217,0,0,1,20,1.00,2.50,6.64
22,LowResources,2026-05-19 13:17:16.990,19216,440,0,0,0,25,0.75,0.75,2.29
1,smallrc,2026-05-19 13:17:16.990,15878,555,0,0,0,78,3.00,3.00,3.50
19,Ad-hoc,2026-05-19 13:17:16.990,2736,173,0,0,0,68,0.75,3.00,6.32
6,staticrc20,2026-05-19 13:17:16.990,471,7,0,0,0,78,0.80,0.80,1.49
24,Maintenance,2026-05-19 13:17:16.990,71,0,0,0,1,79,1.00,70.00,0.00
21,Migration,2026-05-19 13:17:16.990,0,0,0,0,0,78,2.00,20.00,0.00
3,largerc,2026-05-19 13:17:16.990,0,0,0,0,0,78,22.00,22.00,0.00
2,mediumrc,2026-05-19 13:17:16.990,0,0,0,0,0,78,10.00,10.00,0.00
7,staticrc30,2026-05-19 13:17:16.990,0,0,0,0,0,78,1.60,1.60,0.00
8,staticrc40,2026-05-19 13:17:16.990,0,0,0,0,0,78,3.20,3.20,0.00
9,staticrc50,2026-05-19 13:17:16.990,0,0,0,0,0,78,6.40,6.40,0.00
10,staticrc60,2026-05-19 13:17:16.990,0,0,0,0,0,78,12.80,12.80,0.00
11,staticrc70,2026-05-19 13:17:16.990,0,0,0,0,0,78,25.60,25.60,0.00
12,staticrc80,2026-05-19 13:17:16.990,0,0,0,0,0,78,51.20,51.20,0.00
4,xlargerc,2026-05-19 13:17:16.990,0,0,0,0,0,78,70.00,70.00,0.00
5,staticrc10,2026-05-19 13:17:16.990,0,0,0,0,0,78,0.40,0.40,0.00
