python : [synapse] connecting to prod-synapse-dataplatform-we.sql.azuresynapse.net / sql_dp_prod_we...
At C:\Users\guyman\AppData\Local\Temp\2\ps-script-dc6b35ee-d1d0-49fb-83ad-32a61fb03116.ps1:76 char:1
+ python tools/parity_check_ddr_2025.py 2>&1 | Out-File -FilePath ddr_p ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([synapse] conne...l_dp_prod_we...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[synapse-prod] 487 dateids in 24.2s

[uc] connecting (profile=name-of-profile)...

[uc] 487 dateids in 4.1s

DateID,syn_deposits,uc_deposits,diff_deposits,syn_tp_equity,uc_tp_equity,diff_tp_equity,syn_sdrt,uc_sdrt,diff_sdrt,syn_upnl_change,uc_upnl_change,diff_upnl_change,syn_funded,uc_funded,diff_funded,mismatch_metrics
20260324,51413084.360000,51389766.180000,23318.180000,15672870887.964500,15672870887.964500,0.000000,4406.040000,4406.040000,0.000000,-33900934.370000,-33900934.370000,0.000000,3771172,3771172,0,deposits
20260325,49470638.090000,49430960.890000,39677.200000,15758041277.364500,15758041277.364500,0.000000,54834.860000,54834.860000,0.000000,76530069.440000,76530069.440000,0.000000,3772078,3772078,0,deposits
20260326,56463706.630000,56403559.640000,60146.990000,15359249734.744500,15359249734.744500,0.000000,4036.350000,4036.350000,0.000000,-387834784.510000,-387834784.510000,0.000000,3774243,3774243,0,deposits
20260327,64623773.540000,64560222.300000,63551.240000,15053214497.684500,15053214497.684500,0.000000,6823.370000,6823.370000,0.000000,-307022726.000000,-307022726.000000,0.000000,3773267,3773267,0,deposits
20260330,57409391.810000,57334539.540000,74852.270000,14960200492.524500,14960200492.524500,0.000000,12064.590000,12064.590000,0.000000,-69435853.210000,-69435853.210000,0.000000,3817943,3817943,0,deposits
20260331,63753049.650000,63710588.150000,42461.500000,15422443739.124500,15422443739.124500,0.000000,10204.440000,10204.440000,0.000000,451415326.820000,451415326.820000,0.000000,3841387,3841387,0,deposits
20260401,65260895.870000,65223628.010000,37267.860000,15556827681.584500,15556827681.584500,0.000000,63926.550000,63926.550000,0.000000,113748210.060000,113748210.060000,0.000000,3843771,3843771,0,deposits
20260402,62995038.100000,62923378.810000,71659.290000,15441181888.944500,15441181888.944500,0.000000,12394.530000,12394.530000,0.000000,-110887694.890000,-110887694.890000,0.000000,3843836,3843836,0,deposits
20260406,33413673.310000,33245462.060000,168211.250000,15537133418.234500,15537133418.234500,0.000000,,,,1561229.260000,1561229.260000,0.000000,3845069,3845069,0,deposits
20260407,65493768.740000,65442720.370000,51048.370000,15884639961.234500,15884639961.234500,0.000000,13565.410000,13565.410000,0.000000,349686488.650000,349686488.650000,0.000000,3845217,3845217,0,deposits
20260408,80094908.150000,80057711.950000,37196.200000,15872833222.154500,15872833222.154500,0.000000,66253.390000,66253.390000,0.000000,-21951651.590000,-21951651.590000,0.000000,3845512,3845512,0,deposits
20260409,53779587.400000,53735416.000000,44171.400000,15924481681.884500,15924481681.884500,0.000000,7239.410000,7239.410000,0.000000,52929919.970000,52929919.970000,0.000000,3845715,3845715,0,deposits
20260410,48532098.740000,48492586.130000,39512.610000,16035299032.844500,16035299032.844500,0.000000,7720.520000,7720.520000,0.000000,98026349.090000,98026349.090000,0.000000,3846100,3846100,0,deposits
20260413,54749980.840000,54689514.690000,60466.150000,16265403641.234500,16265403641.234500,0.000000,27284.660000,27284.660000,0.000000,347622798.920000,347622798.920000,0.000000,3847241,3847241,0,deposits
20260414,62740725.550000,62705183.900000,35541.650000,16415908152.764500,16415908152.764500,0.000000,37776.370000,37776.370000,0.000000,147955604.410000,147955604.410000,0.000000,3847302,3847302,0,deposits
20260415,60128715.670000,60050009.340000,78706.330000,16648936931.164500,16648936931.164500,0.000000,7425.600000,7425.600000,0.000000,219400545.750000,219400545.750000,0.000000,3847761,3847761,0,deposits
20260416,58854562.970000,58805126.080000,49436.890000,16764699394.294500,16764699394.294500,0.000000,13545.020000,13545.020000,0.000000,114240910.380000,114240910.380000,0.000000,3842791,3842791,0,deposits
20260417,67041293.480000,66988291.430000,53002.050000,16999092160.834500,16999092160.834500,0.000000,40185.430000,40185.430000,0.000000,222940436.420000,222940436.420000,0.000000,3843137,3843137,0,deposits
20260420,76187472.150000,,,16858723389.494500,16858723389.494500,0.000000,8030.580000,8030.580000,0.000000,85087633.000000,85087633.000000,0.000000,3844129,3844129,0,deposits
20260422,73604935.340000,73605401.360000,-466.020000,16935671157.634500,16935671157.634500,0.000000,40142.830000,40142.830000,0.000000,131581992.400000,131581992.400000,0.000000,3844840,3844840,0,deposits
20260427,64145620.110000,64056282.440000,89337.670000,16892888624.614500,16892888624.614500,0.000000,6365.740000,6365.740000,0.000000,-55090376.850000,-55090376.850000,0.000000,3886094,3886094,0,deposits

[summary] synapse_dates=487  uc_dates=487  mismatched_dates=26  syn_only=0  uc_only=0
20260428,73551737.240000,73508465.960000,43271.280000,16718959129.294500,16718959129.294500,0.000000,63880.670000,63880.670000,0.000000,-179487812.420000,,,3886259,3886259,0,deposits|upnl_change
20260429,70682314.940000,70611514.710000,70800.230000,16668202877.684500,16668202877.684500,0.000000,6448.660000,6448.660000,0.000000,-56365194.970000,,,3886545,3886545,0,deposits|upnl_change
