idx,uc_target,column,status,error
1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation`. SQLSTATE: 428FR"
2,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation`. SQLSTATE: 428FR"
3,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation`. SQLSTATE: 428FR"
4,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog`. SQLSTATE: 428FR"
5,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog`. SQLSTATE: 428FR"
6,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog`. SQLSTATE: 428FR"
7,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,etr_y,OK,
8,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,etr_ym,OK,
9,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,etr_ymd,OK,
10,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem`. SQLSTATE: 428FR"
11,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem`. SQLSTATE: 428FR"
12,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem`. SQLSTATE: 428FR"
13,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,etr_y,OK,
14,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,etr_ym,OK,
15,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,etr_ymd,OK,
16,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,etr_y,OK,
17,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,etr_ym,OK,
18,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,etr_ymd,OK,
19,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,etr_y,OK,
20,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,etr_ym,OK,
21,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,etr_ymd,OK,
22,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl`. SQLSTATE: 428FR"
23,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl`. SQLSTATE: 428FR"
24,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl`. SQLSTATE: 428FR"
25,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction`. SQLSTATE: 428FR"
26,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction`. SQLSTATE: 428FR"
27,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction`. SQLSTATE: 428FR"
28,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,etr_y,OK,
29,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,etr_ym,OK,
30,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,etr_ymd,OK,
31,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,etr_y,OK,
32,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,etr_ym,OK,
33,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,etr_ymd,OK,
34,main.dwh.gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history`. SQLSTATE: 428FR"
35,main.dwh.gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history`. SQLSTATE: 428FR"
36,main.dwh.gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history`. SQLSTATE: 428FR"
37,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror`. SQLSTATE: 428FR"
38,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror`. SQLSTATE: 428FR"
39,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`dwh`.`gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror`. SQLSTATE: 428FR"
40,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,etr_y,OK,
41,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,etr_ym,OK,
42,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,etr_ymd,OK,
43,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,etr_y,OK,
44,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,etr_ym,OK,
45,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,etr_ymd,OK,
46,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,etr_y,OK,
47,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,etr_ym,OK,
48,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,etr_ymd,OK,
49,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,etr_y,OK,
50,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,etr_ym,OK,
51,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,etr_ymd,OK,
52,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,etr_y,OK,
53,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,etr_ym,OK,
54,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,etr_ymd,OK,
55,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance`. SQLSTATE: 428FR"
56,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance`. SQLSTATE: 428FR"
57,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance`. SQLSTATE: 428FR"
58,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,etr_y,OK,
59,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,etr_ym,OK,
60,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,etr_ymd,OK,
61,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa`. SQLSTATE: 428FR"
62,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa`. SQLSTATE: 428FR"
63,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa`. SQLSTATE: 428FR"
64,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,etr_y,OK,
65,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,etr_ym,OK,
66,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,etr_ymd,OK,
67,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,etr_y,OK,
68,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,etr_ym,OK,
69,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,etr_ymd,OK,
70,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,etr_y,OK,
71,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,etr_ym,OK,
72,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,etr_ymd,OK,
