object,column,claim_type,wiki_value,truth_value,truth_source,wiki_file,wiki_line,verdict_source,verdict,raw_context
CustomerStatic,Registered,default,getdate(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[CustomerStatic.Registered].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,111,deterministic,WRONG,ion date. Default=getdate() at produc
Dim_Customer,OriginalCID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.OriginalCID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,130,deterministic,WRONG,accounts. Default=0. (Tier 1 
Dim_Customer,ID,default,newsequentialid(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.ID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,131,deterministic,WRONG,identity. Default=newsequentialid() (sequenti
Dim_Customer,RegisteredReal,default,getdate(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.RegisteredReal].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,172,deterministic,WRONG,istered). Default=getdate(). (Tier 1 
Dim_Customer,AccountStatusID,default,1 (Active/Normal),((0)),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.AccountStatusID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,175,deterministic,WRONG,l status. Default=1 (Active/Normal). 2=Closed
Dim_Customer,PlayerStatusID,codepoint,1=Active/Registered,1=Normal,DWH_dbo.Dim_PlayerStatus.Name,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,176,deterministic,WRONG,onary.PlayerStatus. 1=Active/Registered (97.5% of accounts)
Dim_Customer,PendingClosureStatusID,default,1 (no pending closure),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.PendingClosureStatusID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,179,deterministic,WRONG,workflow. Default=1 (no pending closure). Updated 
Dim_Customer,PlayerLevelID,codepoint,1=Standard,1=Bronze,DWH_dbo.Dim_PlayerLevel.Name,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,180,deterministic,WRONG,ionary.PlayerLevel. 1=Standard (94%); 4=Popular In
Dim_Customer,PlayerLevelID,codepoint,4=Popular Investor,4=Internal,DWH_dbo.Dim_PlayerLevel.Name,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,180,deterministic,WRONG,. 1=Standard (94%); 4=Popular Investor; 7=VIP. Determines 
Dim_Customer,PlayerLevelID,codepoint,7=VIP,7=Diamond,DWH_dbo.Dim_PlayerLevel.Name,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,180,deterministic,WRONG,4=Popular Investor; 7=VIP. Determines availab
