category,source_schema,catalog,uc_schema,uc_table,uc_full_target,uc_col_count,missing_cols,wiki_md,wiki_col_count,alter_sql_exists
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_islamic_daily_administrative_fee,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_islamic_daily_administrative_fee,42,12,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Islamic_Daily_Administrative_Fee.md,30,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,13,11,knowledge/synapse/Wiki/DWH_dbo/Views/Dim_Instrument_Correlation.md,10,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,89,9,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AppFlyer_Reports.md,80,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidlevel_settlement_report,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidlevel_settlement_report,13,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CIDLevel_Settlement_Report.md,9,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,177,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_Aggregate_Level_New.md,173,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,178,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,174,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,47,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CopyDailyData.md,44,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,21,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Cross_Selling_Monthly.md,18,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,48,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DepositWithdrawFee.md,44,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_clicks_openclose_breakdown,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_clicks_openclose_breakdown,45,4,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Clicks_OpenClose_Breakdown.md,42,yes
