approve_y_n,severity,object,column,claim_type,wiki_value,truth_value,truth_source,wiki_file,wiki_line,suggested_fix,verdict_source,contradicting_fact_verbatim,raw_context,substitutions_json
,WRONG,CustomerStatic,Registered,default,getdate(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[CustomerStatic.Registered].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md:111,,deterministic,,ion date. Default=getdate() at produc,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md"", ""wiki_line"": ""111""}]}"
,WRONG,Dim_Customer,OriginalCID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.OriginalCID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:32 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:269 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:130,,deterministic,,accounts. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""32""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""269""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""130""}]}"
,WRONG,Dim_Customer,ID,default,newsequentialid(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.ID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:33 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:270 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:131,,deterministic,,identity. Default=newsequentialid() (sequenti,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""33""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""270""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""131""}]}"
,WRONG,Dim_Customer,RegisteredReal,default,getdate(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.RegisteredReal].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:60 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:297 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:172,,deterministic,,istered). Default=getdate(). (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""60""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""297""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""172""}]}"
,WRONG,Dim_Customer,PendingClosureStatusID,default,1 (no pending closure),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.PendingClosureStatusID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:67 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:304 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:179,,deterministic,,workflow. Default=1 (no pending closure). Updated ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""67""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""304""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""179""}]}"
,WRONG,Dim_Customer,MifidCategorizationID,default,1,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.MifidCategorizationID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:90 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:327 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:207,,deterministic,, (0.03%). Default=1. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""90""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""327""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""207""}]}"
,WRONG,Dim_Customer,WorldCheckID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.WorldCheckID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:92 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:329 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:209,,deterministic,,rldCheck. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""92""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""329""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""209""}]}"
,WRONG,Dim_Customer,IsEDD,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.IsEDD].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:94 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:331 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:211,,deterministic,, flagged. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""94""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""331""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""211""}]}"
,WRONG,Dim_Customer,HasWallet,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.HasWallet].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:131 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:368 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:273,,deterministic,, account. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""131""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""368""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""273""}]}"
,WRONG,Dim_Customer,WeekendFeePrecentage,default,100 (full fee),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Dim_Customer.WeekendFeePrecentage].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:136 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql:373 | knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md:288,,deterministic,,rcentage. Default=100 (full fee). Values b,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""136""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql"", ""wiki_line"": ""373""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md"", ""wiki_line"": ""288""}]}"
