source_schema,catalog,uc_schema,uc_table,col_count,commented,missing,pct_commented
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_test,80,0,80,0.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_from_synapse_emoneyclientbalance_to_generic_20260216,72,0,72,0.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status_backup,67,3,64,4.5
EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_reimbursementfollowup,56,0,56,0.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_bck,47,0,47,0.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_sfmc_report_archive,26,0,26,0.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_util_resultssourcetotarget_actions,14,0,14,0.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_islamic_daily_administrative_fee,42,30,12,71.4
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,13,2,11,15.4
Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_nop_report,14,4,10,28.6
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_val_fcv_closingbalance,8,0,8,0.0
DWH_dbo,main,bi_db,gold_sql_dp_prod_we_dwh_dbo_val_fcv_openingbalance,8,0,8,0.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,89,83,6,93.3
BI_DB_dbo,main,pii_data,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_metric_view,7,1,6,14.3
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,47,43,4,91.5
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,20,17,3,85.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,15,12,3,80.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,60,57,3,95.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,31,28,3,90.3
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,24,21,3,87.5
