wiki_file,wiki_line,object,column,claim_type,claim_value,raw_context
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,110,CustomerStatic,CID,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,110,CustomerStatic,CID,nullable,NO,NO
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,110,CustomerStatic,CID,description,"Customer ID - platform-internal primary key. Assigned at registration. Unique within etoro DB. Used as the universal customer identifier across all tables. (Tier 1 - upstream wiki, Customer.CustomerStatic)","Customer ID - platform-internal primary key. Assigned at registration. Unique within etoro DB. Used as the universal customer identifier across all tables. (Tier 1 - upstream wiki, Customer.CustomerSt"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,110,CustomerStatic,CID,lineage_tag,"Tier 1 - upstream wiki, Customer.CustomerStatic","les. (Tier 1 - upstream wiki, Customer.CustomerStatic)"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,111,CustomerStatic,Registered,type,datetime,datetime
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,111,CustomerStatic,Registered,nullable,NO,NO
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,111,CustomerStatic,Registered,description,"Account registration date. Default=getdate() at production. Indexed via Idx_Customer_Customer_Registered with INCLUDE on key contact fields in production. In this DWH table, serves as the base for DateID and TimeID derivation. (Tier 1 - upstream wiki, Customer.CustomerStatic)","Account registration date. Default=getdate() at production. Indexed via Idx_Customer_Customer_Registered with INCLUDE on key contact fields in production. In this DWH table, serves as the base for Dat"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,111,CustomerStatic,Registered,lineage_tag,"Tier 1 - upstream wiki, Customer.CustomerStatic","ion. (Tier 1 - upstream wiki, Customer.CustomerStatic)"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,111,CustomerStatic,Registered,default,getdate(),ion date. Default=getdate() at produc
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,112,CustomerStatic,IsReal,type,tinyint,tinyint
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,112,CustomerStatic,IsReal,nullable,YES,YES
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,112,CustomerStatic,IsReal,description,"Whether this is a real-money account (1) or demo (0). In production this is a bit column; in DWH stored as tinyint. All non-demo customers have IsReal=1. (Tier 1 - upstream wiki, Customer.CustomerStatic)","Whether this is a real-money account (1) or demo (0). In production this is a bit column; in DWH stored as tinyint. All non-demo customers have IsReal=1. (Tier 1 - upstream wiki, Customer.CustomerStat"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,112,CustomerStatic,IsReal,lineage_tag,"Tier 1 - upstream wiki, Customer.CustomerStatic","l=1. (Tier 1 - upstream wiki, Customer.CustomerStatic)"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,113,CustomerStatic,ActionTypeID,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,113,CustomerStatic,ActionTypeID,description,"Financial action type associated with this customer's registration event. Expected value: 41 (Customer Registration, from Dim_ActionType). NOT present in production Customer.CustomerStatic - this field was intended to link registration to the first action event. (Tier 3b - DDL structure)","Financial action type associated with this customer's registration event. Expected value: 41 (Customer Registration, from Dim_ActionType). NOT present in production Customer.CustomerStatic - this fiel"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,113,CustomerStatic,ActionTypeID,lineage_tag,Tier 3b - DDL structure,ent. (Tier 3b - DDL structure)
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,114,CustomerStatic,PlatformTypeID,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,114,CustomerStatic,PlatformTypeID,description,Platform type identifier for the customer's registration platform. Likely references Dim_PlatformType or a similar dimension. NOT present in production Customer.CustomerStatic - DWH-specific field. (Tier 3b - DDL structure),Platform type identifier for the customer's registration platform. Likely references Dim_PlatformType or a similar dimension. NOT present in production Customer.CustomerStatic - DWH-specific field. (T
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,114,CustomerStatic,PlatformTypeID,lineage_tag,Tier 3b - DDL structure,eld. (Tier 3b - DDL structure)
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,115,CustomerStatic,Amount,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,115,CustomerStatic,Amount,description,[UNVERIFIED] Numeric amount associated with the registration event. Possibly an initial deposit amount or balance amount. NOT present in production Customer.CustomerStatic. Units and scale unknown since the table has 0 rows. (Tier 4 - inferred),[UNVERIFIED] Numeric amount associated with the registration event. Possibly an initial deposit amount or balance amount. NOT present in production Customer.CustomerStatic. Units and scale unknown sin
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,115,CustomerStatic,Amount,lineage_tag,Tier 4 - inferred,ows. (Tier 4 - inferred)
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,116,CustomerStatic,DateID,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,116,CustomerStatic,DateID,nullable,YES,YES
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,116,CustomerStatic,DateID,description,"Integer date key in YYYYMMDD format derived from the Registered datetime column. Matches the ETL pattern used in SP_Fact_CustomerAction_DL_To_Synapse (CONVERT(INT, CONVERT(VARCHAR, [Registered], 112))). (Tier 2 - ETL SP code, SP_Fact_CustomerAction_DL_To_Synapse)","Integer date key in YYYYMMDD format derived from the Registered datetime column. Matches the ETL pattern used in SP_Fact_CustomerAction_DL_To_Synapse (CONVERT(INT, CONVERT(VARCHAR, [Registered], 112))"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,116,CustomerStatic,DateID,lineage_tag,"Tier 2 - ETL SP code, SP_Fact_CustomerAction_DL_To_Synapse","))). (Tier 2 - ETL SP code, SP_Fact_CustomerAction_DL_To_Synapse)"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,117,CustomerStatic,TimeID,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,117,CustomerStatic,TimeID,nullable,YES,YES
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,117,CustomerStatic,TimeID,description,"Integer time key representing the hour of registration. Derived from DATEPART(HOUR, Registered) per the pattern in SP_Fact_CustomerAction_DL_To_Synapse line 331. Range: 0-23. (Tier 2 - ETL SP code, SP_Fact_CustomerAction_DL_To_Synapse)","Integer time key representing the hour of registration. Derived from DATEPART(HOUR, Registered) per the pattern in SP_Fact_CustomerAction_DL_To_Synapse line 331. Range: 0-23. (Tier 2 - ETL SP code, SP"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,117,CustomerStatic,TimeID,lineage_tag,"Tier 2 - ETL SP code, SP_Fact_CustomerAction_DL_To_Synapse","-23. (Tier 2 - ETL SP code, SP_Fact_CustomerAction_DL_To_Synapse)"
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,118,CustomerStatic,StatusID,type,int,int
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,118,CustomerStatic,StatusID,description,[UNVERIFIED] Status identifier for this customer. Likely maps to account or player status. NOT present in production Customer.CustomerStatic with this name (production has AccountStatusID and PlayerStatusID separately). Intended FK target unclear. (Tier 3b - DDL structure),[UNVERIFIED] Status identifier for this customer. Likely maps to account or player status. NOT present in production Customer.CustomerStatic with this name (production has AccountStatusID and PlayerSt
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,118,CustomerStatic,StatusID,lineage_tag,Tier 3b - DDL structure,ear. (Tier 3b - DDL structure)
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,119,CustomerStatic,PlatformID,type,int,int
