statement_idx,uc_table,uc_column,status,error
1,lower_environments.dealing.bronze_price_history_currencyprice,Ask,OK,
2,lower_environments.dealing.bronze_price_history_currencyprice,AskMarketPriceRateID,OK,
3,lower_environments.dealing.bronze_price_history_currencyprice,AskSpreaded,OK,
4,lower_environments.dealing.bronze_price_history_currencyprice,Bid,OK,
5,lower_environments.dealing.bronze_price_history_currencyprice,BidMarketPriceRateID,OK,
6,lower_environments.dealing.bronze_price_history_currencyprice,BidSpreaded,OK,
7,lower_environments.dealing.bronze_price_history_currencyprice,CurrencyPriceID,OK,
8,lower_environments.dealing.bronze_price_history_currencyprice,InstrumentID,OK,
9,lower_environments.dealing.bronze_price_history_currencyprice,LiquidityAccountID,OK,
10,lower_environments.dealing.bronze_price_history_currencyprice,MarketPriceRateID,OK,
11,lower_environments.dealing.bronze_price_history_currencyprice,MarketReceivedTime,OK,
12,lower_environments.dealing.bronze_price_history_currencyprice,MarkupPips,OK,
13,lower_environments.dealing.bronze_price_history_currencyprice,Occurred,OK,
14,lower_environments.dealing.bronze_price_history_currencyprice,OccurredOnProvider,OK,
15,lower_environments.dealing.bronze_price_history_currencyprice,PriceRateID,OK,
16,lower_environments.dealing.bronze_price_history_currencyprice,ProviderID,OK,
17,lower_environments.dealing.bronze_price_history_currencyprice,RateLastEx,OK,
18,lower_environments.dealing.bronze_price_history_currencyprice,ReceivedOnPriceServer,OK,
19,lower_environments.dealing.bronze_price_history_currencyprice,SkewValueAsk,OK,
20,lower_environments.dealing.bronze_price_history_currencyprice,SkewValueBid,OK,
21,lower_environments.dealing.bronze_price_history_currencyprice,USDConversionRate,OK,
22,lower_environments.dealing.bronze_price_history_currencyprice,ValidFrom,OK,
23,lower_environments.dealing.bronze_price_history_currencyprice,ValidTo,OK,
24,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,Ask,OK,
25,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,AskSpreaded,OK,
26,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,Bid,OK,
27,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,BidSpreaded,OK,
28,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,InstrumentID,OK,
29,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,Occurred,OK,
30,main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,PriceRateID,OK,
31,main.bi_db.gold_bi_db_bi_db_positionpnl,Amount,OK,
32,main.bi_db.gold_bi_db_bi_db_positionpnl,AmountInUnitsDecimal,OK,
33,main.bi_db.gold_bi_db_bi_db_positionpnl,CID,OK,
34,main.bi_db.gold_bi_db_bi_db_positionpnl,Commission,OK,
35,main.bi_db.gold_bi_db_bi_db_positionpnl,DailyPnL,OK,
36,main.bi_db.gold_bi_db_bi_db_positionpnl,Date,OK,
37,main.bi_db.gold_bi_db_bi_db_positionpnl,DateID,OK,
38,main.bi_db.gold_bi_db_bi_db_positionpnl,HedgeServerID,OK,
39,main.bi_db.gold_bi_db_bi_db_positionpnl,InitForexRate,OK,
40,main.bi_db.gold_bi_db_bi_db_positionpnl,InstrumentID,OK,
41,main.bi_db.gold_bi_db_bi_db_positionpnl,IsBuy,OK,
42,main.bi_db.gold_bi_db_bi_db_positionpnl,IsSettled,OK,
43,main.bi_db.gold_bi_db_bi_db_positionpnl,Leverage,OK,
44,main.bi_db.gold_bi_db_bi_db_positionpnl,LimitRate,OK,
45,main.bi_db.gold_bi_db_bi_db_positionpnl,MirrorID,OK,
