idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,Date,OK,"(resume: skipped, already OK)"
2,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,InstrumentID,OK,"(resume: skipped, already OK)"
3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,InstrumentIDToHedge,OK,"(resume: skipped, already OK)"
4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,InstrumentID_Final,OK,"(resume: skipped, already OK)"
5,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,InstrumentName,OK,"(resume: skipped, already OK)"
6,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,InstrumentType,OK,"(resume: skipped, already OK)"
7,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,HedgeServerID,OK,"(resume: skipped, already OK)"
8,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,LiquidityAccountID,OK,"(resume: skipped, already OK)"
9,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,LiquidityAccountName,OK,"(resume: skipped, already OK)"
10,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,NOP,OK,"(resume: skipped, already OK)"
11,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,Nop_Units,OK,"(resume: skipped, already OK)"
12,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,NOPHedged,OK,"(resume: skipped, already OK)"
13,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,OpenPositions,OK,"(resume: skipped, already OK)"
14,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,Short,OK,"(resume: skipped, already OK)"
15,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,Long,OK,"(resume: skipped, already OK)"
16,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,UpdateDate,OK,"(resume: skipped, already OK)"
17,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,CID,OK,"(resume: skipped, already OK)"
