idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,AffiliateID,OK,
2,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,DateCreated,OK,
3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,SubChannelID,OK,
4,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,Contact,OK,
5,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,ContractName,OK,
6,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,ContractType,OK,
7,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,AffiliatesGroupsName,OK,
8,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,AccountActivated,OK,
9,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,LoginName,OK,
10,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,TradingAccount_RealCID,OK,
11,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,TradingAccount_UserName,OK,
12,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,Email,OK,
13,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,CompanyAddress,OK,
14,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,City,OK,
15,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,CountryID,OK,
16,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,WebSiteURL,OK,
17,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationFirstDate,OK,
18,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationLastDate,OK,
19,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationLifeTime,OK,
20,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationYesterday,OK,
21,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationLastMonth,OK,
22,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationLastQuarter,OK,
23,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationLastYear,OK,
24,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDFirstDate,OK,
25,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDLastDate,OK,
26,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDLifeTime,OK,
27,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDYesterday,OK,
28,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDLastMonth,OK,
29,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDLastQuarter,OK,
30,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDLastYear,OK,
31,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeFirstDate,OK,
32,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeLastDate,OK,
33,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeLifeTime,OK,
34,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeYesterday,OK,
35,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeLastMonth,OK,
36,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeLastQuarter,OK,
37,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeLastYear,OK,
38,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,MasterAffiliateID,OK,
39,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,UpdateDate,OK,
40,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationThisMonth,OK,
41,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationThisQuarter,OK,
42,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,RegistrationThisYear,OK,
43,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeThisMonth,OK,
44,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeThisQuarter,OK,
45,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,FTDeThisYear,OK,
