idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Date,OK,
2,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,InstrumentID,OK,
3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,InstrumentDisplayName,OK,
4,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,ISINCode,OK,
5,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Etoro_Units,OK,
6,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Apex_Units,OK,
7,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Etoro_Rate,OK,
8,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Apex_Rate,OK,
9,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Etoro_Amount,OK,
10,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Apex_Amount,OK,
11,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,UpdateDate,OK,
12,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,HedgeServerID,OK,
13,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Symbol,OK,
14,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Client_NOP,OK,
15,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Client_NOP_Units,OK,
16,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,LastExecutionTime,OK,
17,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,CUSIP,OK,
18,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,Exchange,OK,
19,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,AccountNumber,OK,
20,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Date,OK,
21,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,InstrumentID,OK,
22,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,InstrumentDisplayName,OK,
23,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,ISINCode,OK,
24,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,LiquidityAccountID,OK,
25,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,IsBuy,OK,
26,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Etoro_Units,OK,
27,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Apex_Units,OK,
28,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Etoro_Rate,OK,
29,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Apex_Rate,OK,
30,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Etoro_Amount,OK,
31,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,Apex_Amount,OK,
32,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,UpdateDate,OK,
33,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,HedgeServerID,OK,
34,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,AccountNumber,OK,
35,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_BNY_VIRTU_ReconEODHolding.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_bny_virtu_reconeodholding,Date,OK,
36,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_BNY_VIRTU_ReconEODHolding.alter.sql,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_bny_virtu_reconeodholding,Account_Number,OK,
