idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,RealCID,OK,
2,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,GCID,OK,
3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,DemoCID,OK,
4,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,OriginalCID,OK,
5,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,ID,OK,
6,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,ExternalID,OK,
7,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,UserName,OK,
8,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,UserName_Lower,OK,
9,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,FirstName,OK,
10,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,LastName,OK,
11,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,MiddleName,OK,
12,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,Gender,OK,
13,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,BirthDate,OK,
14,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,Email,OK,
15,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,Phone,OK,
16,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,IP,OK,
17,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,Zip,OK,
18,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,City,OK,
