idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,InstrumentID,OK,
2,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,eToroInstrumentID,OK,
3,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,CryptoID,OK,
4,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,CryptoName,OK,
5,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,AskLast,OK,
6,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,BidLast,OK,
7,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,AvgPrice,OK,
8,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,DateFrom,OK,
9,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,DateTo,OK,
10,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,BlockchainCryptoId,OK,
11,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,BlockchainCryptoName,OK,
12,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,FullDate,OK,
13,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,FullDateID,OK,
14,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,UpdateDate,OK,
15,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,InstrumentID,OK,
16,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,eToroInstrumentID,OK,
17,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,CryptoID,OK,
18,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,CryptoName,OK,
19,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,AvgPrice,OK,
20,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,BlockchainCryptoId,OK,
21,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,BlockchainCryptoName,OK,
22,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,FullDate,OK,
23,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,FullDateID,OK,
24,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_PriceDaily.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_pricedaily,UpdateDate,OK,
