idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,C2FCorrelationID,OK,
2,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,TargetPlatformID,OK,
3,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,TargetPlatform,OK,
4,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,ConversionCycle,OK,
5,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,LastModificationDateTime,OK,
6,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,LastModificationDate,OK,
7,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,LastModificationDateID,OK,
8,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,GCID,OK,
9,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,RealCID,OK,
10,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,RequestID,OK,
11,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,RequestCryptoID,OK,
12,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,RequestDateTime,OK,
13,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,RequestLastStatusID,OK,
