idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,HistoryID,OK,
2,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,GCID,OK,
3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RealCID,OK,
4,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DemoCID,OK,
5,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,Occurred,OK,
6,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IPNumber,OK,
7,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsReal,OK,
8,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,ActionTypeID,OK,
9,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PlatformTypeID,OK,
10,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,InstrumentID,OK,
11,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,Amount,OK,
12,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,Leverage,OK,
13,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,NetProfit,OK,
14,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,Commission,OK,
15,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PositionID,OK,
16,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CampaignID,OK,
17,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,BonusTypeID,OK,
18,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FundingTypeID,OK,
19,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,LoginID,OK,
20,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,MirrorID,OK,
21,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,WithdrawID,OK,
22,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DurationInSeconds,OK,
23,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PostID,OK,
24,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CaseID,OK,
25,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,UpdateDate,OK,
26,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DateID,OK,
27,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,TimeID,OK,
28,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,StatusID,OK,
29,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PreviousOccurred,OK,
30,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CompensationReasonID,OK,
31,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,WithdrawPaymentID,OK,
32,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CommissionOnClose,OK,
33,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsPlug,OK,
34,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DepositID,OK,
35,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PostRootID,OK,
36,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FullCommission,OK,
37,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,FullCommissionOnClose,OK,
38,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RedeemID,OK,
39,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RedeemStatus,OK,
40,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,SessionID,OK,
41,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsRedeem,OK,
42,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,RegulationIDOnOpen,OK,
43,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,PlatformID,OK,
