idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,CurrencyBalanceID,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
2,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,CurrencyBalanceISON,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
3,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,CurrencyBalanceCreateTime,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
4,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,ProviderDesc,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
5,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,ProviderCurrencyBalanceID,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
6,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,BankAccountID,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
7,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,BankAccountIsExternal,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
8,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,BankAccountName,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
9,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,BankAccountNumber,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
10,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.alter.sql,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings,BankAccountSortCode,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_emoney_dbo_emoney_account_mappings` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
