idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,CID,OK,
2,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,DepositID,OK,
3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,AffiliateID,OK,
4,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,OldPaymentID,OK,
5,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,FundingID,OK,
6,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,UserName,OK,
7,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,DepositStatus,OK,
8,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,StatusModificationTime,OK,
9,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,ModificationDateID,OK,
10,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,DepositTime,OK,
11,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,FirstApprovedTime,OK,
12,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,DepositValueDate,OK,
13,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,UpdateDate,OK,
14,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,DepositAmount,OK,
15,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,Currency,OK,
16,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,DepositCollarAmount,OK,
17,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,BaseExchangeRate,OK,
18,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,ExchangeRate,OK,
19,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,FeeinPIPs,OK,
20,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,PIPsinUSD,OK,
21,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,TotalRollbackDollarAmount,OK,
22,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_Fees.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_fact_deposit_fees,TotalRollbackAmount,OK,
