idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CalculationType.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_dim_calculationtype,CalculationTypeId,OK,
2,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CalculationType.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_dim_calculationtype,CalculationType,OK,
3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CalculationType.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_dim_calculationtype,UpdateDate,OK,
4,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContactType.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,ContactTypeID,OK,
5,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContactType.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,Name,OK,
6,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContactType.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,DWHContactTypeID,OK,
7,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContactType.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,UpdateDate,OK,
8,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContactType.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,InsertDate,OK,
9,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContactType.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contacttype,StatusID,OK,
10,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutFeeGroup.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,CashoutFeeGroupID,OK,
11,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutFeeGroup.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,CashoutFeeGroupName,OK,
12,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutFeeGroup.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,UpdateDate,OK,
13,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MifidCategorization.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,MifidCategorizationID,OK,
14,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MifidCategorization.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,Name,OK,
15,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MifidCategorization.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,UpdateDate,OK,
16,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,ID,OK,
17,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,Name,OK,
18,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,DWHRegulationID,OK,
19,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,StatusID,OK,
20,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,UpdateDate,OK,
21,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,InsertDate,OK,
22,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,ClusterRegulationID,OK,
23,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CID,OK,
24,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CurrencyID,OK,
25,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,Commission,OK,
26,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,Approved,OK,
27,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ModificationDate,OK,
28,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ModificationDateID,OK,
29,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,FundingID,OK,
30,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ExchangeRate,OK,
31,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,DepositID,OK,
32,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ProcessorValueDate,OK,
33,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,DepotID,OK,
34,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,SecuredCardDataAsString,OK,
35,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BinCodeAsString,OK,
36,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BinCountryIDAsInteger,OK,
37,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CardTypeIDAsInteger,OK,
38,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PaymentStatusID,OK,
39,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ManagerID,OK,
40,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,RiskManagementStatusID,OK,
41,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,Amount,OK,
42,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PaymentDate,OK,
43,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,IPAddress,OK,
44,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ClearingHouseEffectiveDate,OK,
45,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,IsFTD,OK,
46,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,RefundVerificationCode,OK,
47,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,MatchStatusID,OK,
48,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BonusStatusID,OK,
49,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BonusAmount,OK,
50,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BonusErrorCode,OK,
51,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ExTransactionID,OK,
52,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,FundingTypeID,OK,
53,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,IsRefundExcluded,OK,
54,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,DocumentRequired,OK,
55,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,UpdateDate,OK,
56,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ExpirationDateID,OK,
57,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CountryIDAsInteger,OK,
58,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,StateIDAsInteger,OK,
59,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankIDAsInteger,OK,
60,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AccountNameAsString,OK,
61,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AccountTypeAsString,OK,
62,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankAccountAsString,OK,
63,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankAddressAsString,OK,
64,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankCodeAsDecimal,OK,
65,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankDetailsAccountIDAsString,OK,
66,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankIDAsString,OK,
67,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankNameAsString,OK,
68,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BICCodeAsString,OK,
69,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CIDAsString,OK,
70,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,v,OK,
71,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CustomerAddressAsString,OK,
72,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CustomerNameAsString,OK,
73,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,FundingType,OK,
74,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,MaskedAccountIDAsString,OK,
75,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PurseAsString,OK,
76,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,RoutingNumberAsString,OK,
77,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,SecureIDAsDecimal,OK,
78,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,SortCodeAsString,OK,
79,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AccountBalanceAsDecimal,OK,
80,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AccountHolderAsString,OK,
81,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AccountIDAsDecimal,OK,
82,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ACHBankAccountIDAsInteger,OK,
83,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,Address1AsString,OK,
84,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,Address2AsString,OK,
85,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AdviseAsString,OK,
86,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,AvailableBalanceAsDecimal,OK,
87,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BankCodeAsString,OK,
88,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BillNumberAsString,OK,
89,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,BuildingNumberAsString,OK,
90,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CardHolderPhoneNumberBodyAsString,OK,
91,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CardHolderPhoneNumberPrefixAsString,OK,
92,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CardNumberAsString,OK,
93,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CityAsString,OK,
94,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CountryIDAsString,OK,
95,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CountryNameAsString,OK,
96,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CreatedAtAsString,OK,
97,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CurrentBalanceAsDecimal,OK,
98,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,CustomerIDAsString,OK,
99,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,EmailAsString,OK,
100,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,EndPointIDAsString,OK,
101,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ErrorCodeAsString,OK,
102,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,ErrorTypeAsString,OK,
103,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,FirstNameAsString,OK,
104,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,IBANCodeAsString,OK,
105,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,InitialTransactionIDAsString,OK,
106,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,IPAsString,OK,
107,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,LanguageIDAsInteger,OK,
108,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,LastNameAsString,OK,
109,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,MD5AsString,OK,
110,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PayerAsString,OK,
111,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PayerBusiness,OK,
112,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PayerIDAsString,OK,
113,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PayerPurseAsString,OK,
114,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PayerStatus,OK,
115,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PaymentAmountAsDecimal,OK,
116,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,PaymentDateAsDateTime,OK,
