idx,source_file,uc_table,uc_column,status,error
1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument_Correlation_GroupsInstruments.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation_groupsinstruments,GroupID,OK,
2,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument_Correlation_GroupsInstruments.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation_groupsinstruments,MinInstrumentID,OK,
3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument_Correlation_GroupsInstruments.alter.sql,main.bi_db.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation_groupsinstruments,MaxInstrumentID,OK,
4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,RealCID,OK,
5,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Regulation,OK,
6,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,CreditReportValid,OK,
7,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Transition,OK,
8,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Deposit_Amounts,OK,
9,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Compensation_Deposit,OK,
10,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,GivenBonus,OK,
11,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Compensation,OK,
12,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Compensation_PI,OK,
13,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Compensation_To_Affiliates,OK,
14,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Cashout_Amounts,OK,
15,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Compensation_Cashouts,OK,
16,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Cashout_Fee,OK,
17,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,Chargeback,OK,
