idx,source_file,uc_table,uc_column,status,error
1,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,AccountId,OK,
2,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,CID,OK,
3,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,MobileAppLastLogin,OK,
4,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedETF,OK,
5,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedCrypto,OK,
6,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedStocks,OK,
7,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedCommodities,OK,
8,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedIndecies,OK,
9,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedPI,OK,
10,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedCopyPortfolio,OK,
11,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastAddedNonPIUser,OK,
12,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,WatchlistLastDateID,OK,
13,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,GainThisWeek,OK,
