idx,base,target_table,column,direction,status,error
1,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,Address,masked->pii,OK,
2,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,AddressTypeID,masked->pii,OK,
3,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,BeginTime,masked->pii,OK,
4,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,BuildingNumber,masked->pii,OK,
5,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,City,masked->pii,OK,
6,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,CountryID,masked->pii,OK,
7,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,EndTime,masked->pii,OK,
8,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,GCID,masked->pii,OK,
9,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,RegionID,masked->pii,OK,
10,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,SubRegionID,masked->pii,OK,
11,bronze_etoro_customer_address,main.pii_data.bronze_etoro_customer_address,Zip,masked->pii,OK,
12,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,Action,pii->masked,OK,
13,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,AdditionalDetails,pii->masked,OK,
14,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,CountryId,pii->masked,OK,
15,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,FieldId,pii->masked,OK,
16,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,GCID,pii->masked,OK,
17,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,ID,pii->masked,OK,
18,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,LastModified,pii->masked,OK,
19,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,Occurred,pii->masked,OK,
20,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,TypeId,pii->masked,OK,
21,bronze_userapidb_customer_extendeduserfield_history,main.bi_db.bronze_userapidb_customer_extendeduserfield_history_masked,Value,pii->masked,OK,
22,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,Bankruptcy,pii->masked,OK,
23,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,BannerID,pii->masked,OK,
24,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,BirthDate,pii->masked,OK,
25,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,Blocked,pii->masked,OK,
26,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,CID,pii->masked,OK,
27,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,CertifiedGuru,pii->masked,OK,
28,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,Channel,pii->masked,OK,
29,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,Club,pii->masked,OK,
