correction_id,source_wiki_path,source_column,downstream_object_full_name,downstream_wiki_path,downstream_column,edge_kind,event_count,topological_distance,defer_to_later_layer
Dim_AccountType.AccountTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,AccountTypeID,main.dwh.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_kyc__process,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_KYC_Process.md,AccountType,wiki_inheritance,0,0,FALSE
Dim_AccountType.AccountTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,AccountTypeID,,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,AccountTypeID,skill_embedded,0,0,FALSE
Dim_ActionType.CategoryID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ActionType.md,CategoryID,,.cursor/rules/dwh-semantic-doc/01-structure-analysis.mdc,CategoryID,skill_embedded,0,0,FALSE
Dim_Affiliate.FTDeFirstDate,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.md,FTDeFirstDate,main.dwh.gold_sql_dp_prod_we_bi_db_dbo_bi_db__active_aff_actual_monthly__region__group_aff_name,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ActiveAffActualMonthly_Region_GroupAffName.md,AffiliatesGroupsName,wiki_inheritance,0,0,FALSE
Dim_BillingDepot.FundingTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,FundingTypeID,,.cursor/rules/dwh-semantic-doc/09-procedure-logic-extraction.mdc,FundingTypeID,skill_embedded,0,0,FALSE
Dim_BonusType.IsActive,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BonusType.md,IsActive,,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,IsActive,skill_embedded,0,0,FALSE
Dim_Campaign.Code,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Campaign.md,Code,,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,Code,skill_embedded,0,0,FALSE
Dim_CashoutStatus.Name,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,Name,main.bi_output.vg_factbillingwithdraw_transactionsandattributes,knowledge/UC_generated/bi_output/Views/vg_factbillingwithdraw_transactionsandattributes.md,WithdrawStatus,column_lineage,3,1,FALSE
Dim_Country.IsHighRiskCountry,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,IsHighRiskCountry,main.dwh.gold_sql_dp_prod_we_bi_db_dbo_aml__german__video__ident,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,Country,wiki_inheritance,0,0,FALSE
Dim_Country.IsHighRiskCountry,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,IsHighRiskCountry,main.dwh.gold_sql_dp_prod_we_bi_db_dbo_aml__german__video__ident,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,POBCountry,wiki_inheritance,0,0,FALSE
