correction_id,wiki_path,wiki_object,column_name,current_desc,source_wiki,source_desc,new_audit_verdict,new_audit_severity,new_audit_layer,new_audit_proposed_fix,old_judge_verdict,old_judge_contradicting_fact,old_judge_suggested_rewrite,conflict_flag,final_proposed_fix,narrative_review_needed,notes
Dim_AccountType.AccountTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,Dim_AccountType,AccountTypeID,"Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private, 7=Employee, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate, 16=Administrated, 17=Funded Employee, 18=Trust. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID. (Tier 1 - upstream wiki, Dictionary.AccountType)",,,,,,,WRONG,classifies every eToro account into one of 17 categories,"Primary key identifying the account classification. Production source (Dictionary.AccountType) defines 17 categories (1=Private through 17=Funded Employee Account); 0 is a DWH placeholder. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID.",FALSE,"Primary key identifying the account classification. Production source (Dictionary.AccountType) defines 17 categories (1=Private through 17=Funded Employee Account); 0 is a DWH placeholder. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID.",FALSE,judge only (no new audit hit)
Dim_ActionType.CategoryID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ActionType.md,Dim_ActionType,CategoryID,"Business category integer code grouping multiple action types. Values: 0=N/A, 1=Account balance to mirror, 2=Bonus, 3=Cashier Loggin, 4=Cashout/Withdraw, 5=Cashout request, 6=Chargeback, 7=Compensation, 8=Deposit, 9=DepositAttempt, 10=DetachPosition, 11=Edit StopLoss, 12=End Of The Week Fee, 13=LoggedIn, 14=Mirror balance to account, 15=Open CRM Case, 16=Open Stock Order, 17=PositionClose, 18=PositionOpen, 19=Processed Cashout, 20=Refund, 21=Refund As ChargeBack, 22=Register new mirror, 23=Reverse cashout, 24=Unregister mirror, 25=UserEngagement, 26=WallEngagement, 27=Customer Registration, 28=Reverse Deposit. Used in SP_Validation_Cycle_Gap MINO filter: CategoryID IN (2,4,6,7,8,12,17,19,20,21,23). (Tier 3 - live data, DWH_dbo.Dim_ActionType)",,,,,,,WRONG,"CategoryID in(2,4,6,7,8,12,17,20,21,/*23,*/19)/*Only MINO movements*/","Integer code grouping multiple action types into business categories (values 0–28). Used in SP_Validation_Cycle_Gap_DL_To_Synapse MINO filter: CategoryID IN (2,4,6,7,8,12,17,20,21,19) — note that 23 (Reverse cashout) is commented out in the current SP code.",FALSE,"Integer code grouping multiple action types into business categories (values 0–28). Used in SP_Validation_Cycle_Gap_DL_To_Synapse MINO filter: CategoryID IN (2,4,6,7,8,12,17,20,21,19) — note that 23 (Reverse cashout) is commented out in the current SP code.",FALSE,judge only (no new audit hit)
Dim_Affiliate.FTDeFirstDate,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.md,Dim_Affiliate,FTDeFirstDate,Date of the affiliate's first referred FTDe (FTD equivalent — includes qualifying non-deposit events). (Tier 2 — Ext_Dim_Affiliate_FTDe),,,,,,,WRONG,"WHERE  cpa.CreditTypeID=1 AND 
       cpa.Valid = 1 AND 
	   CAST(cpa.IsFirstDeposit as INT) = 1","Date of the affiliate's first referred FTDe (Valid first-time deposit). FTDe uses the same deposit source as FTD (CreditTypeID=1, IsFirstDeposit=1) but adds a Valid=1 filter. Sourced from Ext_Dim_Affiliate_FTDe.",FALSE,"Date of the affiliate's first referred FTDe (Valid first-time deposit). FTDe uses the same deposit source as FTD (CreditTypeID=1, IsFirstDeposit=1) but adds a Valid=1 filter. Sourced from Ext_Dim_Affiliate_FTDe.",FALSE,judge only (no new audit hit)
Dim_BillingDepot.FundingTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,Dim_BillingDepot,FundingTypeID,"Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers). References Dictionary.FundingType. 38 distinct values across 163 depots. (Tier 1 - upstream wiki, Billing.Depot)",,,,,,,WRONG,| 6 | Wire | 1 | 1 | Bank wire transfer. Used for large deposits. Slower processing but no card-based limits. Supports cashout (bank transfer withdrawal). |,"Payment method type (e.g., 1=CreditCard, 6=Wire, 7=PayPal). References Dictionary.FundingType. 38 distinct values across 163 depots.",FALSE,"Payment method type (e.g., 1=CreditCard, 6=Wire, 7=PayPal). References Dictionary.FundingType. 38 distinct values across 163 depots.",FALSE,judge only (no new audit hit)
Dim_BillingProtocolMIDSettingsID.MerchantAccountID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingProtocolMIDSettingsID.md,Dim_BillingProtocolMIDSettingsID,MerchantAccountID,"Optional link to a specific merchant account configuration in Billing.MerchantAccountValues. When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable. (Tier 1 - upstream wiki, Billing.ProtocolMIDSettings)",,,,,,,WRONG,Billing.MerchantAccountRouting | Many-to-one | MerchantAccountValues.MerchantAccountID = MerchantAccountRouting.MerchantAccountID | Implicit. The routing table selects which merchant account to use; values table provides its parameters.,"Optional link to a merchant account defined in Billing.MerchantAccountRouting (the master routing table; Billing.MerchantAccountValues stores parameter values for those accounts). When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable.",FALSE,"Optional link to a merchant account defined in Billing.MerchantAccountRouting (the master routing table; Billing.MerchantAccountValues stores parameter values for those accounts). When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable.",FALSE,judge only (no new audit hit)
Dim_BillingProtocolMIDSettingsID.Value,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingProtocolMIDSettingsID.md,Dim_BillingProtocolMIDSettingsID,Value,"The protocol identifier string (MID, merchant ID, API key, etc.) passed to the payment processor for routing. SENSITIVE -- contains payment gateway credentials. Examples: merchant ID numbers, API endpoint identifiers",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.ProtocolMIDSettings.md,"[CODE-BACKED] The protocol identifier string (MID, merchant ID, API key, etc.). This is the actual routing value passed to the payment processor. Examples: ""18989693"", ""18986763""",FAIL,LOW,L2-semantic,"The protocol identifier string (MID, merchant ID, API key, etc.). This is the actual routing value passed to the payment processor. Examples: ""18989693"", ""18986763"" (Tier 1 - Billing.ProtocolMIDSettings.md)",,,,FALSE,"The protocol identifier string (MID, merchant ID, API key, etc.). This is the actual routing value passed to the payment processor. Examples: ""18989693"", ""18986763"" (Tier 1 - Billing.ProtocolMIDSettings.md)",FALSE,
Dim_BonusType.IsActive,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BonusType.md,Dim_BonusType,IsActive,"Whether this bonus type is still in active use. False for IDs 0 (N/A placeholder), 17 (Refill-Negative Balance), and 23 (Championship Winner Demo). True for all other 63 types",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/BackOffice/Tables/BackOffice.BonusType.md,"Whether this bonus type is still in active use. 0=deprecated (should not be assigned to new bonuses). Active=0 types: 17=Refill-Negative Balance, 23=Championship Winner Demo. All other 68 types are IsActive=1",FAIL,LOW,L2-semantic,"Whether this bonus type is still in active use. 0=deprecated (should not be assigned to new bonuses). Active=0 types: 17=Refill-Negative Balance, 23=Championship Winner Demo. All other 68 types are IsActive=1 (Tier 1 - BackOffice.BonusType)",,,,FALSE,"Whether this bonus type is still in active use. 0=deprecated (should not be assigned to new bonuses). Active=0 types: 17=Refill-Negative Balance, 23=Championship Winner Demo. All other 68 types are IsActive=1 (Tier 1 - BackOffice.BonusType)",FALSE,
Dim_Campaign.Code,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Campaign.md,Dim_Campaign,Code,"Unique public-facing campaign code (e.g., ""20coupon"", ""freecopyref""). The identifier customers enter at registration. UNIQUE in production. Currently only 'N/A' (ID=0 placeholder)",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/BackOffice/Tables/BackOffice.Campaign.md,"Unique public-facing campaign code. UNIQUE index. The identifier customers enter at registration (e.g., ""20coupon"", ""freecopyref""). Auto-generated if not supplied to CampaignAdd: 6-char random string. CampaignBunchAdd generates longer codes with optional prefix. Case-sensitivity depends on server collation",FAIL,LOW,L2-semantic,"Unique public-facing campaign code (e.g., ""20coupon"", ""freecopyref""). The identifier customers enter at registration. UNIQUE index. Auto-generated 6-char random string if not supplied. (Tier 1 - BackOffice.Campaign)",,,,FALSE,"Unique public-facing campaign code (e.g., ""20coupon"", ""freecopyref""). The identifier customers enter at registration. UNIQUE index. Auto-generated 6-char random string if not supplied. (Tier 1 - BackOffice.Campaign)",FALSE,
Dim_CardType.CardTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CardType.md,Dim_CardType,CardTypeID,"Card network identifier. Active brands (IsActive=1 as of 2019): 0=None (unknown/fallback), 1=Visa, 2=Master Card, 3=Diners. Inactive: 4=Amex, 5=Fire Pay, 6=JCB, 7=American Express, 8=Maestro (active in production today), 9=Laser, 10=Switch, 11=UK Local Credit Card, 12=Discover, 13=Local Card, 14=China Union Pay, 15=Solo, 16=Cirrus, 17=GE Capital. DWH note: snapshot covers IDs 0-17 only; production has 32 types including newer IDs. (Tier 1 - upstream wiki, Dictionary.CardType)",,,,,,,WRONG,| 0 | None | 0 | 0 | Fallback when BIN lookup fails to identify card network. Not accepted for deposits. |,"Card network identifier. Active brands (IsActive=1): 1=Visa, 2=MasterCard, 3=Diners, 8=Maestro. Inactive (IsActive=0): 0=None (fallback), 4=Amex, 5=FirePay, 6=JCB, 7=American Express, 9=Laser, 10=Switch, 11=UK Local, 12=Discover, 13=Local Card, 14=China UnionPay, 15=Solo, 16=Cirrus, 17=GE Capital. DWH snapshot covers IDs 0–17; production has 32 types.",FALSE,"Card network identifier. Active brands (IsActive=1): 1=Visa, 2=MasterCard, 3=Diners, 8=Maestro. Inactive (IsActive=0): 0=None (fallback), 4=Amex, 5=FirePay, 6=JCB, 7=American Express, 9=Laser, 10=Switch, 11=UK Local, 12=Discover, 13=Local Card, 14=China UnionPay, 15=Solo, 16=Cirrus, 17=GE Capital. DWH snapshot covers IDs 0–17; production has 32 types.",FALSE,judge only (no new audit hit)
Dim_CashoutStatus.CashoutStatusID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,Dim_CashoutStatus,CashoutStatusID,"Primary key. DWH values: 0=N/A (placeholder), 1=Pending, 2=InProcess, 3=Processed, 4=Canceled. Note: production has 17 states (IDs 5-17 missing from DWH). Stored in withdrawal request records and updated as requests progress",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CashoutStatus.md,"Primary key identifying the withdrawal lifecycle state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Partially Processed, 6=Payment Sent, 7=Rejected, 8=RejectedByProvider, 9=PendingByProvider, 10=SentToProvider, 11=SentToBilling, 12=ReceivedByBilling, 13=Failed, 14=Pending Review, 15=Under Review, 16=Reversed, 17=Partially Reversed. See [Cashout Status](_glossary.md#cashout-status). (Dictionary.CashoutStatus)",FAIL,MEDIUM,L2-semantic,Primary key identifying withdrawal lifecycle state (17 values: 1=Pending through 17=Partially Reversed; 0=N/A is a DWH placeholder). See glossary for full mapping. (Tier 1 - Dictionary.CashoutStatus),WRONG,"SELECT 
[CashoutStatusID]
,[Name]
,[CashoutStatusID] as [DWHCashoutStatusID]
,1 as StatusID
,getdate()
,getdate()
FROM [DWH_staging].[etoro_Dictionary_CashoutStatus]","Primary key identifying the cashout status. Loaded via full TRUNCATE+INSERT from [DWH_staging].[etoro_Dictionary_CashoutStatus] with no filter, so all production statuses (17 states) are present in the DWH.",TRUE,Primary key identifying withdrawal lifecycle state (17 values: 1=Pending through 17=Partially Reversed; 0=N/A is a DWH placeholder). See glossary for full mapping. (Tier 1 - Dictionary.CashoutStatus),FALSE,audit vs judge disagree
