ProcedureName,ProcessName,Priority,IsActive,schema_prefix
BI_DB_dbo.SP_ASIC_ClientBalanceFinance,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_CB_Gap_Categorization,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_CID_Daily_NWA,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Client_Balance_New,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Crypto_NOP,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_CycleGap,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Daily_CB_Gaps_All,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Daily_CreditLine,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Daily_Dividends,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_DailyDividendsByPosition,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_DailyZero_TreeSize_NEW,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_DepositWithdrawFee,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Finance_Non_US_Settlement_Report,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Finance_Panel_Reports,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_M_Crypto_RECON,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Outliers_New,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_PositionPnL,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_Real_Crypto_Loans,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_RealCrypto_Lev2,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_RollOverFee_Dividends,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_VarCommission,FinanceReportSPS,99,1,BI_DB_dbo
BI_DB_dbo.SP_ECB_ExchangeRateAPI_Update_Columns,FinanceReportSPS,98,0,BI_DB_dbo
BI_DB_dbo.SP_CIDFirstDates,SB_Daily,90,1,BI_DB_dbo
BI_DB_dbo.SP_DDR,SB_Daily,90,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Aggregated,SB_Daily,90,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Aggregated_Auxiliary_Metrics,SB_Daily,90,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Auxiliary_Metrics,SB_Daily,90,1,BI_DB_dbo
BI_DB_dbo.SP_FirstTimeFunded,SB_Daily,90,0,BI_DB_dbo
BI_DB_dbo.SP_Futures_Finance_Prep_Data,SB_Daily,90,1,BI_DB_dbo
general.SP_Run_Tangany_ADF,SB_Daily,90,1,general
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsActivities_862157,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsActivities_AccountActivity-833937,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsActivities_RiskActions-322546,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsActivities_SecurityChecks-471048,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsSnapshots_AccountSnapshot-956050,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsSnapshots_BankAccount-393561,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsSnapshots_BankAccounts-795870,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.AccountsSnapshots-509416,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.Authorizes_Authorize-312243,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.Authorizes_RiskActions-796100,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.Authorizes_SecurityChecks-30662,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.Authorizes-837045,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.CardsSnapshots_Account-513255,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.CardsSnapshots_Accounts-350640,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.CardsSnapshots_BankAccount-341626,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.CardsSnapshots_BankAccounts-83854,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.CardsSnapshots_CardSnapshot-140457,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.CardsSnapshots-890718,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.SettlementsTransactions_RiskActions-236807,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.SettlementsTransactions_SecurityChecks-426253,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.SettlementsTransactions_SettlementTransaction-637239,SB_Daily,85,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_Tribe.SettlementsTransactions-333243,SB_Daily,85,1,DE_dbo
BI_DB_dbo.SP_InterestDaily,SB_Daily,80,1,BI_DB_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_AccountPrograms,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_AccountStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_AuthorizationTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_CardStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.FiatDwhDB_Dictionary_CurrencyBalanceStatuses,SB_Daily,80,1,DE_dbo
