schema,object_name,object_type,priority,process_name,is_active,archetype,archetype_label,confidence,n_destinations,destination_tables,dest_customer_keys,dest_money_cols,dest_count_cols,dest_dim_cols,dest_txn_cols,dest_pop_flag_cols,has_validity_filter,validity_evidence,has_population_filter,population_evidence,has_group_by_customer_key,group_by_evidence,touches_fact_snapshot_customer,touches_dim_customer,recommended_action,key_insight,file_path
BI_DB_dbo,SP_Client_Balance_New,SP,99,FinanceReportSPS,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,3,BI_DB_dbo.BI_DB_Client_New_CompensationBreakdown; BI_DB_dbo.BI_DB_Client_Balance_CID_Level_New; BI_DB_dbo.BI_DB_Client_Balance_Aggregate_Level_New,CID,"CashoutFee, CashoutRollback, Cashouts, CashoutsIncludingRedeem, ChargebackLoss, ClientBalanceCommission, ClientBalanceCommissionCFD, ClientBalanceCommissionRealCrypto",,"CompensationCryptoTransferOut, Country, DidRegulationTransfer, FromRegulation, MifidCategory, NOPCrypto, NOPCryptoCFD, NOPCryptoTRS",,"IsValidCustomer, PlayerStatus, Regulation",0,,1,"L182: ,CASE WHEN fsc.PlayerStatusID NOT IN (1,3,5,7) THEN 1 ELSE 0 END AS IsBlocked",1,L1268: GROUP BY CID) t ,1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_Client_Balance_New.sql
BI_DB_dbo,SP_Finance_Non_US_Settlement_Report,SP,99,FinanceReportSPS,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,4,BI_DB_dbo.BI_DB_GAML_Real_Positions_Report_Opened_2022; BI_DB_dbo.BI_DB_GAML_Real_Positions_Report_Closed; BI_DB_dbo.BI_DB_CIDLevel_Settlement_Report; BI_DB_dbo.BI_DB_Finance_Non_US_Settlement_Report,CID,"Closing_Rate_Price_Spreaded, Closing_Rate_Price_Unspreaded, Initial_Amount, Realized_Equity, SettlementDate",,"Country, Current_IsSettled, Exchange, InstrumentID, InstrumentName, InstrumentType, Regulation_Name, Regulation_on_Open","CloseOccurred, OpenOccurred, PositionID",Regulation,1,L240: AND fsc.IsCreditReportValidCB = 1,0,,1,L373: GROUP BY pl.CID,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_Finance_Non_US_Settlement_Report.sql
BI_DB_dbo,SP_Real_Crypto_Loans,SP,99,FinanceReportSPS,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_Real_Crypto_Loan,,"CurrentAmountCryptoLoan, InitialAmountCryptoLoan",,"InstrumentID, IsSettled, Leverage",,Regulation,1,L86: AND fsc.IsCreditReportValidCB = 1,0,,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_Real_Crypto_Loans.sql
BI_DB_dbo,SP_VarCommission,SP,99,FinanceReportSPS,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_VarCommission,,"FullCommission, FullCommission_Closings, FullCommission_Openings, VarCommission, VarCommission_Closings, VarCommission_Openings",,"HedgeServerID, InstrumentID, InstrumentName, InstrumentType, IsSettled",,,1,L97: WHERE dc.IsValidCustomer=1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_VarCommission.sql
BI_DB_dbo,SP_DDR,SP,90,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,2,BI_DB_dbo.BI_DB_DDR_Daily_Aggregated; BI_DB_dbo.BI_DB_DDR_CID_Level,CID,"AccountBalanceToMirrorAmount, CashoutFee, Cashouts, CashoutsAdjusted, CashoutsCount, CashoutsIncludingRedeem, CommoditiesCommission, CompensationPnLAdjustments",NewCopyUniqueUsers,"ActionTypeID, ActiveManualCrypto, Country, InstrumentTypeID, InvestedInCryptoManual, InvestedInCryptoTRS, MifidCategory, NOPCrypto",PositionID,"FTDAmountEver, FTDCurrentYear, FirstActionDateID, FirstActionType, FirstDepositAmounts, FirstDepositDate, FirstDepositDateID, FirstDepositors",0,,1,L267: AND f.IsDepositor = 1,1,"L291: GROUP BY a.DateID, CID",1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_DDR.sql
BI_DB_dbo,SP_DDR_Aggregated,SP,90,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_DDR_TimeRange_Aggregated_Country_Level,,"AccountBalanceToMirrorAmount, CashoutFee, Cashouts, CashoutsAdjusted, CashoutsCount, CashoutsIncludingRedeem, CommoditiesCommission, CompensationPnLAdjustments",NewCopyUniqueUsers,"ActiveManualCrypto, Country, InvestedInCryptoManual, InvestedInCryptoTRS, MifidCategory, NOPCrypto, NOPCryptoCFD, Region",,"FTDCurrentYear, FirstActionType, FirstDepositAmounts, FirstDepositors, FirstTimeFunded, IsValidCustomer, LoggedIn, PlayerStatus",0,,1,L94: ON bddcl.CID = dc.RealCID AND dc.IsDepositor = 1,1,L228: GROUP BY bddcl.CID,1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_DDR_Aggregated.sql
BI_DB_dbo,SP_DDR_Aggregated_Auxiliary_Metrics,SP,90,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.[BI_DB_DDR_TimeRange_Aggregated_Country_Level],,"AccountBalanceToMirrorAmount, CashoutFee, Cashouts, CashoutsAdjusted, CashoutsCount, CashoutsIncludingRedeem, CommoditiesCommission, CompensationPnLAdjustments",NewCopyUniqueUsers,"ActiveManualCrypto, Country, InvestedInCryptoManual, InvestedInCryptoTRS, MifidCategory, NOPCrypto, NOPCryptoCFD, Region",,"FTDCurrentYear, FirstActionType, FirstDepositAmounts, FirstDepositors, FirstTimeFunded, IsValidCustomer, LoggedIn, PlayerStatus",0,,1,"L58: , CASE WHEN fsc.PlayerStatusID NOT IN (1,3,5,7) THEN 1 ELSE 0 END as IsBlocked",0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_DDR_Aggregated_Auxiliary_Metrics.sql
BI_DB_dbo,SP_DDR_Auxiliary_Metrics,SP,90,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,2,BI_DB_dbo.BI_DB_DDR_CID_Level_Auxiliary_Metrics; BI_DB_dbo.BI_DB_DDR_Daily_Aggregated_Auxiliary_Metrics,CID,"InterestFees, TicketFees, WalletBalanceUSD",,"Country, MifidCategory, Region",,"FTDCurrentYear, FirstActionType, IsValidCustomer, PlayerStatus, Regulation",0,,1,"L50: ,CASE WHEN fsc.PlayerStatusID NOT IN (1,3,5,7) THEN 1 ELSE 0 END AS IsBlocked",1,L121: GROUP BY fca.RealCID ,1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_DDR_Auxiliary_Metrics.sql
Dealing_dbo,SP_Capital_Adequacy_IFR_KPMG,SP,21,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,2,Dealing_dbo.Dealing_LP_StocksNOP; Dealing_dbo.Dealing_ClientsCapitalAdequacy,,"LP_VolumeBuy, LP_VolumeSell",,"HedgeServerID, InstrumentType",,Regulation,1,L212: AND fsc.IsValidCustomer = 1,1,L213: AND fsc.IsDepositor = 1,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_Capital_Adequacy_IFR_KPMG.sql
BI_DB_dbo,SP_AvgHoldingTime,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[BI_DB_dbo].[BI_DB_AvgHoldingTime],,,,,,,1,L57: AND dc.IsValidCustomer = 1,1,L60: AND dc.IsDepositor = 1,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_AvgHoldingTime.sql
