left,right,edge_kind,join_keys,purpose,source,stability_score
BackOffice.Customer,BackOffice.SetRiskClassificationNew,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,Dictionary.CySecRiskClassificationParameter,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,RiskCalculation.CySecScoresTemporary,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,RiskCalculation.ScoresTemporary,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,RiskCalculation.SetRiskClassificationForCySec,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,RiskClassification.CySecRiskClassificationParameter,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,RiskClassification.CySecRiskClassificationParameterView,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.Customer,general.bronze_etoro_dictionary_riskclassification,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,Dictionary.CySecRiskClassificationParameter,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,RiskCalculation.CySecScoresTemporary,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,RiskCalculation.ScoresTemporary,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,RiskCalculation.SetRiskClassificationForCySec,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,RiskClassification.CySecRiskClassificationParameter,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,RiskClassification.CySecRiskClassificationParameterView,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
BackOffice.SetRiskClassificationNew,general.bronze_etoro_dictionary_riskclassification,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
Dictionary.CySecRiskClassificationParameter,RiskCalculation.CySecScoresTemporary,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
Dictionary.CySecRiskClassificationParameter,RiskCalculation.ScoresTemporary,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
Dictionary.CySecRiskClassificationParameter,RiskCalculation.SetRiskClassificationForCySec,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
Dictionary.CySecRiskClassificationParameter,RiskClassification.CySecRiskClassificationParameter,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
Dictionary.CySecRiskClassificationParameter,RiskClassification.CySecRiskClassificationParameterView,confluence_canonical,,HLD - Move Risk Classification Process to Data Lake,confluence:CR/11655577818,2.22
