left,right,edge_kind,join_keys,purpose,source
etoro_kpi.cidfirstdates_v,etoro_kpi.vg_crm_case,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi.cidfirstdates_v,etoro_kpi_stg.crm_csat_survey_per_case_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi.cidfirstdates_v,etoro_kpi_stg.crm_quality_assessment_per_case_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi.cidfirstdates_v,etoro_kpi_stg.crm_user_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi.vg_crm_case,etoro_kpi_stg.crm_csat_survey_per_case_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi.vg_crm_case,etoro_kpi_stg.crm_quality_assessment_per_case_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi.vg_crm_case,etoro_kpi_stg.crm_user_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi_stg.crm_csat_survey_per_case_v,etoro_kpi_stg.crm_quality_assessment_per_case_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi_stg.crm_csat_survey_per_case_v,etoro_kpi_stg.crm_user_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
etoro_kpi_stg.crm_quality_assessment_per_case_v,etoro_kpi_stg.crm_user_v,genie_clique,,DEV - Customer Support Case Analytics,01f14469b87810f78ac2e068df8dbe62
