left,right,edge_kind,join_keys,purpose,source
etoro_kpi.cfd_statusinfo_v,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_scored_appropriateness_negative_market,kpi_view_dep,,,etoro_kpi
etoro_kpi.cidfirstdates_v,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,kpi_view_dep,,,etoro_kpi
etoro_kpi.cidfirstdates_v,general.bronze_etoro_dictionary_regulation,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_exclude_list,general.bronze_etoro_customer_customer_masked,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_segments_mail_v,bi_output.bi_output_marketing_sfmc_sfmc_report,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_segments_mail_v,mixpanel.login_events,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_segments_v,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates_masked,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_segments_v,bi_dealing.bi_output_dealing_cidage_data,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_segments_v,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_segments_v,etoro_kpi_stg.bi_output_vg_aum_slim,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,bi_output.bi_output_vg_date,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerlevel,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_manager,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_country,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_language,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_gurustatus,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accountstatus,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accounttype,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatus,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatusreasons,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatussubreasons,kpi_view_dep,,,etoro_kpi
etoro_kpi.customer_snapshot_v,general.bronze_etoro_dictionary_mifidcategorization,kpi_view_dep,,,etoro_kpi
etoro_kpi.ddr_aum_v,bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,kpi_view_dep,,,etoro_kpi
etoro_kpi.ddr_aum_v,bi_output.bi_output_vg_date,kpi_view_dep,,,etoro_kpi
etoro_kpi.ddr_customer_current_flags,etoro_kpi_prep.gold_de_user_dim_ddr_customer_dailystatus_scd,kpi_view_dep,,,etoro_kpi
