left,right,edge_kind,join_keys,purpose,source
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_fullcommission,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_commission,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_ticketfee_fixed,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_ticketfee_bypercent,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_rollover,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_dividend,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_adminfee,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,etoro_kpi_prep.v_revenue_spotadjustfee,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,dwh.dim_Position,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mirror,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,bi_output.bi_output_finance_tables_bi_db_positions_opened_from_iban,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,bi_output.bi_output_finance_tables_bi_db_positions_closed_to_iban,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,trading.bronze_etoro_trade_instrumentgroups,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,BASEDATA,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,DIMPOS,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,MIRRORS,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,IBANOPEN,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,IBANCLOSE,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.mv_revenue_trading,SQF,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_copyfund_positions,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mirror,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_copyfund_positions,dwh.dim_position,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_copyfund_positions,copyfund_mirrors,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_copyfund_positions,copyfund_positions,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,etoro_kpi_prep.v_fact_customeraction_w_metrics,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_actiontype,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,base,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,unpivoted,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,dimensioned,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,etoro_kpi_prep.v_revenue_optionsplatform,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,etoro_kpi_prep.v_revenue_cryptotofiat_c2f,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,etoro_kpi_prep.v_revenue_interestfee,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_ddr_revenues,etoro_kpi_prep.v_revenue_stakingfee,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,bi_db.bronze_sub_accounts_accounts,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,etoro_kpi.v_spaceship_aum,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,sps_all,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,sps_cross,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,etoro,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_dataplatform_uuid,sps_only,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_ftdplatform,bi_db.bronze_moneybusdb_dictionary_accounttypes,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_instrument_enriched,trading.bronze_etoro_trade_instrumentmetadata_daily,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_instrument_enriched,trading.bronze_etoro_trade_providertoinstrument,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_instrument_enriched,rth_instruments,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_instrument_enriched,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_instrument_enriched,trading.bronze_etoro_trade_instrumentgroups,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_dim_instrument_enriched,instruments_245,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction,trading.bronze_etoro_history_positionchangelog,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction,dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction,dwh.dim_position,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction,mirror_changelog,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction,passive_actions_enriched,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction,active_actions,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_enriched,dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_enriched,dwh.dim_position,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_enriched,passive_actions_enriched,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_enriched,active_actions,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_w_metrics,general.bronze_recurringinvestment_recurringinvestment_planinstances,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_w_metrics,dwh.dim_position,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_w_metrics,etoro_kpi_prep.v_fact_customeraction_enriched,kpi_prep_view_dep,,,etoro_kpi_prep
etoro_kpi_prep.v_fact_customeraction_w_metrics,etoro_kpi_prep.v_dim_instrument_enriched,kpi_prep_view_dep,,,etoro_kpi_prep
