left,right,edge_kind,join_keys,purpose,source
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Fact_AUM,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_eMoney_Platform,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Fact_PnL,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Fact_Revenue_Generating_Actions,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,BI_DB_dbo.BI_DB_DDR_Fact_Trading_Volumes_And_Amounts,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,EXW_dbo.EXW_C2F_E2E,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status,BI_DB_dbo.BI_DB_DDR_Fact_AUM,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,tableau_co_occurrence,,BI_DB_DDR_Customer_Daily_Status,knowledge/tableau/sql_dp_prod_we__BI_DB_dbo/BI_DB_DDR_Customer_Daily_Status.md
