left,right,edge_kind,join_keys,purpose,source_wiki,schema_dir
BI_DB_dbo.AML_Alerts_OPS_Report,DWH_dbo.Dim_Customer,common_join,`ON a.CID = c.RealCID`,Enrich with customer demographics,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_Alerts_OPS_Report.md,BI_DB_dbo
BI_DB_dbo.AML_Alerts_OPS_Report,BI_DB_dbo.BI_DB_AML_BI_Alerts_New,common_join,`ON a.CID = b.CID AND a.AlertType = b.AlertType`,Cross-reference with active alert log,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_Alerts_OPS_Report.md,BI_DB_dbo
BI_DB_dbo.AML_Alerts_OPS_Report,Unknown,lineage,All columns <- Unknown,No writer SP in SSDT,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_Alerts_OPS_Report.md,BI_DB_dbo
BI_DB_dbo.AML_Alerts_OPS_Report,DWH_dbo.Dim_Customer,references_to,CID,Customer demographics lookup,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_Alerts_OPS_Report.md,BI_DB_dbo
BI_DB_dbo.AML_Alerts_OPS_Report,BI_DB_dbo.BI_DB_AML_BI_Alerts_New,references_to,CID,Cross-reference with active AML alert log,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_Alerts_OPS_Report.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Customer.CustomerStatic,lineage,GCID <- GCID,Passthrough via Dim_Customer,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Customer.CustomerStatic,lineage,CID <- RealCID,Renamed to CID,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,BackOffice.Customer,lineage,Regulation <- Name,Dim_Regulation JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Dictionary.PlayerStatus,lineage,PlayerStatus <- Name,Dim_PlayerStatus JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Dictionary.PlayerLevel,lineage,Club <- Name,Dim_PlayerLevel JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Dictionary.Country,lineage,Country <- Name,Dim_Country JOIN (CountryID=79),knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Dictionary.Country,lineage,POBCountry <- Name,Dim_Country LEFT JOIN (POBCountryID),knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Dictionary.Country,lineage,CitizenshipCountry <- Name,Dim_Country LEFT JOIN (CitizenshipCountryID),knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Dictionary.EvMatchStatus,lineage,EvMatchStatusName <- EvMatchStatusName,Dim_EvMatchStatus LEFT JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,Customer.CustomerStatic,lineage,RegisteredReal <- Registered,Passthrough via Dim_Customer,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,etoro.CustomerFinanceDB,lineage,FirstDepositDate <- —,SP_Dim_Customer FTD logic,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,etoro.CustomerFinanceDB,lineage,FirstDepositAmount <- FTDAmountInUsd,SP_Dim_Customer,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,BackOffice.Customer,lineage,HasWallet <- HasWallet,Passthrough via Dim_Customer,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,ScreeningService,lineage,ScreeningStatus <- —,Dim_ScreeningStatus LEFT JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,RiskClassification,lineage,RiskScoreName <- RiskScoreName,External_RiskClassification LEFT JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,RiskClassification,lineage,RiskScore_Explanation <- RiskScore_Explanation,External_RiskClassification LEFT JOIN,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,BI_DB_dbo.BI_DB_PositionPnL,lineage,Has_Open_RealCrypto <- —,"SP-derived CASE flag, InstrumentTypeID=10",knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,DWH_dbo.Fact_CustomerAction,lineage,TotalDeposit <- Amount,SUM WHERE ActionTypeID=7,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,DWH_dbo.V_Liabilities,lineage,TotalEquity <- Liabilities + ActualNWA,ISNULL sum,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
