node,total_weight,src_wiki,src_genie,src_kpi,src_kpi_prep,src_tableau
DWH_dbo.Dim_Customer,922.00,733,157,8,22,4
DWH_dbo.Dim_Instrument,478.00,367,94,2,15,0
DWH_dbo.Dim_Position,441.00,309,120,1,11,0
DWH_dbo.Dim_Country,397.50,312,67,3,0,31
DWH_dbo.Dim_Regulation,269.50,200,49,5,0,31
DWH_dbo.Fact_CustomerAction,223.00,188,16,0,19,0
DWH_dbo.V_Liabilities,192.00,100,92,0,0,0
DWH_dbo.Fact_SnapshotCustomer,187.50,174,0,0,0,27
BI_DB_dbo.BI_DB_PositionPnL,185.00,120,65,0,0,0
Customer.CustomerStatic,173.00,173,0,0,0,0
BI_DB_dbo.BI_DB_CIDFirstDates,166.00,136,22,7,1,0
DWH_dbo.Dim_PlayerLevel,165.50,99,50,3,0,27
DWH_dbo.Dim_Mirror,135.00,88,40,0,7,0
DWH_dbo.Dim_PlayerStatus,124.00,90,31,3,0,0
DWH_dbo.Dim_Date,122.00,112,8,2,0,0
BackOffice.Customer,115.00,54,61,0,0,0
Dictionary.Country,109.00,69,36,2,2,0
eMoney_dbo.eMoney_Dim_Account,108.00,105,0,0,0,6
DWH_dbo.Fact_BillingDeposit,94.00,75,14,0,5,0
DWH_dbo.Fact_BillingWithdraw,89.00,85,0,0,4,0
EXW_Wallet.CryptoTypes,88.00,88,0,0,0,0
BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,87.00,21,30,1,1,68
EXW_dbo.EXW_DimUser,87.00,87,0,0,0,0
DWH_dbo.Dim_Currency,83.50,59,7,0,4,27
DWH_dbo.V_Fact_SnapshotCustomer_FromDateID,83.00,2,63,3,15,0
eMoney_dbo.eMoney_Dim_Transaction,79.50,66,0,0,0,27
BI_DB_dbo.BI_DB_DDR_Customer_Daily_Status,79.00,26,36,1,0,32
DWH_dbo.Dim_Range,78.50,20,30,1,14,27
BI_DB_dbo.BI_DB_DepositWithdrawFee_Reversals,76.00,74,0,0,2,0
Customer.Customer,75.00,0,71,4,0,0
