query_id,query_name,connection_type,database_name,is_embedded,is_unsupported,sql_chars,sql_sha1_short,sql_body_path,n_upstream_tables,n_downstream_datasources,n_downstream_workbooks,n_downstream_sheets,n_downstream_dashboards,upstream_tables_sample,downstream_workbooks_sample,downstream_datasources_sample
00ae7668-f0bf-9e5c-ce88-a07d5389538e,,,,,,0,,,1,0,1,1,0,sql_dp_prod_we,,
0178b091-9ba7-a16f-7def-fd45f8ad3a12,,,,,,0,,,1,0,1,1,1,?,,
017bf45c-6397-7075-c69f-c4fb48c227d8,,,,,,0,,,0,0,0,0,0,,,
01880646-a653-1021-05de-15fef8093a3b,,,,,,0,,,1,0,1,1,1,?,,
021ec834-dd99-cca9-585b-fdf16fa051c8,,,,,,0,,,1,1,0,0,0,?,,
02c3a18f-c59d-0c5d-df5a-c756da0bdc2b,,,,,,0,,,1,1,0,0,0,?,,
03826863-4137-fb4c-832a-e5a6a878735b,,,,,,0,,,0,0,1,2,1,,,
047efec8-e43a-d372-cfd3-0f968c479e6d,,,,,,0,,,0,0,1,1,1,,,
054e1723-45cd-0e57-0e1d-0be536261c80,,,,,,0,,,1,0,1,2,0,BI_DB_dbo.BI_DB_Client_Balance_Aggregate_Level_New,,
05672b86-5eeb-b8a3-7258-f3533003bc7a,,,,,,0,,,1,1,2,2,1,?,,
06253514-7085-7dc4-e7f3-702915fe7063,,,,,,0,,,1,0,1,5,2,?,,
06de2938-11bf-4833-9ce5-fe4ae0742a7c,,,,,,0,,,1,0,1,5,2,?,,
0762541d-1a0b-cf0f-9a88-603fe4e271a9,,,,,,0,,,0,0,1,1,1,,,
076c825b-5162-5a84-315e-dce4f5d01e1b,,,,,,0,,,1,0,1,7,3,?,,
07a384b9-7c59-9841-c436-fe32b4cebd9b,,,,,,0,,,0,0,1,1,1,,,
09e6913f-8e24-35f4-e1a4-93a407c2ecef,,,,,,0,,,0,0,1,8,0,,,
09f0ae1e-6005-43ba-914b-b789c19ad6b4,,,,,,0,,,1,0,0,0,0,main,,
0a5fd9a7-2914-878d-d0ce-2486ab37bf71,,,,,,0,,,2,0,0,0,0,main | main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,,
0a872770-30e4-052a-bc1c-7482a0e0db23,,,,,,0,,,1,1,0,0,0,?,,
0b2b6f61-c373-f3af-928c-109db780f60f,,,,,,0,,,1,1,0,0,0,?,,
0bfa416f-d9b3-ccdd-a85c-a8d13bc13e39,,,,,,0,,,2,0,1,1,0,BI_DB_dbo.BI_DB_PositionPnL | DWH_dbo.Dim_Instrument,,
0c1bad17-cb25-81d9-49e3-52b4d5b56255,,,,,,0,,,1,0,0,0,0,?,,
0c20acdf-6f44-f516-c629-a211832a5cfb,,,,,,0,,,1,1,0,0,0,?,,
0d4faffc-f156-55a0-bdf8-ad8550b96d87,,,,,,0,,,0,0,1,4,2,,,
10cdde4a-a68a-5178-badf-ac709ca50f96,,,,,,0,,,0,0,1,2,1,,,
121817dc-b82b-7199-e13c-e3e93cc4223a,,,,,,0,,,1,0,0,0,0,?,,
12292bac-5e66-f94f-1f82-770ec719c5a3,,,,,,0,,,1,0,0,0,0,?,,
14292c92-6731-a0b8-4ddd-b69ec4d2ed7e,,,,,,0,,,1,0,1,4,1,?,,
1434ed7b-cb37-9d71-60a0-055114b4adf6,,,,,,0,,,1,0,0,0,0,?,,
145da8fb-e609-2c5e-dd01-d8805aa2145a,,,,,,0,,,0,1,0,0,0,,,
17ac70f9-06e9-b968-d5f4-f5654c1174e5,,,,,,0,,,1,0,1,1,0,main,,
17ae890f-0f8e-062b-aed3-819e63badd16,,,,,,0,,,1,0,1,6,4,BI_DB_dbo.BI_DB_RBSF_V2_StaticPeriodSnapshot,,
17c8e64f-dee5-f995-5320-69cb8c19082e,,,,,,0,,,1,1,0,0,0,?,,
180210e8-1a4b-448d-83fc-2e4a58df318d,,,,,,0,,,1,1,0,0,0,?,,
1803eea0-8774-a07a-8c72-d33c5567971e,,,,,,0,,,1,0,0,0,0,?,,
18740235-94e6-05d2-cb97-36b8451534f2,,,,,,0,,,1,0,1,1,0,DWH_dbo.Dim_CompensationReason,,
1a066a06-0163-8773-9083-3404a4461f00,,,,,,0,,,1,0,0,0,0,?,,
1b580bff-c6c7-e6a5-fb97-b3792158a8bc,,,,,,0,,,0,0,1,10,1,,,
1ce9735e-d3c3-f08d-5ed0-67c8adc8246c,,,,,,0,,,1,0,1,4,1,?,,
1d46257e-5474-4c2b-9c3f-eb017623f8fd,,,,,,0,,,1,0,0,0,0,?,,
1df63bc1-dda9-394d-a445-0796fc54e6e5,,,,,,0,,,1,0,1,2,3,sql_dp_prod_we,,
1ef2f1e1-327e-4653-cf47-16a3bf9a671e,,,,,,0,,,1,1,0,0,0,?,,
1f1d37eb-2f4d-8500-35c2-e890317e9751,,,,,,0,,,1,0,1,2,1,sql_dp_prod_we,,
1ff12915-4418-180e-52ba-b566f0f2ed5c,,,,,,0,,,6,0,1,1,0,BI_DB_dbo.BI_DB_PositionPnL | DWH_dbo.Dim_Instrument | DWH_dbo.Dim_Range | DWH_dbo.Fact_CurrencyPriceWithSplit | DWH_dbo.Fact_SnapshotCustomer | sql_dp_prod_we,,
200e5dc9-d97d-5d0b-5bbf-10d576f19a8c,,,,,,0,,,0,0,1,26,0,,,
21bea792-41d2-a9dc-ec26-fe873003df3f,,,,,,0,,,0,0,1,1,0,,,
22473c93-8fb1-5886-8b46-09bfa373da91,,,,,,0,,,1,1,0,0,0,?,,
2271b16f-994a-6cf2-2180-646a7d04cc78,,,bi_db,,,0,,,0,1,0,0,0,,,
22898c3a-cb0f-ee2f-13da-56e1077fc308,,,,,,0,,,1,1,1,9,4,?,QA panel,
23e9670c-f0d3-867d-b6b7-1db2734f4893,,,,,,0,,,0,0,1,1,0,,,
260fe715-ec18-0898-f657-21c0a2e54fc9,,,,,,0,,,1,0,1,2,0,sql_dp_prod_we,,
26296529-1886-b416-3090-a6573f27a9bd,,,,,,0,,,1,0,1,1,0,main,,
27488d34-5113-fb82-5fda-cffb3948a59a,,,,,,0,,,0,0,1,1,0,,,
28fdf802-dd35-a2a5-2e4e-294806b072c7,,,,,,0,,,0,0,1,1,0,,,
290b35de-0912-98a4-3ed7-2b09037a258e,,,,,,0,,,1,1,0,0,0,?,,
29b104aa-a05d-dd8f-9a3d-6373486da27f,,,,,,0,,,1,0,0,0,0,?,,
2aba9664-d6af-3d9e-49fa-8d4cae768b37,,,,,,0,,,1,0,1,5,2,?,,
2b42d137-7b0f-0916-f044-faea8ac6e904,,,,,,0,,,0,1,4,6,2,,Activity Monitoring | IT Licenses Management,
2c237ec6-4c6f-8a77-52b6-b8bface1b2c7,,,,,,0,,,1,0,1,1,1,?,,
2caf8675-d5ae-e5d1-81b8-fb12b6d1b981,,,,,,0,,,1,1,0,0,0,?,,
2d6b2f4a-f498-b1c2-5338-c27378efd9c9,,,,,,0,,,1,1,0,0,0,?,,
3108627f-220f-dd99-882a-90519f265219,,,,,,0,,,1,0,1,4,1,?,,
34832454-6c65-d9d2-250f-589e30a59f05,,,,,,0,,,1,0,1,1,0,adb-6358342630366312.12.azuredatabricks.net,,
354159f9-77f3-c6ca-45f5-9a199d207588,,,,,,0,,,1,0,0,0,0,?,,
