column_name,occurrence_count,distinct_tables
etr_ymd,1475,1475
etr_ym,1396,1396
etr_y,1388,1388
InstrumentID,862,862
UpdateDate,763,763
CID,689,689
Name,515,515
Date,456,456
GCID,405,405
Id,380,380
Occurred,342,342
FileName,299,299
ReportDateID,293,293
PositionID,255,255
IsBuy,249,249
HedgeServerID,233,233
Regulation,224,224
InstrumentType,220,220
Amount,214,214
Country,213,213
_fivetran_synced,204,204
CountryID,202,202
DateID,193,193
RegulationID,173,173
Club,172,172
InstrumentDisplayName,171,171
_row,171,171
Symbol,170,170
RealCID,170,170
date,166,166
IsSettled,165,165
Region,164,164
ID,162,162
InstrumentName,145,145
OrderID,140,140
Leverage,138,138
MirrorID,135,135
CreatedDate,134,134
Created,132,132
InstrumentTypeID,130,130
Currency,128,128
ProviderID,127,127
NOP,119,119
Commission,116,116
StopRate,114,114
gcid,114,114
LiquidityAccountID,114,114
CreatedById,111,111
ISINCode,110,110
__MEETS_DROP_EXPECTATIONS,110,110
Bid,109,109
__DeleteVersion,107,107
__Timestamp,107,107
PlayerLevelID,106,106
__UpsertVersion,105,105
SystemModstamp,104,104
source_file,104,104
LastModifiedDate,103,103
AmountInUnitsDecimal,102,102
Ask,102,102
ValidFrom,101,101
Description,100,100
Exchange,100,100
Report_time,99,99
SettlementTypeID,99,99
processing_time,96,96
IsDeleted,96,96
LastModifiedById,95,95
CloseOccurred,92,92
id,92,92
country,92,92
instrument_id,90,90
Volume,88,88
InitForexRate,88,88
Type,88,88
FullCommission,88,88
Status,87,87
status,85,85
ValidTo,83,83
ISIN,83,83
IsActive,83,83
Units,82,82
RealizedEquity,82,82
SysStartTime,78,78
IsDiscounted,77,77
SysEndTime,77,77
PlayerStatus,76,76
VerificationLevelID,76,76
NetProfit,76,76
ExecutionID,76,76
ReportDate,75,75
EndTime,75,75
CurrencyID,74,74
AppLoginName,71,71
cid,71,71
DbLoginName,71,71
OrderType,69,69
AccountManager,69,69
Value,69,69
OpenOccurred,68,68
DateTo,67,67
AccountTypeID,67,67
StatusID,67,67
InitialUnits,67,67
name,66,66
Multiplier,66,66
UserName,65,65
PlayerStatusID,65,65
PnLVersion,65,65
FirstDepositDate,63,63
LotCountDecimal,63,63
user_id,62,62
BidSpreaded,62,62
Credit,62,62
InitConversionRate,62,62
ReopenForPositionID,62,62
IsValidCustomer,62,62
LimitRate,62,62
AccountType,62,62
AccountNumber,62,62
OwnerId,61,61
AccountManagerID,61,61
LanguageID,61,61
Price,61,61
RequestOccurred,60,60
ActionType,60,60
Quantity,60,60
CorrelationId,59,59
UnitMargin,58,58
Language,58,58
LastViewedDate,58,58
CUSIP,58,58
Precision,58,58
IsTslEnabled,58,58
AccountId,57,57
ParentPositionID,57,57
DateFrom,57,57
LastReferencedDate,57,57
BeginTime,57,57
InitConversionRateID,57,57
event_date,57,57
PositionsTime,57,57
OpenMarkup,56,56
account_id,56,56
AskSpreaded,56,56
region,55,55
ConversionRate,55,55
AffiliateID,55,55
OpenMarketSpread,53,53
ExecutionRateSpreaded,52,52
TreeID,52,52
PriceRateID,52,52
PlayerStatusReasonID,51,51
type,51,51
regulation,51,51
ManagerID,51,51
IsCreditReportValidCB,50,50
Gcid,50,50
City,50,50
MarketPriceRateID,50,50
CustomerFlow,49,49
PlayerStatusSubReasonID,49,49
EndForexRate,49,49
AccountStatusID,49,49
Channel,49,49
SourceId,48,48
USDConversionRate,48,48
rank_instrument,48,48
campaign_id,48,48
LastOpConversionRate,47,47
InitExecutionID,47,47
Email,47,47
ValidationType,47,47
ExecutionRate,46,46
InsertDate,46,46
EndDate,45,45
GuruStatusID,45,45
@Id,45,45
ExecutionRateDiscounted,45,45
MainAction,45,45
OpenActionType,45,45
workspace_id,44,44
IsReciprocal,44,44
update_date,44,44
LastName,44,44
Address,44,44
cycle_run_id,44,44
CreateDate,44,44
FirstName,44,44
SpreadTypeID,43,43
customer_id,43,43
FullCommissionOnClose,43,43
SellCurrency,43,43
OnePip,42,42
DepositID,42,42
ExecutionRateDiscountedRounded,42,42
ExecutionRateSpreadedRounded,42,42
ConversionInstrumentID,42,42
user_country,41,41
InitialAmountCents,41,41
friend_time_between_FTD_and_FTT,41,41
user_time_between_FTD_and_FTT,41,41
user_time_between_FTD_and_first_referral,41,41
friend_time_between_FTD_and_75pct_cashout,41,41
user_referrals_count_up_to_time,41,41
CommissionVersion,41,41
user_time_between_FTD_and_75pct_cashout,41,41
friend_gender,41,41
user_referrals_paid_up_to_time,41,41
friend_country,41,41
user_gender,41,41
CommissionOnClose,41,41
user_friend_registered_diff,41,41
user_time_between_FTD_and_first_withdraw,41,41
friend_time_between_FTD_and_first_referral,41,41
TradeDate,41,41
enqueuedTime,41,41
friend_time_between_FTD_and_first_withdraw,41,41
Account,41,41
user_pct_referrals_paid_up_to_time,41,41
ConversionPrecision,40,40
SpreadAsk,40,40
month,40,40
SpreadBid,40,40
MarketReceivedTime,40,40
LabelID,40,40
language,40,40
InitForexPriceRateID,40,40
Instrument,39,39
eventType,39,39
Cusip,39,39
OrigParentPositionID,39,39
PositionPnL,39,39
EndExecutionID,39,39
LastOpConversionRateID,38,38
Diff,38,38
BannerID,38,38
created_at,38,38
MifidCategorizationID,38,38
user_real_club,38,38
