key,syn_name,dbx_name,syn_rows,dbx_rows,delta,ratio,update_col,syn_max_update,dbx_max_update,verdict
compliancestatedb_compliance_regulationcountry,ComplianceStateDB_Compliance_RegulationCountry,compliancestatedb_compliance_regulationcountry,251,251,0,1.0000,,,,MATCH
compliancestatedb_compliance_stockslending,ComplianceStateDB_Compliance_StocksLending,compliancestatedb_compliance_stockslending,347654,347654,0,1.0000,,,,MATCH
contactverification_phone_customer,ContactVerification_Phone_Customer,contactverification_phone_customer,5480,5480,0,1.0000,ValidFrom,2026-05-23 23:59:30.1133333,2026-05-23 23:59:30.113333,MATCH
customerfinancedb_customer_firsttimedeposits,CustomerFinanceDB_Customer_FirstTimeDeposits,,1074,,,,Updated,2026-05-23 23:54:31.3130000,,DBX_ONLY_MISSING
customerfinancedb_customer_globalftds,,customerfinancedb_customer_globalftds,,1074,,,Updated,,2026-05-23 23:54:31.313,SYN_ONLY_MISSING
endofday_eod_settlementprices,EndOfDay_EOD_SettlementPrices,endofday_eod_settlementprices,0,0,0,,Occurred,,,MATCH
etoro_backoffice_bonustype,etoro_BackOffice_BonusType,etoro_backoffice_bonustype,65,65,0,1.0000,,,,MATCH
etoro_backoffice_campaign,,etoro_backoffice_campaign,,15571,,,,,,SYN_ONLY_MISSING
etoro_backoffice_compensationreason,etoro_BackOffice_CompensationReason,etoro_backoffice_compensationreason,135,135,0,1.0000,,,,MATCH
etoro_backoffice_customer,etoro_BackOffice_Customer,etoro_backoffice_customer,47867332,47867332,0,1.0000,,,,MATCH
etoro_backoffice_customeralltimeaggregateddata,etoro_BackOffice_CustomerAllTimeAggregatedData,etoro_backoffice_customeralltimeaggregateddata,40776256,40776256,0,1.0000,,,,MATCH
etoro_backoffice_customerdocument,etoro_BackOffice_CustomerDocument,etoro_backoffice_customerdocument,44065455,44065455,0,1.0000,DateAdded,2026-05-24 00:29:41.3770000,2026-05-24 00:29:41.377,MATCH
etoro_backoffice_customerdocumenttodocumenttype,etoro_BackOffice_CustomerDocumentToDocumentType,etoro_backoffice_customerdocumenttodocumenttype,41629657,41629657,0,1.0000,Occurred,2026-05-24 00:29:59.3370000,2026-05-24 00:29:59.337,MATCH
etoro_backoffice_manager,etoro_BackOffice_Manager,etoro_backoffice_manager,5198,5198,0,1.0000,,,,MATCH
etoro_billing_bi_cashout_state_report,etoro_Billing_BI_Cashout_State_Report,etoro_billing_bi_cashout_state_report,5513,5513,0,1.0000,,,,MATCH
etoro_billing_bi_deposit_state_report,etoro_Billing_BI_Deposit_State_Report,etoro_billing_bi_deposit_state_report,9960,9960,0,1.0000,,,,MATCH
etoro_billing_deposit,etoro_Billing_Deposit,etoro_billing_deposit,12769,12769,0,1.0000,,,,MATCH
etoro_billing_depot,etoro_Billing_Depot,etoro_billing_depot,163,163,0,1.0000,,,,MATCH
etoro_billing_funding,etoro_Billing_Funding,etoro_billing_funding,17957487,17957487,0,1.0000,,,,MATCH
etoro_billing_login,etoro_Billing_Login,etoro_billing_login,0,0,0,,,,,MATCH
etoro_billing_protocolmidsettings,etoro_Billing_ProtocolMIDSettings,etoro_billing_protocolmidsettings,1851,1851,0,1.0000,,,,MATCH
etoro_billing_recurringdeposit,etoro_Billing_RecurringDeposit,etoro_billing_recurringdeposit,634462,634462,0,1.0000,,,,MATCH
etoro_billing_redeem,etoro_Billing_Redeem,etoro_billing_redeem,1258,1258,0,1.0000,,,,MATCH
etoro_billing_vdeposit,etoro_Billing_vDeposit,etoro_billing_vdeposit,12769,12769,0,1.0000,,,,MATCH
etoro_billing_vwithdrawtofunding,etoro_Billing_vWithdrawToFunding,etoro_billing_vwithdrawtofunding,22283908,22283908,0,1.0000,,,,MATCH
etoro_billing_withdraw,etoro_Billing_Withdraw,etoro_billing_withdraw,20443660,20443660,0,1.0000,,,,MATCH
etoro_billing_withdrawtofunding,etoro_Billing_WithdrawToFunding,etoro_billing_withdrawtofunding,22283908,22283908,0,1.0000,,,,MATCH
etoro_customer_customer,etoro_Customer_Customer,etoro_customer_customer,47867332,47867332,0,1.0000,,,,MATCH
etoro_customer_customerstatic,etoro_Customer_CustomerStatic,etoro_customer_customerstatic,47867332,47867332,0,1.0000,,,,MATCH
etoro_dictionary_accountstatus,etoro_Dictionary_AccountStatus,etoro_dictionary_accountstatus,2,2,0,1.0000,,,,MATCH
etoro_dictionary_accounttype,etoro_Dictionary_AccountType,etoro_dictionary_accounttype,18,18,0,1.0000,,,,MATCH
etoro_dictionary_cashoutfeegroup,etoro_Dictionary_CashoutFeeGroup,etoro_dictionary_cashoutfeegroup,3,3,0,1.0000,,,,MATCH
etoro_dictionary_cashoutmode,etoro_Dictionary_CashoutMode,etoro_dictionary_cashoutmode,4,4,0,1.0000,,,,MATCH
etoro_dictionary_cashoutreason,etoro_Dictionary_CashoutReason,etoro_dictionary_cashoutreason,19,19,0,1.0000,,,,MATCH
etoro_dictionary_cashoutstatus,etoro_Dictionary_CashoutStatus,etoro_dictionary_cashoutstatus,17,17,0,1.0000,,,,MATCH
etoro_dictionary_clientwithdrawreason,etoro_Dictionary_ClientWithdrawReason,etoro_dictionary_clientwithdrawreason,7,7,0,1.0000,,,,MATCH
etoro_dictionary_closepositionactiontype,etoro_Dictionary_ClosePositionActionType,etoro_dictionary_closepositionactiontype,27,27,0,1.0000,,,,MATCH
etoro_dictionary_country,etoro_Dictionary_Country,etoro_dictionary_country,251,251,0,1.0000,,,,MATCH
etoro_dictionary_countrybin,etoro_Dictionary_CountryBin,etoro_dictionary_countrybin,16354744,16354744,0,1.0000,,,,MATCH
etoro_dictionary_countryip,etoro_Dictionary_CountryIP,etoro_dictionary_countryip,6864024,6864024,0,1.0000,,,,MATCH
etoro_dictionary_credittype,etoro_Dictionary_CreditType,etoro_dictionary_credittype,33,33,0,1.0000,,,,MATCH
etoro_dictionary_currency,etoro_Dictionary_Currency,etoro_dictionary_currency,16271,16271,0,1.0000,,,,MATCH
etoro_dictionary_documentstatus,etoro_Dictionary_DocumentStatus,etoro_dictionary_documentstatus,7,7,0,1.0000,,,,MATCH
etoro_dictionary_exchangeinfo,etoro_Dictionary_ExchangeInfo,etoro_dictionary_exchangeinfo,51,51,0,1.0000,,,,MATCH
etoro_dictionary_feeoperationtypes,etoro_Dictionary_FeeOperationTypes,etoro_dictionary_feeoperationtypes,3,3,0,1.0000,,,,MATCH
etoro_dictionary_fundingtype,etoro_Dictionary_FundingType,etoro_dictionary_fundingtype,43,43,0,1.0000,ValidFrom,2026-03-12 10:01:43.7652273,2026-03-12 10:01:43.765227,MATCH
etoro_dictionary_fundtype,etoro_Dictionary_FundType,etoro_dictionary_fundtype,3,3,0,1.0000,,,,MATCH
etoro_dictionary_funnel,etoro_Dictionary_Funnel,etoro_dictionary_funnel,132,132,0,1.0000,,,,MATCH
etoro_dictionary_gurustatus,etoro_Dictionary_GuruStatus,etoro_dictionary_gurustatus,9,9,0,1.0000,,,,MATCH
etoro_dictionary_label,etoro_Dictionary_Label,etoro_dictionary_label,26,26,0,1.0000,,,,MATCH
etoro_dictionary_language,etoro_Dictionary_Language,etoro_dictionary_language,28,28,0,1.0000,,,,MATCH
etoro_dictionary_marketingregion,etoro_Dictionary_MarketingRegion,etoro_dictionary_marketingregion,22,22,0,1.0000,,,,MATCH
etoro_dictionary_mifidcategorization,etoro_Dictionary_MifidCategorization,etoro_dictionary_mifidcategorization,6,6,0,1.0000,,,,MATCH
etoro_dictionary_mirrortype,etoro_Dictionary_MirrorType,etoro_dictionary_mirrortype,4,4,0,1.0000,,,,MATCH
etoro_dictionary_movemoneyreason,etoro_Dictionary_MoveMoneyReason,etoro_dictionary_movemoneyreason,9,9,0,1.0000,,,,MATCH
etoro_dictionary_paymentstatus,etoro_Dictionary_PaymentStatus,etoro_dictionary_paymentstatus,39,39,0,1.0000,,,,MATCH
etoro_dictionary_pendingclosurestatus,etoro_Dictionary_PendingClosureStatus,etoro_dictionary_pendingclosurestatus,3,3,0,1.0000,,,,MATCH
etoro_dictionary_phoneverified,etoro_Dictionary_PhoneVerified,etoro_dictionary_phoneverified,6,6,0,1.0000,,,,MATCH
etoro_dictionary_platform,etoro_Dictionary_Platform,etoro_dictionary_platform,4,4,0,1.0000,,,,MATCH
etoro_dictionary_playerlevel,etoro_Dictionary_PlayerLevel,etoro_dictionary_playerlevel,7,7,0,1.0000,,,,MATCH
etoro_dictionary_playerstatus,etoro_Dictionary_PlayerStatus,etoro_dictionary_playerstatus,15,15,0,1.0000,,,,MATCH
etoro_dictionary_playerstatusreasons,etoro_Dictionary_PlayerStatusReasons,etoro_dictionary_playerstatusreasons,44,44,0,1.0000,,,,MATCH
etoro_dictionary_playerstatussubreasons,etoro_Dictionary_PlayerStatusSubReasons,etoro_dictionary_playerstatussubreasons,84,84,0,1.0000,,,,MATCH
etoro_dictionary_redeemreason,etoro_Dictionary_RedeemReason,etoro_dictionary_redeemreason,19,19,0,1.0000,,,,MATCH
