table_name,category,sp_count,sps,twin_count,twin_names,has_twin
datasolutionsprocessesstatus,Other,1,DWH_dbo.SP_ProcessStatusLog,0,,N
dim_accounttype,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accounttype,Y
dim_affiliate,Dim_*,1,DWH_dbo.SP_Dim_Affiliate,2,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked; main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate,Y
dim_billingdepot,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_billingdepot,Y
dim_billingprotocolmidsettingsid,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,0,,N
dim_bonustype,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_bonustype,Y
dim_calculationtype,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,0,,N
dim_campaign,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_campaign,Y
dim_cashoutfeegroup,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,Y
dim_cashoutmode,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutmode,Y
dim_cashoutreason,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutreason,Y
dim_cashoutstatus,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutstatus,Y
dim_channel,Dim_*,1,DWH_dbo.SP_Dim_Channel,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_channel,Y
dim_clientwithdrawreason,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_clientwithdrawreason,Y
dim_closepositionreason,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_closepositionreason,Y
dim_compensationreason,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_compensationreason,Y
dim_costconfigurationid,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,0,,N
dim_costsubtype,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,0,,N
dim_costtype,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,0,,N
dim_country,Dim_*,1,DWH_dbo.SP_Dictionaries_Country_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_country,Y
dim_countrybin,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_countrybin,Y
dim_countryip,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_countryip,Y
dim_countryipanonymous,Dim_*,1,DWH_dbo.SP_Dictionaries_Country_DL_To_Synapse,0,,N
dim_credittype,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_credittype,Y
dim_currency,Dim_*,1,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_currency,Y
dim_customer,Dim_*,2,"DWH_dbo.SP_Dim_Customer, DWH_dbo.SP_Dim_Customer_20240104",2,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked; main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer,Y
