table_name,table_type,in_lake,written_by_sps,sp_count,prune_category,row_count,last_altered
asyncfailedsteps,MANAGED,Y,,0,UNCLEAR,0,2026-05-11T06:53:53.191000+00:00
c,,N,DWH_dbo.SP_Dim_Position_DL_To_Synapse;DWH_dbo.SP_Dim_Position_DL_To_Synapse_bkp_2024_08_04,2,,,
changeslog,MANAGED,Y,,0,UNCLEAR,0,2026-05-11T06:53:54.720000+00:00
columnstorerebuildlog,,N,DWH_dbo.DWH_ColumnstoreTablesMaintenance,1,,,
cte,,N,DWH_dbo.SP_Dim_GetSpreadedPriceUSDConversionRate;DWH_dbo.SP_Dim_Position_PositionHedgeServerChangeLog,2,,,
customerstatic,MANAGED,Y,,0,UNCLEAR,0,2026-05-11T06:53:56.109000+00:00
datalaketablestatus,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:53:57.337000+00:00
datalaketablestatus_id,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:53:58.719000+00:00
datalaketablestatuslog,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:53:59.982000+00:00
datasolutionsdwhdatabricks,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:54:01.429000+00:00
datasolutionsmappingfreshservice,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:54:02.662000+00:00
datasolutionsprocessesstatus,MANAGED,Y,DWH_dbo.SP_ProcessStatusLog,1,,,2026-05-11T06:54:03.950000+00:00
datasolutionsprocessesstatus_bkp_2023_10_29,MANAGED,Y,,0,BACKUP_DATED,0,2026-05-11T06:54:05.625000+00:00
datasolutionstablesdate,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:54:06.852000+00:00
datasolutionstablesrunind,MANAGED,Y,,0,INFRASTRUCTURE,0,2026-05-11T06:54:08.044000+00:00
dim_accountstatus,,N,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,,,
dim_accounttype,MANAGED,Y,DWH_dbo.SP_Dictionaries_DL_To_Synapse,1,,,2026-05-11T06:54:09.344000+00:00
dim_actiontype,MANAGED,Y,,0,UNCLEAR,0,2026-05-11T06:54:10.670000+00:00
dim_affiliate,MANAGED,Y,DWH_dbo.SP_Dim_Affiliate,1,,,2026-05-11T07:04:34.684000+00:00
