uc_target,table_comment_set,cols_total,cols_commented,status,table_comment_len
main.bi_db.bronze_usabroker_dictionary_appropriatenessproduct,True,2,2,FULLY COMMENTED,817
main.bi_db.bronze_usabroker_dictionary_appropriatenesstestresult,True,2,2,FULLY COMMENTED,886
main.bi_db.bronze_usabroker_dictionary_eligibilitystatus,True,2,2,FULLY COMMENTED,899
main.bi_db.bronze_usabroker_dictionary_optionsstatus,True,2,2,FULLY COMMENTED,889
main.bi_db.bronze_usabroker_dictionary_reasoningstatus,True,2,2,FULLY COMMENTED,821
main.billing.bronze_etoro_billing_scheduledtaskstate,True,5,5,FULLY COMMENTED,206
main.emoney.bronze_fiatdwhdb_dbo_fiattransactions,True,24,18,PARTIAL (18/24 cols),157
main.finance.bronze_usabroker_dictionary_apexvalidationerror,True,2,2,FULLY COMMENTED,899
main.finance.bronze_usabroker_dictionary_customertype,True,2,2,FULLY COMMENTED,795
main.finance.bronze_usabroker_dictionary_documenttype,True,2,2,FULLY COMMENTED,897
main.finance.bronze_usabroker_dictionary_modifytype,True,2,2,FULLY COMMENTED,743
main.finance.bronze_usabroker_dictionary_phonetype,True,2,2,FULLY COMMENTED,782
main.finance.bronze_usabroker_dictionary_userdataupdatesmask,True,2,2,FULLY COMMENTED,785
main.finance.bronze_usabroker_dictionary_userdocumenttype,True,2,2,FULLY COMMENTED,894
main.general.bronze_etoro_dictionary_currency,True,16,12,PARTIAL (12/16 cols),145
main.general.bronze_etoro_dictionary_downtimeclosestatus,True,2,2,FULLY COMMENTED,631
main.general.bronze_etoro_dictionary_downtimeseverity,True,2,2,FULLY COMMENTED,519
main.general.bronze_etoro_dictionary_downtimestatus,True,2,2,FULLY COMMENTED,597
main.general.bronze_etoro_dictionary_downtimesystem,True,2,2,FULLY COMMENTED,537
main.general.bronze_etoro_dictionary_downtimesystemtodowntype,True,2,2,FULLY COMMENTED,669
main.general.bronze_etoro_dictionary_downtype,True,2,2,FULLY COMMENTED,533
main.general.bronze_etoro_dictionary_duration,True,4,4,FULLY COMMENTED,719
main.general.bronze_etoro_dictionary_electronicidentitycheck,True,2,2,FULLY COMMENTED,733
main.general.bronze_etoro_dictionary_electronicidentityprovider,True,2,2,FULLY COMMENTED,591
main.general.bronze_etoro_dictionary_errormessage,True,4,4,FULLY COMMENTED,769
main.general.bronze_etoro_dictionary_eventtype,True,3,3,FULLY COMMENTED,733
main.general.bronze_etoro_dictionary_exchangeinfo,True,2,2,FULLY COMMENTED,798
main.general.bronze_etoro_dictionary_failtype,True,2,2,FULLY COMMENTED,753
main.general.bronze_etoro_dictionary_roles,True,6,6,FULLY COMMENTED,904
main.general.bronze_etoro_dictionary_salesstatus,True,2,2,FULLY COMMENTED,821
main.general.bronze_etoro_dictionary_scheduledjobstatus,True,2,2,FULLY COMMENTED,727
main.general.bronze_etoro_dictionary_scheduledjobtype,True,2,2,FULLY COMMENTED,843
main.general.bronze_etoro_dictionary_scheduledtaskname,True,2,2,FULLY COMMENTED,816
main.general.bronze_etoro_dictionary_scheduledtaskstate,True,2,2,FULLY COMMENTED,841
main.general.bronze_etoro_dictionary_servertype,True,2,2,FULLY COMMENTED,833
main.general.bronze_etoro_dictionary_severitytype,True,2,2,FULLY COMMENTED,836
main.general.bronze_etoro_dictionary_spreadtype,True,3,3,FULLY COMMENTED,766
main.general.bronze_etoro_dictionary_stockerror,True,2,2,FULLY COMMENTED,860
main.general.bronze_etoro_dictionary_stockhedgesource,True,2,2,FULLY COMMENTED,860
main.general.bronze_usabroker_dictionary_optionsstatuscontrol,True,2,2,FULLY COMMENTED,805
main.general.bronze_usabroker_dictionary_userprogram,True,2,2,FULLY COMMENTED,887
main.general.bronze_usabroker_dictionary_userprogramenrolmentstatus,True,2,2,FULLY COMMENTED,833
