rel,status,reason,error,elapsed_ms
Stored Procedures/BI_DB_dbo.sql,ok,,,898
Stored Procedures/DWH_dbo.AddPartitionsToDWH.sql,ok,,,753
Stored Procedures/DWH_dbo.AddPartitionsToTable.sql,ok,helper-stub,,675
Stored Procedures/DWH_dbo.CheckIfPartitionExists.sql,ok,helper-stub,,656
Stored Procedures/DWH_dbo.CopyIntoTable.sql,ok,helper-stub,,1043
Stored Procedures/DWH_dbo.CopyIntoTable_ByDate.sql,ok,helper-stub,,753
Stored Procedures/DWH_dbo.CreateParquetCopyTable.sql,ok,helper-stub,,738
Stored Procedures/DWH_dbo.CreateParquetCopyTableFromjson.sql,ok,helper-stub,,603
Stored Procedures/DWH_dbo.CreateParquetCopyTableFromjson_new.sql,ok,helper-stub,,676
Stored Procedures/DWH_dbo.DBA_CreatePartitionInfraByDateInt.sql,ok,helper-stub,,591
Stored Procedures/DWH_dbo.DBA_OpenFuturePartitions.sql,ok,helper-stub,,732
Stored Procedures/DWH_dbo.DWH_ColumnstoreTablesMaintenance.sql,ok,helper-stub,,604
Stored Procedures/DWH_dbo.DeleteFromParquetMetadata.sql,ok,,,1096
Stored Procedures/DWH_dbo.InsertIntoParquetMetadata.sql,ok,,,694
Stored Procedures/DWH_dbo.JUNK_SP_Dim_Instrument_Correlation.sql,ok,helper-stub,,642
Stored Procedures/DWH_dbo.KYS_TablesWithSmallCompressedRowGroups.sql,ok,,,680
Stored Procedures/DWH_dbo.SP_AlterWorkLoadGroup.sql,ok,helper-stub,,612
Stored Procedures/DWH_dbo.SP_Check_Dim_Instrument_Correlation_Differences.sql,ok,helper-stub,,591
Stored Procedures/DWH_dbo.SP_Check_PnLInDollars_in_DWH_staging_etoro_Trade_OpenPositionEndOfDay.sql,ok,helper-stub,,623
Stored Procedures/DWH_dbo.SP_Count_CurrencyPriceMaxDateWithSplit.sql,ok,,,553
Stored Procedures/DWH_dbo.SP_CurrencyPriceExists_For_CHECK.sql,ok,helper-stub,,622
Stored Procedures/DWH_dbo.SP_DWH_Status.sql,ok,helper-stub,,636
Stored Procedures/DWH_dbo.SP_Daily_MarketPageViews_DL_To_Synapse.sql,ok,,,571
Stored Procedures/DWH_dbo.SP_Dictionaries_Country_DL_To_Synapse.sql,ok,,,632
Stored Procedures/DWH_dbo.SP_Dictionaries_DL_To_Synapse.sql,ok,,,852
Stored Procedures/DWH_dbo.SP_Dim_Affiliate.sql,ok,,,587
Stored Procedures/DWH_dbo.SP_Dim_Channel.sql,ok,,,635
Stored Procedures/DWH_dbo.SP_Dim_Channel_Affiliate_UnifyCode_DL_To_Synapse.sql,ok,,,581
Stored Procedures/DWH_dbo.SP_Dim_Customer.sql,skip,surgical-fixed already,,0
Stored Procedures/DWH_dbo.SP_Dim_Customer_20240104.sql,ok,helper-stub,,829
Stored Procedures/DWH_dbo.SP_Dim_Customer_DL_To_Synapse.sql,skip,surgical-fixed already,,0
Stored Procedures/DWH_dbo.SP_Dim_GetSpreadedPriceCandle60MinSplitted.sql,ok,,,1212
Stored Procedures/DWH_dbo.SP_Dim_GetSpreadedPriceUSDConversionRate.sql,ok,,,538
Stored Procedures/DWH_dbo.SP_Dim_GetSpreadedPriceUSDConversionRate_DeleteByDateRange.sql,ok,,,615
Stored Procedures/DWH_dbo.SP_Dim_GetSpreadedPriceUSDConversionRate_InsertDataForHour.sql,ok,helper-stub,,653
Stored Procedures/DWH_dbo.SP_Dim_HistorySplitRatio_DL_To_Synapse.sql,ok,,,685
Stored Procedures/DWH_dbo.SP_Dim_Instrument.sql,ok,,,682
Stored Procedures/DWH_dbo.SP_Dim_Instrument_Correlation.sql,ok,,,773
Stored Procedures/DWH_dbo.SP_Dim_Instrument_Correlation_Build_GroupsInstruments.sql,ok,helper-stub,,1162
Stored Procedures/DWH_dbo.SP_Dim_Instrument_Correlation_ByGroupRange.sql,ok,,,751
Stored Procedures/DWH_dbo.SP_Dim_Instrument_Correlation_FilterByInstrumentID.sql,ok,,,733
Stored Procedures/DWH_dbo.SP_Dim_Instrument_Correlation_Half_Records.sql,ok,,,722
Stored Procedures/DWH_dbo.SP_Dim_Instrument_Snapshot.sql,ok,,,682
Stored Procedures/DWH_dbo.SP_Dim_Instrument_bkp_2025_11_24.sql,ok,helper-stub,,604
Stored Procedures/DWH_dbo.SP_Dim_Mirror_DL_To_Synapse.sql,ok,,,556
Stored Procedures/DWH_dbo.SP_Dim_PositionChangeLog_DL_To_Synapse.sql,ok,,,663
Stored Procedures/DWH_dbo.SP_Dim_PositionHedgeServerChangeLog_DL_To_Synapse.sql,ok,helper-stub,,857
Stored Procedures/DWH_dbo.SP_Dim_Position_CheckExistPartition.sql,ok,,,852
Stored Procedures/DWH_dbo.SP_Dim_Position_DL_To_Synapse.sql,ok,,,1007
Stored Procedures/DWH_dbo.SP_Dim_Position_DL_To_Synapse_bkp_2024_08_04.sql,ok,helper-stub,,719
Stored Procedures/DWH_dbo.SP_Dim_Position_HedgeType_History.sql,ok,,,721
Stored Procedures/DWH_dbo.SP_Dim_Position_HedgeType_Real.sql,ok,,,590
Stored Procedures/DWH_dbo.SP_Dim_Position_IsPartialCloseParent.sql,ok,,,753
Stored Procedures/DWH_dbo.SP_Dim_Position_PositionHedgeServerChangeLog.sql,ok,,,563
Stored Procedures/DWH_dbo.SP_Dim_Position_PositionHedgeServerChangeLog_backup_20210621.sql,ok,helper-stub,,608
Stored Procedures/DWH_dbo.SP_Dim_Position_ReOpen.sql,ok,,,609
Stored Procedures/DWH_dbo.SP_DropStagingTables.sql,ok,,,657
Stored Procedures/DWH_dbo.SP_DropTable.sql,ok,,,725
Stored Procedures/DWH_dbo.SP_Fact_BillingDeposit.sql,ok,,,588
Stored Procedures/DWH_dbo.SP_Fact_BillingDeposit_DL_To_Synapse.sql,ok,,,756
Stored Procedures/DWH_dbo.SP_Fact_BillingRedeem_DL_To_Synapse.sql,ok,,,586
Stored Procedures/DWH_dbo.SP_Fact_BillingWithdraw.sql,ok,,,1052
Stored Procedures/DWH_dbo.SP_Fact_BillingWithdraw_DL_To_Synapse.sql,ok,,,657
Stored Procedures/DWH_dbo.SP_Fact_Cashout_Rollback_DL_To_Synapse.sql,ok,,,678
Stored Procedures/DWH_dbo.SP_Fact_Cashout_State.sql,ok,,,588
Stored Procedures/DWH_dbo.SP_Fact_CurrencyPriceWithSplit_DL_To_Synapse.sql,ok,,,708
Stored Procedures/DWH_dbo.SP_Fact_CurrencyPriceWithSplit_DL_To_Synapse_OLD_VER.sql,ok,,,561
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction.sql,ok,,,650
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_CheckExistPartition.sql,ok,,,647
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_Create_SWITCH_SINGLE.sql,ok,helper-stub,,687
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_DL_To_Synapse.sql,ok,,,682
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_DL_To_Synapse_20240507.sql,ok,helper-stub,,600
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_DL_To_Synapse_bkp_2024_08_04.sql,ok,helper-stub,,649
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_DL_To_Synapse_bkp_2024_08_20.sql,ok,helper-stub,,643
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_DL_To_Synapse_bkp_2024_09_25.sql,ok,helper-stub,,640
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_IsParitalCloseParent.sql,ok,,,597
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_SWITCH.sql,ok,,,584
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_bkp_2024_08_04.sql,ok,helper-stub,,715
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_bkp_2024_08_20.sql,ok,helper-stub,,611
Stored Procedures/DWH_dbo.SP_Fact_CustomerAction_bkp_2024_09_25.sql,ok,helper-stub,,723
Stored Procedures/DWH_dbo.SP_Fact_CustomerUnrealized_PnL.sql,ok,,,650
Stored Procedures/DWH_dbo.SP_Fact_CustomerUnrealized_PnL_DL_To_Synapse.sql,ok,,,606
Stored Procedures/DWH_dbo.SP_Fact_CustomerUnrealized_PnL_UserAPI_For_CHECK.sql,ok,helper-stub,,765
Stored Procedures/DWH_dbo.SP_Fact_CustomerUnrealized_PnL_V0.sql,ok,helper-stub,,651
Stored Procedures/DWH_dbo.SP_Fact_Deposit_Fees_DL_To_Synapse.sql,ok,,,722
Stored Procedures/DWH_dbo.SP_Fact_Deposit_State.sql,ok,,,619
Stored Procedures/DWH_dbo.SP_Fact_FirstCustomerAction.sql,ok,,,612
Stored Procedures/DWH_dbo.SP_Fact_FirstCustomerAction_DL_To_Synapse.sql,ok,,,803
Stored Procedures/DWH_dbo.SP_Fact_GetSpreadedPriceCandle60MinSplitted_For_CHECK.sql,ok,helper-stub,,572
Stored Procedures/DWH_dbo.SP_Fact_Guru_Copiers.sql,ok,,,617
Stored Procedures/DWH_dbo.SP_Fact_Guru_Copiers_DL_To_Synapse.sql,ok,,,708
Stored Procedures/DWH_dbo.SP_Fact_History_Cost.sql,ok,,,635
Stored Procedures/DWH_dbo.SP_Fact_History_Cost_DL_To_Synapse.sql,ok,,,761
Stored Procedures/DWH_dbo.SP_Fact_Position_Futures_Snapshot.sql,ok,helper-stub,,621
Stored Procedures/DWH_dbo.SP_Fact_RegulationTransfer.sql,ok,,,713
Stored Procedures/DWH_dbo.SP_Fact_RegulationTransfer_DL_To_Synapse.sql,ok,,,626
Stored Procedures/DWH_dbo.SP_Fact_Reverse_Deposits_DL_To_Synapse.sql,ok,,,639
Stored Procedures/DWH_dbo.SP_Fact_Settlement_Prices.sql,ok,,,1098
Stored Procedures/DWH_dbo.SP_Fact_SnapshotCustomer.sql,ok,,,868
Stored Procedures/DWH_dbo.SP_Fact_SnapshotCustomerCloseYear.sql,ok,,,643
Stored Procedures/DWH_dbo.SP_Fact_SnapshotCustomerCloseYear_DL_To_Synapse.sql,ok,,,709
Stored Procedures/DWH_dbo.SP_Fact_SnapshotCustomer_DL_To_Synapse.sql,ok,,,679
Stored Procedures/DWH_dbo.SP_Fact_SnapshotCustomer_Eyal.sql,ok,helper-stub,,636
Stored Procedures/DWH_dbo.SP_Fact_SnapshotEquity.sql,ok,,,569
Stored Procedures/DWH_dbo.SP_Fact_SnapshotEquity_DL_To_Synapse.sql,ok,,,713
Stored Procedures/DWH_dbo.SP_Fact_SnapshotEquity_InProcessCashouts.sql,ok,,,611
Stored Procedures/DWH_dbo.SP_Fact_SnapshotEquity_TotalPositionAmount.sql,ok,,,682
Stored Procedures/DWH_dbo.SP_Fact_Withdraw_Fees_DL_To_Synapse.sql,ok,,,618
Stored Procedures/DWH_dbo.SP_KillTableauSessions.sql,ok,,,552
Stored Procedures/DWH_dbo.SP_Load_Ext_FCUPNL_GetSpreadedPriceCandle60MinSplitted.sql,ok,,,573
Stored Procedures/DWH_dbo.SP_Log_Full.sql,ok,helper-stub,,764
Stored Procedures/DWH_dbo.SP_Log_Table_Updates.sql,ok,,,589
Stored Procedures/DWH_dbo.SP_NOC_LiabilitiesChange.sql,ok,,,667
Stored Procedures/DWH_dbo.SP_PopulateDimDate.sql,ok,helper-stub,,765
Stored Procedures/DWH_dbo.SP_ProcessStatusLog.sql,ok,helper-stub,,620
Stored Procedures/DWH_dbo.SP_Remove_CI_From_Tables.sql,ok,helper-stub,,647
Stored Procedures/DWH_dbo.SP_Report_ASIC_GetCustomerData.sql,ok,,,700
Stored Procedures/DWH_dbo.SP_Report_ASIC_GetCustomerData_Traction.sql,ok,,,599
Stored Procedures/DWH_dbo.SP_ResultsSourceToTarget_Actions.sql,ok,,,607
Stored Procedures/DWH_dbo.SP_STS_User_Operations_Data_History_CREATE_SWITCH_SINGLE.sql,ok,,,691
Stored Procedures/DWH_dbo.SP_STS_User_Operations_Data_History_SWITCH.sql,ok,,,614
Stored Procedures/DWH_dbo.SP_Test_ExternalToInternal.sql,ok,,,646
Stored Procedures/DWH_dbo.SP_Test_Liabilities_Cycle.sql,ok,,,870
Stored Procedures/DWH_dbo.SP_TruncateStagingTables.sql,ok,,,701
Stored Procedures/DWH_dbo.SP_TruncateTables.sql,ok,,,689
Stored Procedures/DWH_dbo.SP_Validation_Cycle_Gap_DL_To_Synapse.sql,ok,,,580
Stored Procedures/DWH_dbo.WaitforSeconds.sql,ok,,,626
