rel,phase,status,elapsed_ms,object_kind,fixups,error,ts
External Tables/DWH_dbo.CalendarDB_Market_MergedDailySchedules.sql,external_tables,error,135,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 10)",2026-05-11T07:12:07
External Tables/DWH_dbo.Extr_etoro_Billing_Withdraw.sql,external_tables,error,81,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 18)",2026-05-11T07:12:08
External Tables/DWH_dbo.HBCExecutionLog.sql,external_tables,error,123,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 22)",2026-05-11T07:12:08
External Tables/DWH_dbo.HedgeExecutionLog.sql,external_tables,error,140,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 21)",2026-05-11T07:12:08
External Tables/DWH_dbo.History_CurrencyPrice.sql,external_tables,error,94,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 26)",2026-05-11T07:12:08
External Tables/DWH_dbo.History_CurrencyPrice_20230622.sql,external_tables,error,91,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 26)",2026-05-11T07:12:08
External Tables/DWH_dbo.History_CurrencyPrice_Daily.sql,external_tables,error,99,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 26)",2026-05-11T07:12:08
External Tables/DWH_dbo.History_Orders.sql,external_tables,error,78,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 15)",2026-05-11T07:12:08
External Tables/DWH_dbo.MarketCurrencyPrice.sql,external_tables,error,71,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 13)",2026-05-11T07:12:09
External Tables/DWH_dbo.MarketCurrencyPrice_Daily.sql,external_tables,error,78,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 13)",2026-05-11T07:12:09
External Tables/DWH_dbo.MarketCurrencyPrice_Daily_For_Latency_Report.sql,external_tables,error,84,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 13)",2026-05-11T07:12:09
External Tables/DWH_dbo.RequestExecutionLog.sql,external_tables,error,95,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 20)",2026-05-11T07:12:09
External Tables/DWH_dbo.RequestLimitExecutionLog.sql,external_tables,error,76,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 20)",2026-05-11T07:12:09
External Tables/DWH_dbo.Sodreconciliation_apex_EXT872_TradeActivity.sql,external_tables,error,89,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 14)",2026-05-11T07:12:09
External Tables/DWH_dbo.Sodreconciliation_apex_SodFiles.sql,external_tables,error,85,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 14)",2026-05-11T07:12:09
External Tables/DWH_dbo.Trade_LiquidityAccounts.sql,external_tables,error,85,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 26)",2026-05-11T07:12:09
External Tables/DWH_dbo.etoro_Dictionary_ClosePositionActionType.sql,external_tables,error,116,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 10)",2026-05-11T07:12:07
External Tables/DWH_dbo.etoro_History_Credit.sql,external_tables,error,112,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 19)",2026-05-11T07:12:07
External Tables/DWH_dbo.etoro_Trade_IndexDividends.sql,external_tables,error,206,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 18)",2026-05-11T07:12:08
External Tables/DWH_dbo.etoro_Trade_Position.sql,external_tables,error,87,EXTERNAL_TABLE,`(?P<t>BOOLEAN|TIMESTAMP|DATE|DATETIME|INT|INTEGER|BIGINT|SM...,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 18)",2026-05-11T07:12:08
External Tables/DWH_dbo.etoro_Trade_PositionsHedgeServerChangeLog.sql,external_tables,error,77,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 26)",2026-05-11T07:12:08
External Tables/DWH_dbo.etoro_Trade_PositionsProcessedForIndexDividnds.sql,external_tables,error,76,EXTERNAL_TABLE,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'NULL'. SQLSTATE: 42601 (line 3, pos 21)",2026-05-11T07:12:08
Functions/DWH_dbo.DateToDateID.sql,functions,error,81,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near ';'. SQLSTATE: 42601 (line 11, pos 0)",2026-05-11T07:12:09
Functions/DWH_dbo.ExtractXMLValue.sql,functions,error,83,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'CREATE': extra input 'CREATE'. SQLSTATE: 42601 (line 5, pos 0)",2026-05-11T07:12:09
Functions/DWH_dbo.IPAddressToIPNum.sql,functions,error,96,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near ';'. SQLSTATE: 42601 (line 11, pos 0)",2026-05-11T07:12:10
Functions/DWH_dbo.IPNumToIPAddress.sql,functions,error,73,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'CREATE': extra input 'CREATE'. SQLSTATE: 42601 (line 5, pos 0)",2026-05-11T07:12:10
Functions/DWH_dbo.RemoveNonAlphaCharacters.sql,functions,error,75,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'CREATE': extra input 'CREATE'. SQLSTATE: 42601 (line 5, pos 0)",2026-05-11T07:12:10
Functions/DWH_dbo.RemoveNonNumericCharacters.sql,functions,error,80,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'CREATE': extra input 'CREATE'. SQLSTATE: 42601 (line 5, pos 0)",2026-05-11T07:12:10
Functions/DWH_dbo.RemoveSpecialChars.sql,functions,error,79,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'DECLARE': extra input 'DECLARE'. SQLSTATE: 42601 (line 3, pos 0)",2026-05-11T07:12:10
Functions/DWH_dbo.ReplaceChar.sql,functions,error,100,FUNCTION,,"[PARSE_SYNTAX_ERROR] Syntax error at or near 'CREATE': extra input 'CREATE'. SQLSTATE: 42601 (line 5, pos 0)",2026-05-11T07:12:10
